listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-22T21:09:29	U Can Be Happy If U Want To	Porridge Radio	US38W2145007	7AmqcEOtGbqSRbPYbjQKUh	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T21:04:19	Everyone Knows	Dehd	US4NP1700010	7uxEqLp63BWpHjvzeTWKPM	6yzuBFtT6dK2aQMZJZtcB1
2022-06-22T20:59:54	You Are a Runner and I Am My Father's Son	Porridge Radio	USSUB2143401	5MUBfoCUmCLpGgqvvi3ool	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T20:55:27	Babies Are a Lie	Pip Blom	FR96X1739536	21ooRcqW4Dr5B97SGHjq8s	6zWJfH1TTmIqEi7EV35HGr
2022-06-22T20:52:22	Trying	Porridge Radio	US38W2145003	0G3sUHujeqIgGgVyixlVtD	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T20:50:02	The Smoke	The Smile	GBBKS2100395	1usvtV2D0EBPb7Rk1l0PwQ	6styCzc1Ej4NxISL0LiigM
2022-06-22T20:45:40	New Slang	Porridge Radio	USSUB2143402	1sRjSllwLDh0xHgZCywXmf	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T20:41:25	Birds	BAMBARA	QM3862211203	3e9XCGu74nA5c93oq5tRfN	0JHvODQe3KnriRMPuZPNL6
2022-06-22T20:37:47	Birthday Party	Porridge Radio	US38W2145004	0mipUplJpcJDDbZZmal8B6	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T20:33:39	Just to Hear You (feat. Perfume Genius)	Hand Habits	US2U62132603	6fFMXz0mLLaql9UyyBQB9a	5poU7FPEYoBlwjzOEWMbX5
2022-06-22T20:30:34	Give/Take	Porridge Radio	GBKPL1942588	6552y4C9WXlAqE33LXK2hp	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T20:26:40	No Difference	Dehd	USFP13779813	6giVefq9S2sXoohnrf1bLC	6yzuBFtT6dK2aQMZJZtcB1
2022-06-22T20:24:47	Splintered	Porridge Radio	US38W2145011	2BIcdJuWYpeHaiAlFH8ZRf	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T20:20:01	School	Pip Blom	FRX201706790	1bVLy04fBPi2JnRpXV3FBV	6zWJfH1TTmIqEi7EV35HGr
2022-06-22T20:18:02	Flowers	Porridge Radio	US38W2145008	0bLMKaXnHs4DFXh4zeMtCw	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T20:13:49	Pana-vision	The Smile	GBBKS2200003	4FXQibsmo2XbStLEBtmIAd	6styCzc1Ej4NxISL0LiigM
2022-06-22T20:09:10	Born Confused	Porridge Radio	US38W2039301	37py2ObDS8BVWx5QHKxgBh	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T20:06:08	Slither in the Rain	BAMBARA	QM3862211201	5Gf8E3WQrPmN0KwMQq2hyd	0JHvODQe3KnriRMPuZPNL6
2022-06-22T20:03:08	Waterslide, Diving Board, Ladder To The Sky	Porridge Radio	US38W2145013	0on6oBOc1ZpX8FoeKSl8yK	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T19:59:45	Flower Glass	Hand Habits	US2FD1710001	3Q13H08h7Oz99laDXhGbA2	5poU7FPEYoBlwjzOEWMbX5
2022-06-22T19:56:02	Sweet	Porridge Radio	US38W2039302	31urhIUG28rfxy6PzU6hQq	4vAQ4M7vgItwBtmBTgRu48
2022-06-22T19:52:19	Bad Love	Dehd	USFP13779802	0atclF6Pp5MffEEi7CSFlE	6yzuBFtT6dK2aQMZJZtcB1
