listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-17T00:58:04	Evil	Interpol	USMTD0461602	6zPOdhLim2vbcLo0rfjDjq	3WaJSfKnzc65VDgmj2zU8B
2022-05-17T00:52:56	Lines	Nother, Moon Leap	FRX202142067	0O9iY4yW5O42x7PhqSgxnA	1dxfFEAenELG6pFaqE3lp2,0LLfwBeZ5eI1Rghg9qRKSs
2022-05-17T00:37:57	Polar Wander	KOKO	GBRKQ2197032	0e8oAq6Jlf1rCDvYKP4CPv	7F5H8iPoV36dOv8Lb5WXCz
2022-05-17T00:29:50	Sugar Mami	La Zowi, Albany, Pipo Beatz	QM6P42033244	2lwrv8g1JbRlhhqYpPVnlE	1jB62pOe5WpGiHOBDtKBBG,0W7oBn4W3biry1eehAk8wu,5zDVnUun4YSqFlbGk0W1kZ
2022-05-17T00:24:07	Lockdown	Priya Ragu	GBAHT2100510	6RZZu3iT5jUJHVIu8G8BlZ	6iZTyHbQWGzpiWoyI0zz9F
2022-05-17T00:16:15	Illuminous	Priya Ragu	GBAHT2200181	099SC5HFifJ4cOr9xTCEuc	6iZTyHbQWGzpiWoyI0zz9F
2022-05-17T00:13:31	Goodbye My Love (feat. Priya Ragu)	Jungle, Priya Ragu	GBKPL2144804	13oV3JUJWwMtqoSJIIUINr	59oA5WbbQvomJz2BuRG071,6iZTyHbQWGzpiWoyI0zz9F
2022-05-17T00:05:40	Amor de garrafa	Power Burkas	ES6491833710	0KisILT2thvI2vf5C7SnGX	78iws7fljdwzOxJLWJus9S
2022-05-16T23:54:46	Killshot - Slowed + Reverb	Magdalena Bay	QM4TW2159251	6pdyvJQkPkwo2WoDH7tFHO	1oPRcJUkloHaRLYx0olBLJ
2022-05-16T23:45:29	confident	Her Skin	QZ5FN2272434	7fN1h3JjIyoHDrpoDA5sWW	6zdyc0Juu2p2uVVISAhOJe
2022-05-16T23:41:07	Crying	Pom Pom Squad	DED622100051	5ZVlnixH0HeB6igKEkoO9f	1yhTALwId0bpL1U1XRT3Zs
