listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-23T19:54:45	Perfect Places	Lorde	NZUM71700074	7ARveOiD31w2Nq0n5FsSf8	163tK9Wjr9P9DmM0AVK7lm
2022-05-23T19:52:35	Why	Dominic Fike	USQX92003248	1xLs8Mu1QEVbGCpyHQ2r2U	6USv9qhCn6zfxlBQIYJ9qs
2022-05-23T19:48:30	Sweet Disposition	The Temper Trap	GBZUZ0900013	2PLi7OmleXPNBrGLon3sUy	4W48hZAnAHVOC2c8WH8pcq
2022-05-23T19:44:35	Welcome Home, Son	Radical Face	DEX260606902	6HTVZeVQ9J6Uiq6tHESxU9	5EM6xJN2QNk0cL7EEm9HR9
2022-05-23T19:39:30	Mol y Sol	Brijs	DGA072134660	7AlzbuJ7jtFC2roWwgXvLL	1w6YfDok1oXwLvE1rlHewV
2022-05-23T19:35:55	Remember When	Wallows	USAT21812263	5naar7XewEOAjOywIp6Jjq	0NIPkIjTV8mB795yEIiPYL
2022-05-23T19:33:11	Control	Aaron Taos	SE5VF1800512	6jKOxnQ1Pdsr4KblSSeA0j	3AcBSoCVhxILXJnfLcJb66
2022-05-23T17:50:09	Failure	The Staves	GBAHS2001005	3xnFWXU2SfZ7q7Nes4Ncr8	5G49Sq5mMzAkGL4ZP6eVPY
2022-05-23T17:45:30	Rebound	MLLN, Moo Latte	QZES72113751	0mBuQPIjspUvZf57R0QEr8	6cm9fsI3WSMNSJkJp74L1e,3gNjxcKLkMfZYKlLxn0O9F
2022-05-23T17:39:49	Just You and I	Tom Walker	GBARL1801758	2n48BjaFSczfeIG3HaIaPv	7z2avKuuiMAT4XZJFv8Rvh
2022-05-23T17:34:41	Break Me Open	S. Carey	US38Y2142309	24DK3nZUzwGYx6xzBXOz3V	2LSJrlndCuTpdEluvYHc2E
2022-05-23T17:31:37	oh, mexico	Jeremy Zucker	USUM71914206	3dT28suh6dzuW7qF79Nf4F	3gIRvgZssIb9aiirIg0nI3
2022-05-23T17:28:32	Handcuffs	Baker Grace	QM24S1847101	5GdzPpzW6upr4lxIM7YZDX	70RgxMmZhLLWxRlbUFQKR2
2022-05-23T17:22:15	Landslide	Dagny	USUM71810304	41fecZEX4sPrRxnjZQ6DGU	6Paz0vXJJ9bCPf0fEm3qzg
2022-05-23T17:19:15	Every Day Is A Holiday	DOPE LEMON, Winston Surfshirt	AUOXM2000091	7vjWe160MXCv2jiyH3EQMH	7oZLKL1GjYiaAgssXsLmW8,61HS7DjYDQIkKSeGvpqmJh
2022-05-23T17:06:48	Space Makes Me Sad	Fiji Blue	TCAEG1942027	5Op3wFn328uL17aJUIGJx3	1e7K8jD3wRuQfnwDAOeGqe
2022-05-23T17:04:31	Black Dog	Arlo Parks	GBKZV2000037	1NGPZKzplieiPc5g6lAJ49	4kIwETcbpuFgRukE8o7Opx
2022-05-23T17:00:45	Waiting by the Window	mokina, carbeau	CACWV2113248	5TbWWd2lfIgA43b4vZ5kwy	6TnOtn1qYytprdSpG4kYCc,5MOkquoZnhyJEcXBpVHR2j
2022-05-23T16:58:25	Come Home To Me	LÉON	QMRSZ1802911	2K8elWg8ihrZRwZJ7Gy6L3	4SqTiwOEdYrNayaGMkc7ia
2022-05-23T16:53:38	Champion	Warpaint	GB2DY2100879	35qqONLfWcE34sjgEM8UhG	3AmgGrYHXqgbmZ2yKoIVzO
2022-05-23T16:48:58	Dark Days [Feat. Sylvan Esso]	Local Natives, Sylvan Esso	USC4R2003305	6ZMYbLF33jIECoG2MClauD	75dQReiBOHN37fQgWQrIAJ,39vA9YljbnOApXKniLWBZv
2022-05-23T16:45:57	I'm Yours	Jason Mraz	USEE10800667	1EzrEOXmMH3G43AXT1y7pA	4phGZZrJZRo4ElhRtViYdl
2022-05-23T16:41:53	Shallow Water	Mansionair	USYAH2100459	1GYLx5N1krkkvifDW8Iijn	4qOzMSukiZoiSjPQw8Zs7s
2022-05-23T16:37:11	Those Nights	Bastille	GBUM71803866	4R06uQw0yBQXWmatdIOlch	7EQ0qTo7fWT7DPxmxtSYEc
2022-05-23T16:32:40	What A Day - Edit	Ben Howard	GBUM72006519	3MW8spctuyf70mNAWhDlBv	5schNIzWdI9gJ1QRK8SBnc
2022-05-23T16:28:22	Withorwithout	Parcels	FRU701800035	2mcmQR1Zq1wDl582Gm4aLC	3oKRxpszQKUjjaHz388fVA
2022-05-23T16:20:06	Catch & Release - Deepend Remix	Matt Simons, Deepend	NLE3T1400013	11BAVEGi1ivJ6JWLqKUNrZ	1g0fXhQMHAxlRyIBkCbuE7,0uGApGjjFXKwUOAqYBeX7B
2022-05-23T16:16:07	Life Itself	Glass Animals	GB2DY1600018	32zkKx35Et6A515oZKxDkD	4yvcSjfu4PC0CYQyLy4wSq
2022-05-23T16:12:05	Delilah	Florence + The Machine	GBUM71500285	12HB8AmFTovKrFcGG36KbL	1moxjboGR7GNWYIMWsRjgG
2022-05-23T16:07:11	Mr. Brightside	The Killers	USIR20400274	003vvx7Niy0yvhvHt4a68B	0C0XlULifJtAgn6ZNCW2eu
2022-05-23T16:03:27	My Number	Foals	GBAHT1200723	04caEZhAsQKnWqKsMwk9ud	6FQqZYVfTNQ1pCqfkwVFEa
2022-05-23T15:59:28	You! Me! Dancing!	Los Campesinos!	GBDNH0701191	7grnYLqVYwLvr7uPhIav0O	6FlOCziOXI157pvUREAh3E
2022-05-23T15:52:42	Disco	Surf Curse	USAT22103311	2Lumsra3kuU61wXkEKzKaK	1gl0S9pS0Zw0qfa14rDD3D
2022-05-23T14:13:11	Heads Will Roll - A-Trak Remix	Yeah Yeah Yeahs, A-Trak	USUM70906794	5bs8OXiOt4BPF2FAnRFP1u	3TNt4aUIxgfy9aoaft5Jj2,3TaUSUXn41GixL7zbvrIDt
2022-05-23T14:07:46	Hate To Say I Told You So	The Hives	SEVHC0007060	20j7B6mL9gnNvG3ic6Vwh5	4DToQR3aKrHQSSRzSz8Nzt
2022-05-23T14:03:54	Jacqueline	Circa Waves	GBPVV1902926	7lVgkCY44RkrITnnjtKtrn	6hl5k4gLl1p3sjhHcb57t2
2022-05-23T14:01:11	Happiness In Liquid Form	Alfie Templeman	GBKPL2091260	0OM7XnLJnT441emHL5upvW	6QzMY3tnu0m56eKUnr4uCF
2022-05-23T13:57:38	Carried Away	Passion Pit	USSM11202619	52a6VcF23v5HB7KfDEmBHq	7gjAu1qr5C2grXeQFFOGeh
2022-05-23T13:53:55	Take a Walk	Passion Pit	USSM11202617	4Sfa7hdVkqlM8UW5LsSY3F	7gjAu1qr5C2grXeQFFOGeh
2022-05-23T13:49:30	Float On	Modest Mouse	USSM10315494	2lwwrWVKdf3LR9lbbhnr6R	1yAwtBaoHLEDWAnWR87hBT
2022-05-23T13:46:01	Such Great Heights - Remastered	The Postal Service	USSUB1304502	4G21jWo0Cm6lOIUNnZ2mUI	5yV1qdnmxyIYiSFB02wpDj
2022-05-23T13:41:35	The Party Line	Belle and Sebastian	USMTD1505521	4KHQQYJSAfvSJzh0LIpm9X	4I2BJf80C0skQpp1sQmA0h
2022-05-23T13:37:19	Distant Past	Everything Everything	GBARL1500070	4L2F0LcDVtNrFc1K4lmx3m	1HOeqtP7tHkKNJNLzQ2tnr
2022-05-23T13:02:34	Freaks	Surf Curse	USAT22102269	7EkWXAI1wn8Ii883ecd9xr	1gl0S9pS0Zw0qfa14rDD3D
2022-05-23T13:00:06	Take Me Out	Franz Ferdinand	GBCEL0300192	20I8RduZC2PWMWTDCZuuAN	0XNa1vTidXlvJ2gHSsRi4A
2022-05-23T12:56:08	Fever	The Black Keys	USNO11400180	4MzGM692jKGkNSQ7qzeTaJ	7mnBLXK823vNxN3UWB7Gfz
2022-05-23T12:52:02	Brianstorm	Arctic Monkeys	GBCEL0700061	7f9I5WdyXm5q1XqnSYgQZb	7Ln80lUS6He07XvHI8qqHH
2022-05-23T12:48:46	Gimme Sympathy	Metric	CARB70901906	4z2xy1UYMu70xCkWudeL96	1rCIEwPp5OnXW0ornlSsRl
2022-05-23T12:44:51	Sometimes	Gerry Cinnamon	UKLT81700001	2c9OnhCwDVpKZWjOPqKiA8	7cpCnhhBIU1gA7EhTFApN1
2022-05-23T12:41:34	The Bay	Metronomy	GBMVH1100060	2akjLHnHjDGsgqxuf48VYs	54QMjE4toDfiCryzYWCpXX
2022-05-23T12:36:43	The Look	Metronomy	GBMVH1100040	6zfczP87XO2SxWlQtnjFNa	54QMjE4toDfiCryzYWCpXX
2022-05-23T12:32:05	Shoot the Runner	Kasabian	GBARL0600586	4baAwbpkroYCwSIlaqzNXy	11wRdbnoYqRddKBrpHt4Ue
2022-05-23T12:28:37	Eat, Sleep, Wake (Nothing But You)	Bombay Bicycle Club	GB2DY1900396	3nClCcBmn9NnrRQkQTkx1J	3pTE9iaJTkWns3mxpNQlJV
