listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-22T19:44:24	Hips Don't Lie (feat. Wyclef Jean)	Shakira, Wyclef Jean	USSM10600677	3ZFTkvIE7kyPt6Nu3PEa7V	0EmeFodog0BfCgMzAIvKQp,7aBzpmFXB4WWpPl2F7RjBe
2022-06-22T19:40:46	De Diepte	S10	NLG662200040	7uQ7e7nzbtyX87eIYHpj6Z	1zT9SWCzN45r7oVhy0VYLK
2022-06-22T09:44:41	UNA DONNA CHE CONTA REMIX (feat. Wayne Santana)	M¥SS KETA, Wayne Santana	ITUM71900299	1SDrieTmLJUZdRxCPFj6pr	594PwrFy2mmLueuUwUgoCM,4FiPwqm4GHYuJyldqILugY
2022-06-22T09:40:54	PARTENOPE	LIBERATO	FR0ML2200090	60NC3OqjiISKBYbscb8vW3	4X89u81dkCXBSGo8i2DhMW
2022-06-21T19:22:53	Misfit Toys (from the series Arcane League of Legends)	Pusha T, Mako	QZH6S1900389	7HQSxHyORPbCQ1XtgV1k1P	0ONHkAv9pCAFxb0zJwDNTy,0Ye4nfYAA91T1X56gnlXAA
2022-06-21T19:19:58	Hold Me Closer	Cornelia Jakobs	SE5YN2200301	697bFWgzBRm6bmnYWd8GyD	7cYZ8F0N2jby95FsxU9hh4
2022-06-21T19:12:09	NUN CE PENZÀ	LIBERATO	FR0ML2200100	3PpgbB4N9rMu4c2FKYyANb	4X89u81dkCXBSGo8i2DhMW
2022-06-21T12:40:51	SPACE MAN	Sam Ryder	GBAYE2101762	3nhGk6VnrDHy67pXvMhdPa	1rvnJJghrxl1xakJZct08m
2022-06-21T12:30:37	I Want To Break Free - Single Remix	Queen	GBUM71029625	2AkmdLbVKS1steeZdy8H1l	1dfeR4HaWDbWqFHLkxsg1d
2022-06-21T12:26:18	Papaoutai	Stromae	BET671300160	34dx8DACTJsc3rsJdaEIQw	5j4HeCoUlzhfWtjAfM1acR
2022-06-21T12:22:26	Bad For Me	Allocai	QZPLR2014430	10am1LvdZrQpZR0wmUz8ds	35hdnctklAphlKzgR8aHpq
2022-06-21T12:19:16	saudade, saudade	MARO	PTUM72100760	4S4Amrpr631M16IIXqRk73	3NP4jJcW3R6qO6rbtnH0wn
2022-06-21T12:15:52	Even Angels	Dreamfield, Azido 88	FRR642200345	4bbzmY4ECpyyWoexj8rIuH	0Z1g78JEjg1BhRNw6hToVm,36Hfqd2C0x7oulFJTAuIt0
2022-06-21T12:13:43	Slow Drift	Dreamfield, Azido 88	FRR642200344	0MZNVEiVYzajSYzNLc3ei8	0Z1g78JEjg1BhRNw6hToVm,36Hfqd2C0x7oulFJTAuIt0
2022-06-21T12:11:27	Oregon Sunstone	Azido 88	FRR642101568	7F3FV9QrNH5aIowqjE16x0	36Hfqd2C0x7oulFJTAuIt0
2022-06-21T12:04:58	Guren No Yumiya (Attack On Titan)	Otaku	FRR642100236	70CbcDczLupouV8PYWjk5Z	4uV63QZhfi1U3oe38acQJA
