listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-14T18:21:36	Like Ah Boss	Machel Montano	TCACC1485708	7BegCs03MceNueQO8egnZP	6wxP7SSzfvi21Cnl8JicdQ
2022-07-14T18:07:42	I Need	Wilkinson, Hayla	GB5KW1802379	1A05JVopbyY1AcGcDVOEnA	6m8itYST9ADjBIYevXSb1r,4yX6mpMyBGf9UfvBB8JJrc
2022-07-14T14:05:23	The Man	The Killers	USUM71705733	5aWhs651KYM26HYM16kRdk	0C0XlULifJtAgn6ZNCW2eu
2022-07-14T13:58:39	19-2000	Gorillaz	GBAYE0001456	71koAFCnGnugRdGIDfS7f4	3AA28KZvwAUcZuOKwyblJQ
2022-07-14T13:55:04	For Reasons Unknown	The Killers	USUM70605413	6suRRwX61xSMfU7wJuCVdy	0C0XlULifJtAgn6ZNCW2eu
2022-07-14T13:51:22	Ready to Start	Arcade Fire	GBUM71021615	33X9miK4Xz7pNeVrc9RITG	3kjuyTCjPG1WMFCiyc5IuB
2022-07-14T13:45:44	Quiet Light	The National	GBAFL1900115	0kje3SpbIHS7SoEk6QG5xn	2cCUtGK9sDU2EoElnk0GNB
2022-07-14T13:41:33	Angels	The xx	GBBKS1200085	3zsRP8rH1kaIAo9fmiP4El	3iOvXCl6edW5Um0fXEBRXy
2022-07-14T13:38:22	DARE	Gorillaz	GBAYE0500178	4Hff1IjRbLGeLgFgxvHflk	3AA28KZvwAUcZuOKwyblJQ
2022-07-14T12:36:16	J'irai où tu iras (with Jean-Jacques Goldman)	Céline Dion, Jean-Jacques Goldman	CAC229500010	17LZKLjQxH2w67xMa8mWML	4S9EykWXhStSc15wEx8QFK,2Cx19OTMqa6gpz2l60cGG2
2022-07-14T12:32:50	Cœur de loup	Philippe Lafontaine	BEX258800001	3lwX10MDUwGfSzuwIfQAln	7ee9JJuqLBnVjTZ4UXblnu
2022-07-14T12:29:07	Chanson sur ma drôle de vie - Remasterisé en 2008	Véronique Sanson	FRZ041900482	4lJKn6cDD3vpZrcg6oVTr1	4zxH2Yu5AvPNRdEDBz120D
2022-07-14T12:26:26	For Me Formidable	Charles Aznavour	FRZ116300630	7xx7mUGAPcMd6gGqHzoec9	2hgP9Ap2tc10R5jrQaEpMT
2022-07-14T12:24:06	Magnolias for Ever	Claude François	FRZ167701850	6PmaNSJzn3WOeqzAS0TTQt	0P2p1bqVyP2EgqubwjTBUJ
2022-07-14T12:19:46	Alexandrie Alexandra	Claude François	FRZ167701830	35jK3rPCyBf1bUCJTEYyau	0P2p1bqVyP2EgqubwjTBUJ
2022-07-14T12:14:59	La boulette (Génération nan nan)	Diam's	FRZ110500432	1Vf09Cxf2jqSkU6sfueYAq	6379rD5bSEwInazkKhZ9DM
2022-07-14T12:11:07	Tomber la chemise	Zebda	FRZ019800920	7JGmpugbdiVWskY1S3EmTY	0eOdRJIL6L8AInJLre2uIP
2022-07-14T12:06:43	J'ai demandé à la lune	Indochine	FRZ080104420	2QSAj76Ba6aMFX9RlXdUdO	7knmbOGe07k85GmK50vACB
2022-07-14T12:03:13	Viens danser le twist	Johnny Hallyday	FRZ036100880	2WBBVmbjY0BneqS0mrtb07	2HALYSe657tNJ1iKVXP2xA
2022-07-14T12:01:09	J'irai où tu iras (with Jean-Jacques Goldman)	Céline Dion, Jean-Jacques Goldman	CAC229500010	17LZKLjQxH2w67xMa8mWML	4S9EykWXhStSc15wEx8QFK,2Cx19OTMqa6gpz2l60cGG2
2022-07-14T11:57:43	Emmenez-moi	Charles Aznavour	FRZ116700340	61Yh6AEwsba6RYsrWiNmI0	2hgP9Ap2tc10R5jrQaEpMT
2022-07-14T11:54:11	Louxor j'adore	Philippe Katerine	FRZ010402790	60udb73Xe8KJ7IzBhn3ptV	61NKNrhSMTYg2q0f3vS46e
2022-07-14T11:51:08	Armstrong	Claude Nougaro	FRZ036500440	1mR2KQy1rN55wbCr0rfAqN	115Iq0OjPxUUyWOIiF2pIR
2022-07-14T11:47:51	L'envie	Johnny Hallyday	FRZ808680010	2NJdk5QfMRPoyuck0vCQJk	2HALYSe657tNJ1iKVXP2xA
