listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-17T22:36:17	Bite Your Rhymes	Mindless Self Indulgence	US2421119812	5iUlSK6soZnVPqpWxUUC9A	5R5MLOQbI4lb7GHYioPqoN
2022-07-17T22:33:51	Fuck Machine - Chantal Loves Jimmy Remix	Mindless Self Indulgence	US57M1391707	54sZ3brvqDNhN2SQT9xgX6	5R5MLOQbI4lb7GHYioPqoN
2022-07-17T22:29:18	It's Got Issues - Dinesh Boaz of What What Where Remix	Mindless Self Indulgence	US2420811003	0jvNzP0CWlH7WmTtc0xlTe	5R5MLOQbI4lb7GHYioPqoN
2022-07-17T22:26:07	Personal Jesus	Mindless Self Indulgence	US57M1599901	2IklI6RdZqMijpdQSq4wJV	5R5MLOQbI4lb7GHYioPqoN
2022-07-17T22:24:01	Straight to Video - KHZ Remix	Mindless Self Indulgence	US57M0640910	5qWTJ4aH2FwzkwjaE9pVwi	5R5MLOQbI4lb7GHYioPqoN
2022-07-17T22:18:21	Straight to Video - Front 242 Remix	Mindless Self Indulgence	US57M0640911	0l6xpZ8fbaDq7VZsUnPSQG	5R5MLOQbI4lb7GHYioPqoN
2022-07-17T22:15:03	Apple Country	Mindless Self Indulgence	US2421119810	3MA8BJQ1lN0SFr0m3A9dAj	5R5MLOQbI4lb7GHYioPqoN
2022-07-17T22:13:56	5TR82HE11	Mindless Self Indulgence	US57M1599908	0S0K1ZDYH0EnxxgTzQ6swe	5R5MLOQbI4lb7GHYioPqoN
2022-07-17T22:10:55	On It - Remix by Antron 2600 of 8-bit Suicide	Mindless Self Indulgence	US2420811106	2fjOKmtdSMtufPR0vJYg0s	5R5MLOQbI4lb7GHYioPqoN
2022-07-17T22:07:22	Evening Wear	Mindless Self Indulgence	US2420912501	7GgO3yxFBlGTfflwhDQCke	5R5MLOQbI4lb7GHYioPqoN
2022-07-16T01:20:55	Bitches	Mindless Self Indulgence	USEE19900304	7wwLxmUVLCfySaJ0fdyelI	5R5MLOQbI4lb7GHYioPqoN
2022-07-16T01:20:24	Molly	Mindless Self Indulgence	US2421119806	1kTZ1aERsOBTrihsDdGFNn	5R5MLOQbI4lb7GHYioPqoN
2022-07-07T18:47:31	The Only Difference Between Martyrdom and Suicide Is Press Coverage	Panic! At The Disco	US56V0507702	4E89wfYbGzoNolObrFhoG4	20JZFwl6HVl6yg8a4H3ZqK
