listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-05T10:46:12	GHOST	Hoshimachi Suisei	JPV752104460	6Ft1XuvNszzYKUzWYK67VR	726WiFmWkohzodUxK3XjHX
2022-07-05T03:03:55	A Drop of Nelson`s Blood	Storm Weather Shanty Choir	NOBWC1203010	3ibRWGqFRxHIjwIDKa9Bvk	0okdQDzOszSXXqigrEv6wF
2022-07-05T03:00:47	Haul Away the Whale	Jimmy Rankin	CAT241700126	4LA7dTvssOGgLMthwbkTGX	2OQPlCSsa0Hs0V0oMT5YdU
2022-07-05T02:56:23	SOUTH AUSTRALIA	Kimber's Men	USA561013317	7cJUHN31KfyZjdAUnFq5ih	1cwHLCOp0xUtjZjSMycdNa
2022-07-05T02:54:07	Bones in the Ocean	The Longest Johns	ushm21314947	3axCgesL3rsjGzCX9ZJCTo	5k979N1TnPncUyqlXlaRSv
2022-07-05T02:50:52	Ring Down Below	Storm Weather Shanty Choir	NOBWC1203040	0mPYN69Ko3N8HeaZwZv1am	0okdQDzOszSXXqigrEv6wF
2022-07-05T02:48:58	Rye Whiskey	The Pirates Charles	USTCB0944074	5Pnb6NnOVs5ZWRpKTphvKq	0fjtn0AzKbAlIsJMC3Xmd1
2022-07-05T02:44:51	Leave Her Johnny	Sean Dagher, Nils Brown, Michiel Schrey	CA2BN1301189	2vaa0nnDnNTlxCh7fCmjsr	5JgxqXmh1TrVDZn7gAgqLw,42cM14lDAB0KzoBWQ86TWu,2KgIhGBEJK4W6Uw5WVeoaV
2022-07-05T02:42:39	The Jolly Roving Tar	The Irish Rovers	CAI370511781	5HFTXdXOYdrTBTQzENl3Y6	0tkKwWigaADLYB9HdFCjYo
2022-07-05T02:40:10	Fish in the Sea	Michiel Schrey, Sean Dagher, Nils Brown	CA2BN1301192	4gofFADVe6CBXoNQHuxwiF	2KgIhGBEJK4W6Uw5WVeoaV,5JgxqXmh1TrVDZn7gAgqLw,42cM14lDAB0KzoBWQ86TWu
2022-07-05T02:38:40	The Dreadnaught	William Pint & Felicia Dale	ushm20783802	7pbUBoAUewp7qTiTKQIPKs	25mMk8NaLmEHMdXaXP86Lq
2022-07-05T02:32:06	Wellerman - Sea Shanty	Nathan Evans	GBUM72100297	54OBgO0Xwu20Jak9TMXbR7	1PKErrAhYFdfrDymGHRQRo
2022-07-05T02:29:31	The Cruel Wars	The Dreadnoughts	ushm21101085	6BadR8UdEijDv01ZafyO62	0tfnDOJ5a2ib3mHAI4qGyD
2022-07-05T02:26:22	Roll Alabama, Roll	Duck Pond Sailors	QZES91888094	57L0Dz5MohSeTwdgVS8HO0	0nT8N9mfTSaziIrYYBzVSx
2022-07-05T02:22:37	Brisbane Harbour	The Dreadnoughts	CASE12200005	0ZEOLjnJrEBGGHs06ffs5s	0tfnDOJ5a2ib3mHAI4qGyD
2022-07-05T02:20:14	The Last Shanty	The Celtic Connection	ushm91060492	6tLRGja4JrRoIUBAhmK4WZ	7fnASfwfVJkReF5vfyoQ9v
2022-07-05T02:17:12	Drunken Sailor	The Irish Rovers	CA6BE1200020	5Su5ILFp6U83cnIXwfmlC5	0tkKwWigaADLYB9HdFCjYo
