listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-24T21:11:58	Evil Twins	King Von, Lil Durk	USUYG1416192	3gG6t4xCPtnTskhpRFFsqO	6QtgPSJPSzcnn7dPZ4VINp,3hcs9uc56yIGFCSy9leWe7
2022-05-24T16:36:41	Resort	Chico da Tina	PTBM12000118	7yaxytyMMyorvKlF2g64MP	7xDYCf4fsGxHBp8Blo9D94
2022-05-24T16:34:11	E Agora Como É Que É	Chico da Tina	PTBM12100148	1b3zsjMRa8uAZLOCsijGuo	7xDYCf4fsGxHBp8Blo9D94
2022-05-24T15:13:51	Glass Houses	Bad Omens	USYFZ1566201	3VYxHOaZ8ed1enSdu9lY5J	3Ri4H12KFyu98LMjSoij5V
2022-05-24T15:09:50	when we were young	Architects	USEP42222006	5wTfzzRW8ddRdgW2kASbox	3ZztVuWxHzNpl0THurTFCv
2022-05-24T15:06:26	The Hell I Overcame	Bad Omens	USYFZ1808701	2PRHWq5uWiCfjYprnvYPrf	3Ri4H12KFyu98LMjSoij5V
2022-05-24T15:01:27	Severance	Allt	QZES52294022	3LeOJGqZ62QPSvWueSeL7Q	6YRr0btzGqfQ5K7r23qjEM
2022-05-24T14:57:23	Paralyzed	Allt	QZES52293348	25vCUIP2LqB5jDCWTzrq0d	6YRr0btzGqfQ5K7r23qjEM
2022-05-24T14:53:09	Rupture	Allt	QZDA62199319	34GiFSmz7n93p8VwjmrFNK	6YRr0btzGqfQ5K7r23qjEM
2022-05-24T11:40:15	一途	King Gnu	JPU902105228	7ncPjJBktLEOpstY5JOUMK	6wxfx1yhyqjCPYwwxJktR2
2022-05-23T22:46:20	The Light, the Fire	Novelists FR	DED831701150	5K6ooutGWxbvX5ISdKUNrn	6o8sDniHcZPM1SixvjKiYS
2022-05-23T22:42:34	Terrorist	Novelists FR	DEBZ72100057	2oUXIUf6MkkOKVY9gBf5uD	6o8sDniHcZPM1SixvjKiYS
2022-05-23T22:37:09	The Hell I Overcame	Bad Omens	USYFZ1808701	2PRHWq5uWiCfjYprnvYPrf	3Ri4H12KFyu98LMjSoij5V
2022-05-23T22:26:57	Paralyzed	Allt	QZES52293348	25vCUIP2LqB5jDCWTzrq0d	6YRr0btzGqfQ5K7r23qjEM
