listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-13T21:31:36	N95	Kendrick Lamar	USUM72208963	2FeBslNBMdR9V58uv6hd2t	2YZyLoL8N0Wb9xBt1NhZWg
2022-05-13T21:28:09	United In Grief	Kendrick Lamar	USUM72208961	05zd5Nv0e02ZqrlC8A2cwx	2YZyLoL8N0Wb9xBt1NhZWg
2022-05-13T21:23:10	Yellow Lights	24kGoldn	USQX92100618	21qG1xDCjJDZZ6Gffjpjt2	6fWVd57NKTalqvmjRd2t8Z
2022-05-13T21:20:40	Fall	Eminem	USUM71813341	58QhkbaAkLFnn7JwAnAato	7dGJo4pcD2V6oG8kP0tJRR
2022-05-12T17:58:12	Bubbly (with Drake & Travis Scott)	Young Thug, Drake, Travis Scott	USAT22106845	4KDNRh9Oor80z3XIxdWlui	50co4Is1HCEo8bhOyUWKpn,3TVXtAsR1Inumwj472S9r4,0Y5tJX1MQlPlqiwlOH1tJY
2022-05-11T15:16:51	Wanted You (feat. Lil Uzi Vert)	NAV, Lil Uzi Vert	USUG11702054	1Faq8G2y56A8fRv7HsLq25	7rkW85dBwwrJtlHRDkJDAC,4O15NlyKLIASxsJ0PrXPfz
2022-05-11T15:03:40	Turks (with Gunna & ft. Travis Scott)	NAV, Gunna, Travis Scott	USUM72003472	7IMwEtpAiJanqF6vQteZN2	7rkW85dBwwrJtlHRDkJDAC,2hlmm7s2ICUX0LVIhVFlZQ,0Y5tJX1MQlPlqiwlOH1tJY
2022-05-11T15:00:58	Myself	NAV	USUM71701686	05nbZ1xxVNwUTcGwLbp7CN	7rkW85dBwwrJtlHRDkJDAC
2022-05-11T14:57:12	Some Way	NAV, The Weeknd	USUM71701371	7zxRMhXxJMQCeDDg0rKAVo	7rkW85dBwwrJtlHRDkJDAC,1Xyo4u8uXC1ZmMpatF05PJ
2022-05-11T14:54:11	Champion (feat. Travis Scott)	NAV, Travis Scott	USUM71806667	6nO3tr47nr2P7f3hXb8JIo	7rkW85dBwwrJtlHRDkJDAC,0Y5tJX1MQlPlqiwlOH1tJY
2022-05-05T17:57:42	Lil Haiti Baby	Future	USSM11600552	3IMZ6j3mlRQYsatEuzt0Y3	1RyvyyTE3xzB2ZywiAwp0i
2022-05-05T17:57:21	Gasoline	The Weeknd	USUG12106682	3KyKxJ4P3pVCgaZwaq2rUC	1Xyo4u8uXC1ZmMpatF05PJ
2022-05-05T17:53:48	Wow.	Post Malone	USUM71822626	7xQAfvXzm3AkraOtGPWIZg	246dkjvS1zLTtiykXe5h60
2022-05-05T17:51:18	River	Eminem, Ed Sheeran	USUM71712944	5cgcfNRYuyUsn2wWOcFO0j	7dGJo4pcD2V6oG8kP0tJRR,6eUKZXaKkcviH0Ku9w2n3V
2022-05-05T17:47:36	POPSTAR (feat. Drake)	DJ Khaled, Drake	USSM12004501	1sbEeUY8KsdvgiQi26JBFz	0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4
2022-05-05T17:44:16	On The Road (feat. Meek Mill & Lil Baby)	Post Malone, Meek Mill, Lil Baby	USUM71915729	12Fkyg9lpmaz2zmKOfw2Y2	246dkjvS1zLTtiykXe5h60,20sxb77xiYeusSH8cVdatc,5f7VJjfbwm532GiveGC0ZK
2022-05-05T17:40:37	Codeine Crazy	Future	USSM11913494	0joQFwiBKmi6X1Iq5R1ubH	1RyvyyTE3xzB2ZywiAwp0i
