listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-15T23:55:11	30/90	Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesus, Alexandra Shipp, MJ Rodriguez	QZ8BZ2100734	55MIRLbZzpYSmMlRt9ZDWM	2garjIdgTW5i89s4Z3UT72,2WHbNs4WT5ZN7rbjDqbyEE,6G9bygHlCyPgNGxK2l3YdE,6mXcTwoata1hkaDMbkzw32,6RKS67sIPOW16NcGWkgdzF,5jMxsWwmiQl6lRo01xHMmG
2022-05-15T02:42:59	St. Jimmy - Live at Milton Keynes National Bowl, Milton Keynes, England, 6/18/05	Green Day	USRE10501342	25NasaCkXkaM2KrMAlWqZ6	7oPftvlwr6VrsViSDV7fJY
2022-05-15T02:40:31	Rock Lobster	The B-52's	USIR27900014	0rme3FLbw5o1KLXpJzivjS	3gdbcIdNypBsYNu3iiCjtN
2022-05-15T02:31:15	Insects	Oingo Boingo	USAM10110438	5A5xAcQywDqzT2fCDFUU2L	5LXEAEGrpKQtpyCu2sZuWu
2022-05-14T22:59:36	Die Together	Amanda Tenfjord	NOPRR2203010	35b0iM96Uid8KI5s83IEHM	187i912U6kpq0F0Z9uOVXr
2022-05-14T22:56:26	SPACE MAN	Sam Ryder	GBAYE2101762	3nhGk6VnrDHy67pXvMhdPa	1rvnJJghrxl1xakJZct08m
2022-05-14T22:52:48	Fulenn	Alvan, Ahez	FR9W12204047	2ewv8FkYHVy3Mv0uf5Pi7k	25OslGicPT7wGn5Ovf4Uwx,08RIw4S0rUXGlhFPBmMeko
2022-05-14T22:48:47	SloMo	Chanel	ES94B2100282	3XREkzDHsWdBL5tybyCDBH	5DeX42pr2TilrnsUgjG8D1
2022-05-13T15:56:38	Bulletproof Heart	My Chemical Romance	USRE11000825	2EGF4JrisrJ4D4HOdTyYEO	7FBcuc1gsnv6Y1nwFtNRCb
2022-05-13T14:58:40	Helena	My Chemical Romance	USRE10400656	5dTHtzHFPyi8TlTtzoz1J9	7FBcuc1gsnv6Y1nwFtNRCb
2022-05-13T14:55:16	Give 'Em Hell, Kid	My Chemical Romance	USRE10400657	0axF06XwNLobcx5z8BVtYw	7FBcuc1gsnv6Y1nwFtNRCb
2022-05-13T14:52:56	I'm Not Okay (I Promise)	My Chemical Romance	USRE10400660	7lRlq939cDG4SzWOF4VAnd	7FBcuc1gsnv6Y1nwFtNRCb
2022-05-13T14:49:49	Welcome to the Black Parade	My Chemical Romance	USRE10602613	5wQnmLuC1W7ATsArWACrgW	7FBcuc1gsnv6Y1nwFtNRCb
2022-05-13T14:44:38	Teenagers	My Chemical Romance	USRE10602912	7j31rVgGX9Q2blT92VBEA0	7FBcuc1gsnv6Y1nwFtNRCb
2022-05-13T14:41:55	The Foundations of Decay	My Chemical Romance	USRE12200285	6Pif6RkFoYzLygdqktus4Q	7FBcuc1gsnv6Y1nwFtNRCb
2022-05-13T12:37:26	Hysteria	Muse	GBCVT0300083	7xyYsOvq5Ec3P4fr6mM9fD	12Chz98pHFMPJEknJQMWvI
