listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-25T02:46:01	Home	Hollow Coves	AUGSG1600010	6SGoFZFKjF1ZbGDkImEaS7	7IAFAOtc9kTYNTizhLSWM6
2022-05-25T02:34:32	When the End Comes	Andrew Belle	TCADC1739039	3Et4LKZLnXygPYfNdeB3D3	3UAk61T8PItbpgEi9u7ofY
2022-05-25T02:28:40	Brave Soul	Jason Walker	GBWUL2000578	2dXX5WmV4fK0WLyojvGy53	3XBxSfCwYIMBzWmJL7ZJ4U
2022-05-25T02:25:10	Hugging You - Acoustic	Tom Rosenthal, Billie Marten	GBVHN1800018	7io1erAh1tMxG5VMBC8rVw	1AgxgADPuRIW1wyaA4OKcB,02YLJJnWC7YQVixkjEBRn7
2022-05-25T02:21:18	Wherever You Are	Kodaline	GBKPL1978984	42fu5cmEhi5EWmoqaZUZuK	4BxCuXFJrSWGi1KHcVqaU4
2022-05-25T02:18:15	It's Ok	Tom Rosenthal	GBFFM1430001	2Iyfw8YfKruAagJwGc4G07	1AgxgADPuRIW1wyaA4OKcB
2022-05-25T02:15:05	Ambulance - Acoustic	Eisley	US3X51120313	1RmHYiCW1UAbENC1IiFtgv	2IL35FbYiOta150uSYBCEg
2022-05-25T02:11:06	Morning O	Tom Rosenthal	GBVHN1800019	4CcJZdf82Wi7wduo2uW3Wu	1AgxgADPuRIW1wyaA4OKcB
2022-05-25T02:08:27	Flaws	Vancouver Sleep Clinic	TCABU1449052	2OYfo8xz9nCqXVXqibLq2G	77BznF1Dr1k5KyEZ6Nn3jB
2022-05-25T02:05:09	That Funny Feeling	Phoebe Bridgers	USJ5G2130301	30y5OpD8TPAru2wsyZDD4S	1r1uxoy19fzMxunt3ONAkG
2022-05-25T01:58:30	Futile Devices (Doveman Remix)	Sufjan Stevens	US64G1737301	5vTSnZTmS1gMiWuA9kDE19	4MXUO7sVCaFgFjoTI5ox5c
2022-05-25T01:56:17	Beauty in the Light	Hollow Coves	CAN111900228	2x1eImwtkgb4cLoFzj6gwL	7IAFAOtc9kTYNTizhLSWM6
2022-05-25T01:52:03	To You Alone	Tom Rosenthal	GBVHN1500011	0w0AsLfLOiKijA7mKGGvse	1AgxgADPuRIW1wyaA4OKcB
2022-05-25T01:49:22	Anyway	Noah Kahan	USUM72009073	5FwlCxV2Q4xjTywLsD3Kxe	2RQXRUsr4IW1f3mKyKsy4B
2022-05-25T01:44:11	Monday - Acoustic Version	Vintage Culture, Felguk, Le Dib	NLZ541701406	0erYvs2J2DImv9Qb5uia0g	28uJnu5EsrGml2tBd7y8ts,3eH2apcLhzhnr3eWmH3VBf,40UZHykE9w6eVKyURGjpgF
2022-05-25T01:41:31	Hard For Me	Michele Morrone	PLC592000024	00PesUdTmC3Y5xtZbZND0p	03fLoIOO015incUitpfkad
2022-05-25T01:38:35	Lung	Vancouver Sleep Clinic	USQX91600717	4N4OGHFxIUKJzbwIqKkrKx	77BznF1Dr1k5KyEZ6Nn3jB
2022-05-25T01:35:01	Bored	Billie Eilish	USUM71702756	04sN26COy28wTXYj3dMoiZ	6qqNVTkY8uBg9cP3Jd7DAH
