listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-16T19:37:13	Burning Witches	Burning Witches	ATR981168860	3VPwxQXpCzxDpn8Q2Z74YB	0eNuNAhL4dW2nvKbSe2mS8
2022-05-16T19:32:54	Marching On Versailles	Ad Infinitum	ATN261993602	55soLA9gH7BZYJI4nC7YCq	2X3qFQFHkm1sOGo5ppIoSD
2022-05-16T19:29:01	Sign of the Dragonhead	Leaves' Eyes	DEU601707374	43b2iYHgMEilHONhx2jGz1	63qODcvBCdG2kTguOJkEqJ
2022-05-16T19:24:53	Dark Love Empress	Leaves' Eyes	DEU602008858	7o3eiEmgW9j7vOotdBcUxY	63qODcvBCdG2kTguOJkEqJ
2022-05-16T19:10:48	I Want the World... And Everything in It	Battle Beast	DED831401067	5qQki0uYvojTK4qEZn2WPp	7k5jeohQCF20a8foBD9ize
2022-05-16T19:06:09	Fly Away	Angel Nation	SEXEN2100701	3wfyYRMELbFJZv3DfhQ2U5	6a6pLnsC3PywiBTzYe24nb
2022-05-13T19:57:12	HELICOPTER	CLC	KRA392000055	2hJS7BdEaH9Jo8MeJujsHT	6QyO41KctzGc70mVaVnXQO
2022-05-10T18:53:32	RUNNIN’ BACK	이바다	KRB921945791	0FVQr2ILw82OIqotJyDymt	5oUG2PYVp9BrtwF1ztWZ5L
2022-05-10T18:50:30	Daisy	PENTAGON	KRA392000057	14pjnaIqkpReO5D0tHofAS	1wKpMkucynaTfG8lyPprYV
2022-05-10T18:47:19	Take Yourself Home	Troye Sivan	AUUM72000197	21063p4OKSg1gQOx4Fzv77	3WGpXCj9YhhfX11TToZcXP
2022-05-10T18:43:12	Golden	Harry Styles	USSM11912586	45S5WTQEGOB1VHr1Q4FuPl	6KImCVD70vtIoJWnq6nGn3
2022-05-10T18:38:54	FIRE (Prod. by GroovyRoom)	Sik-K	KRF151800048	44qSm80CrnBt3Mry9vYE41	5DIi2JWfQPTKffaVBlIYRn
2022-05-10T18:35:37	Dear Society	Madison Beer	UKELY1900008	0L1IszgjzIZRBENyHJTQms	2kRfqPViCqYdSGhYSM9R0Q
2022-05-10T18:32:37	2 KIDS	TAEMIN	KRA302000410	35IJPK0rh5w4GwKvqHvnoZ	13rF01aOogvnkuQXOlgTW8
2022-05-10T18:28:42	Don’t Need Your Love	NCT DREAM, HRVY	KRA301900245	7oEm5Q1virEUB9H0XjWZzF	1gBUSTR3TyDdTVFIaQnc02,28y6CyJNkGNjJQKrlx4AmN
2022-05-10T18:25:19	Love Me Like That	Sam Kim	KRF702100173	1lhm29o3syw122xynSKaAK	4BBN286rBKyCWsSPq2cxYO
2022-05-10T18:21:36	Love Me Harder	WOODZ	KRMIM2017224	3gChfwiB0yrnZRnlJ5Oq9E	6y9nlaoynxSvoTGY09Vdcy
2022-05-10T15:16:19	Love Me Harder	WOODZ	KRMIM2017224	3gChfwiB0yrnZRnlJ5Oq9E	6y9nlaoynxSvoTGY09Vdcy
2022-05-10T15:14:06	Knock	ASTRO	KRA382001343	1vfk4cnwq5IuGtkd4weoah	4pz4uzOMpJQyV8UTsDy4H8
2022-05-10T15:10:52	17	Julia Michaels	USUM71912027	0ND8rF8oirMXtE59n585P6	0ZED1XzwlLHW4ZaG4lOT6m
2022-05-10T15:07:40	I'm Gonna Love You	D.O., Wonstein	KRA302100238	1jxGBe4s8FwL2ZeNWszVuu	2CQZr2RPZmrcvDnaod1ldC,5o615XColiSVMPDWlslKSk
2022-05-10T15:05:08	LIFT UP	WOODZ	KRMIM2017222	345hulOVGszC6IK8VnYMXL	6y9nlaoynxSvoTGY09Vdcy
2022-05-10T15:02:15	You Calling My Name	GOT7	US5TA1900095	6f4wghlwYWGLqGEIKc6HDQ	6nfDaffa50mKtEOwR8g4df
2022-05-10T14:57:46	BUT YOU	iKON	KRA402100168	7IqYkjcFnqKPmwg6lWxXYv	5qRSs6mvI17zrkJpOHkCoM
2022-05-08T19:10:30	Per Lei Mi Batterò	V Matteucci, V Giannetti, G Giannolla, L Lenghi, Michele Centonze	USWD10526286	3PzZgvtR2OsxN2QtZX41xK	2eJAB26hKyhjrMT0dmAuwm,4e1ovRuN0EfLfFn5Pd0lGC,7g553b3GtzaRGMs42HRRUP,7v8c8xMt2Xt8DWdW3hom6r,5HeSdlABq0j0WlpOmYDGVb
2022-05-08T19:08:03	Ricordami - Solo	Michele Bravi	USWD11784415	4Q4XxblXhPvcVKGhLKupNf	1CF7hrTuWgErEa6HBFJ8d3
2022-05-08T19:05:18	Molto Onore ci Darai	M Cataldi, M Martello, C Dori, G Fasolino, M Magnani, L Heredia, N Biondini	USWD10526283	5y60lORRFrupWhhgeV1rAg	4Y8mhvWTaw8WF3SL6Gurk4,6D5OOvDLTOAs7cgihtjhba,6WGRFihfDDtlHV4V0cXnfT,5dh1bYLEniXZRZ8pMColik,3VhvTgUQxWqX4F7sH8a6Tu,4UskjaO67zpfbDCejG7H8T,5D85VSrvAUZ1mvcMeF4g5B
2022-05-08T19:02:14	Lo splendente Tamatoa	Raphael Gualazzi, Nicola Gargaglia, Ernesto Brancucci	USWD11678199	5BdMrdKfmXudfTVwYw7JsT	6hu9cUsJDFg2kUkAAjOepA,4SmlYmn1ZlYJgOUuSHgJRe,3AqhRb2D9TEcmTXG4g7miu
2022-05-08T18:59:07	Ho un sogno anch’io	Mirko Pontrelli, Mario Biondi, Laura Chiatti, Massimiliano Alto	USWD11055497	0L13OwHgBZzBj00MpWZZkA	2JexQ0SabLPkwvLOatN352,1dRsXw2TtfCXfqMLRiP088,6eNVOzxZCPBE5tjMP0XcAI,7AMuv2T59xUW2gdfp1eBTf
2022-05-05T18:17:48	Stay The Night	State Champs	US5261420312	5IiViFIVssuYKSViifBM91	1qqdO7xMptucPDMopsOdkr
2022-05-05T18:16:34	Dumhdurum	Apink	KRA382001084	55kuHkT2CWhWKF6CoRDnJq	2uWcrwgWmZcQc3IPBs3tfU
2022-05-05T18:13:05	Love Me Harder	WOODZ	KRMIM2017224	3gChfwiB0yrnZRnlJ5Oq9E	6y9nlaoynxSvoTGY09Vdcy
