listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-16T16:48:20	Mr. Walker	Wes Montgomery	USFI86000101	2WtVKGMO7Nu7SvNL7SZsdp	03YhcM6fxypfwckPCQV8pQ
2022-05-16T16:43:50	In Your Own Sweet Way	Wes Montgomery	USFI86000100	392OK8Qdmos0wNDrduiwy0	03YhcM6fxypfwckPCQV8pQ
2022-05-16T16:38:58	West Coast Blues	Wes Montgomery	USFI86000099	5vooXq1F3SrYJl8TGtMsHA	03YhcM6fxypfwckPCQV8pQ
2022-05-16T16:31:35	Four On Six	Wes Montgomery	USFI86000098	2Mq2Fzc9HBgvsijVFdSXUl	03YhcM6fxypfwckPCQV8pQ
2022-05-16T16:25:20	Polka Dots And Moonbeams	Wes Montgomery	USFI86000097	6v8L0BXEuKDVeUeSKDb5LU	03YhcM6fxypfwckPCQV8pQ
2022-05-16T16:20:39	D-Natural Blues	Wes Montgomery	USFI86000096	5fxPh44pYzAR5M5KW5SdMk	03YhcM6fxypfwckPCQV8pQ
2022-05-16T16:15:19	Airegin	Wes Montgomery	USFI86000095	2UCUSLYC6EX0AGnI7DAC35	03YhcM6fxypfwckPCQV8pQ
2022-05-14T21:43:11	Michael Kills Judith	John Carpenter	TCAAR1072730	17dS5iy1iXUJLfcYmFysd1	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T21:41:35	Myer's House	John Carpenter	TCAAR1072729	7C0PLU09wuagiab4Ks3Yih	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T21:36:00	Shape Escapes	John Carpenter	TCAAR1072728	6G6AQQtFoqkUtPQ7U799vQ	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T21:34:17	Laurie's Theme	John Carpenter	TCAAR1072727	5uGk3v4dLFzUfPpKdW1vDz	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T21:32:11	Halloween Theme - Main Title	John Carpenter	TCAAR1072726	7swocJUCUWTCiRUAU9oerC	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T21:17:16	Fallen - Blanck Mass Remix	John Carpenter	US5NR1512313	4GhgLAyFRDxTdnhEBpS4u6	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T21:09:53	Vortex - Silent Servant Remix	John Carpenter	US5NR1512312	6Qi6HINNeeHd14BeC45MYA	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T21:04:43	Wraith - ohGr Remix	John Carpenter	US5NR1512311	6XUmBJxO8xIXdJD5zpP65X	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T21:00:51	Night - Zola Jesus and Dean Hurley Remix	John Carpenter	US5NR1512310	6ss9Cs0o3dilxbfsx8vHip	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:57:12	Night	John Carpenter	US5NR1512309	0tdZbCUN57uLhTPMjfQz1f	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:53:34	Purgatory	John Carpenter	US5NR1512308	0IuXYGooqsUKDiiXNnciwp	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:48:55	Wraith	John Carpenter	US5NR1512307	719f4RtjFidpcnKOXkVVd6	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:44:25	Abyss	John Carpenter	US5NR1512306	4Pgps2DaaeZcyYxLA3VBVC	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:38:18	Mystery	John Carpenter	US5NR1512305	4k30be00n3grTKGkMnlnmb	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:33:42	Domain	John Carpenter	US5NR1512304	4rdFUY4jqpQYqw7hONpPW0	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:27:08	Fallen	John Carpenter	US5NR1512303	7bsAWPvZHIAkgygzW2t3nR	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:22:24	Obsidian	John Carpenter	US5NR1512302	6Y4XnSWobNIPSyDLHs0zHL	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:13:59	Vortex	John Carpenter	US5NR1512301	5cE9YBCzeAC91L9bq7sAfi	0hxQtmgWiPtEsDPeIuKxXq
2022-05-14T20:07:03	Melancolico	Stan Getz	USPR36270204	0chpaLW50wv1kTbfkKzOzS	0FMucZsEnCxs5pqBjHjIc8
2022-05-12T12:07:59	Egoist Hedonist	Riverside	PLB820900065	63cli9FWbPU7zmRaFuiaCw	5yjbUO1Jocui7RKE30zfLT
2022-05-12T11:53:44	Driven to Destruction	Riverside	PLB820900064	4xa9ACBoJs6R2w9eHfRMks	5yjbUO1Jocui7RKE30zfLT
2022-05-12T11:46:38	Hyperactive	Riverside	PLB820900063	4DlGcvjid5TO0DYnsJUIU0	5yjbUO1Jocui7RKE30zfLT
