listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-12T09:32:04	Maniac	Michael Sembello	USPR38302462	0QKfiqpEU4h9ycPSzIFwYe	771qBvjnXOH9Azr6lKy6FB
2022-04-16T10:43:59	Uptown Funk (feat. Bruno Mars)	Mark Ronson, Bruno Mars	GBARL1401524	32OlwWuMpZ6b0aN2RZOeMS	3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C
2022-03-18T10:29:15	Hysteria	Muse	GBCVT0300083	7xyYsOvq5Ec3P4fr6mM9fD	12Chz98pHFMPJEknJQMWvI
2022-03-18T10:24:47	Follow Me	Muse	GBAHT1200393	6r9tjMWLv8fNdZKKTnqCEr	12Chz98pHFMPJEknJQMWvI
2022-03-18T10:20:57	Survival	Muse	GBAHT1200332	2IFqUmfW8oQoKn6ToxKsMs	12Chz98pHFMPJEknJQMWvI
2022-03-18T10:16:39	Prelude	Muse	GBAHT1200392	3V78QkKzy5bIy0goZj3L8u	12Chz98pHFMPJEknJQMWvI
2022-03-18T10:15:42	Panic Station	Muse	GBAHT1200391	1tjHKKI0r82IB5KL29whHs	12Chz98pHFMPJEknJQMWvI
2022-03-18T10:12:37	Supremacy	Muse	GBAHT1200389	40pPI2TbaYSZlKfV44HRjn	12Chz98pHFMPJEknJQMWvI
2022-03-18T10:05:55	The Handler	Muse	GBAHT1500071	6xq3Bd7MvZVa7pda9tC4MW	12Chz98pHFMPJEknJQMWvI
2022-03-18T10:01:22	(Drill Sergeant)	Muse	GBAHT1500067	2E5tWJSusHxpaksg1yfsIu	12Chz98pHFMPJEknJQMWvI
2022-03-18T10:01:05	Dead Inside	Muse	GBAHT1500066	2daZovie6pc2ZK7StayD1K	12Chz98pHFMPJEknJQMWvI
2022-03-17T18:23:12	Thought Contagion	Muse	GBAHT1800045	57lCa95tmjJ8EYdNTex8Kk	12Chz98pHFMPJEknJQMWvI
2022-03-17T18:14:30	Pressure	Muse	GBAHT1800405	3eSyMBd7ERw68NVB3jlRmW	12Chz98pHFMPJEknJQMWvI
2022-03-17T18:09:31	Bliss	Muse	GBCVT0100005	0j3obufLXq5toSs592dX9U	12Chz98pHFMPJEknJQMWvI
2022-03-17T18:05:20	New Born	Muse	GBCVT0100009	2VrJMuLt2m9HbifGrKWHqk	12Chz98pHFMPJEknJQMWvI
2022-03-17T17:59:02	Feeling Good - XX Anniversary RemiXX	Muse	GBAHT2100402	4if8r1TndqhnvhI6MNrUIf	12Chz98pHFMPJEknJQMWvI
2022-03-17T17:55:27	Plug In Baby - XX Anniversary RemiXX	Muse	GBAHT2100399	3w1KoEKYKrbG0sfx7MbIeh	12Chz98pHFMPJEknJQMWvI
2022-03-17T17:47:23	Bliss - XX Anniversary RemiXX	Muse	GBAHT2100396	12PjOccRYa3TKcRpPl6KOA	12Chz98pHFMPJEknJQMWvI
2022-03-17T17:43:09	New Born - XX Anniversary RemiXX	Muse	GBAHT2100395	4XYe1saIRzKp9d09w8Tgze	12Chz98pHFMPJEknJQMWvI
2022-03-17T17:37:04	Undisclosed Desires	Muse	GBAHT0900322	0It6VJoMAare1zdV2wxqZq	12Chz98pHFMPJEknJQMWvI
2022-03-17T17:33:09	Plug in Baby	Muse	GBCVT0000025	2UKARCqDrhkYDoVR4FN5Wi	12Chz98pHFMPJEknJQMWvI
2022-03-17T17:19:10	Time is Running Out	Muse	GBCVT0300078	2takcwOaAZWiXQijPHIx7B	12Chz98pHFMPJEknJQMWvI
2022-03-17T17:15:13	Psycho	Muse	GBAHT1500068	383QXk8nb2YrARMUwDdjQS	12Chz98pHFMPJEknJQMWvI
2022-03-17T17:09:57	Madness	Muse	GBAHT1200390	0c4IEciLCDdXEhhKxj4ThA	12Chz98pHFMPJEknJQMWvI
2022-03-17T16:02:56	Knights of Cydonia	Muse	GBAHT0500600	7ouMYWpwJ422jRcDASZB7P	12Chz98pHFMPJEknJQMWvI
2022-03-17T15:51:55	Hysteria	Muse	GBCVT0300083	7xyYsOvq5Ec3P4fr6mM9fD	12Chz98pHFMPJEknJQMWvI
2022-03-17T15:48:07	Starlight	Muse	GBAHT0500592	3skn2lauGk7Dx6bVIt5DVj	12Chz98pHFMPJEknJQMWvI
2022-03-17T15:44:06	Uprising	Muse	GBAHT0900320	4VqPOruhp5EdPBeR92t6lQ	12Chz98pHFMPJEknJQMWvI
2022-03-16T18:18:19	Uprising	Muse	GBAHT0900320	4VqPOruhp5EdPBeR92t6lQ	12Chz98pHFMPJEknJQMWvI
2022-03-16T15:53:04	Supermassive Black Hole	Muse	GBAHT0500593	3lPr8ghNDBLc2uZovNyLs9	12Chz98pHFMPJEknJQMWvI
2022-03-16T15:49:30	Won’t Stand Down	Muse	GBAHT2102036	6hIr2IDeBDXfRFk0rYe5Tz	12Chz98pHFMPJEknJQMWvI
