username,group,phase,genres_unique,genres_count,EM_genres_unique,EM_genres_unique_p,EM_genres_count,EM_genres_count_p,EM_genres_top_head_p,Jaccard_top5_genres,Jaccard_top10_genres,Jaccard_top20_genres,gini_genres,gini_EM_genres,artists_unique,artists_count,EM_artists_unique,EM_artists_unique_p,EM_artists_count,EM_artists_count_p,EM_artists_top_head_p,Jaccard_top5_artists,Jaccard_top10_artists,Jaccard_top20_artists,gini_artists,gini_EM_artists,tracks_unique,tracks_count,EM_tracks_unique,EM_tracks_unique_p,EM_tracks_count,EM_tracks_count_p,EM_tracks_top_head_p,Jaccard_top5_tracks,Jaccard_top10_tracks,Jaccard_top20_tracks,gini_tracks,gini_EM_tracks
mapu25,HD,PRE,163,1275,10,6.13,31,2.43,1.23,0.0,0.0,0.0,0.54,0.37,209,701,10,4.78,26,3.71,0.96,0.0,0.0,0.07,0.46,0.28,274,587,6,2.19,13,2.21,0.36,0.0,0.0,0.04,0.37,0.33
mapu25,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mapu25,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catalinamanuela,HD,PRE,184,2251,1,0.54,2,0.09,0.0,0.0,0.0,0.0,0.6,nan,299,1164,1,0.33,2,0.17,0.0,0.0,0.0,0.0,0.55,nan,440,756,1,0.23,2,0.26,0.0,0.0,0.0,0.0,0.4,nan
catalinamanuela,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catalinamanuela,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dv248,HD,PRE,88,678,3,3.41,27,3.98,0.0,0.0,0.0,0.1,0.48,0.44,134,492,2,1.49,18,3.66,1.49,0.0,0.0,0.1,0.51,0.5,167,345,1,0.6,9,2.61,0.6,0.2,0.1,0.05,0.48,nan
dv248,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dv248,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruiipereiraa,HD,PRE,310,3884,26,8.39,70,1.8,0.0,0.0,0.0,0.0,0.55,0.39,509,2116,42,8.25,70,3.31,0.2,0.0,0.0,0.0,0.52,0.42,683,1452,34,4.98,52,3.58,0.44,0.0,0.0,0.0,0.42,0.38
