username,group,phase,nov genres,nov genres_p,nov EM genres,nov EM genres_p,nov artists,nov artists_p,nov EM artists,nov EM artists_p,nov tracks,nov tracks_p,nov EM tracks,nov EM tracks_p,match artists,match tracks
mapu25,LD,COND,19,24.36,0,0.0,51,50.0,0,0.0,109,61.24,0,0.0,0,0
mapu25,LD,POST,0,0.0,0,0,2,8.7,0,0,16,29.09,0,0,0,0
dv248,HD,COND,76,52.78,4,57.14,135,65.53,7,77.78,167,75.23,3,75.0,0,0
dv248,HD,POST,3,10.0,0,0,13,44.83,0,0,31,81.58,0,0,0,0
ruiipereiraa,LD,COND,87,26.93,5,20.83,187,38.09,13,37.14,302,48.09,12,40.0,0,0
ruiipereiraa,LD,POST,18,8.87,5,33.33,41,17.3,8,36.36,90,29.9,7,41.18,0,0
acarolinab,HD,COND,5,16.67,2,20.0,15,36.59,5,62.5,13,59.09,3,75.0,0,0
acarolinab,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prolificuser,LD,COND,78,53.79,12,80.0,152,79.17,31,93.94,165,93.22,19,95.0,0,0
prolificuser,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ritamont,LD,COND,26,18.31,1,12.5,42,47.73,7,58.33,123,60.59,8,50.0,0,0
ritamont,LD,POST,21,16.67,1,10.0,16,28.07,1,14.29,39,36.79,1,11.11,0,0
LP22,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP22,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
francisco98,LD,COND,45,42.86,2,20.0,72,62.07,5,41.67,58,65.17,2,40.0,0,0
francisco98,LD,POST,5,31.25,1,100.0,9,69.23,1,100.0,6,75.0,1,100.0,0,0
RickyLB,LD,COND,31,28.18,7,77.78,66,40.74,6,75.0,111,53.88,3,33.33,0,0
RickyLB,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VeroBerardi,LD,COND,117,67.24,12,66.67,223,88.84,55,96.49,251,90.94,25,100.0,0,0
VeroBerardi,LD,POST,9,23.08,0,0.0,14,51.85,2,100.0,29,96.67,1,100.0,0,0
joaoms98,LD,COND,31,19.87,1,16.67,125,42.09,2,40.0,397,61.17,2,40.0,0,0
joaoms98,LD,POST,25,17.36,2,33.33,66,31.88,6,75.0,101,28.29,4,66.67,0,0
ossalatodipotassio,LD,COND,32,18.5,0,0.0,67,40.36,0,0.0,171,62.41,0,0.0,0,0
ossalatodipotassio,LD,POST,9,17.65,0,0,18,50.0,0,0,26,65.0,0,0,0,0
ddios,HD,COND,8,33.33,3,100.0,13,36.11,2,100.0,26,44.07,1,100.0,0,0
ddios,HD,POST,1,14.29,0,0,2,20.0,0,0,1,7.69,0,0,0,0
vampiregrave,LD,COND,14,26.92,3,100.0,16,69.57,7,100.0,76,85.39,27,100.0,0,0
vampiregrave,LD,POST,5,31.25,0,0,11,84.62,0,0,23,53.49,0,0,0,0
ChiaraLh,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChiaraLh,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SunshineT93,LD,COND,6,37.5,0,0,24,57.14,0,0,23,62.16,0,0,0,0
SunshineT93,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martagmp,HD,COND,62,41.33,11,28.95,161,51.94,99,47.37,139,61.78,77,61.11,0,0
martagmp,HD,POST,8,17.02,0,0.0,15,31.91,4,16.67,11,32.35,2,20.0,0,0
Clara319,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clara319,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
janybatista,LD,COND,24,47.06,6,85.71,21,45.65,3,100.0,24,47.06,2,100.0,0,0
janybatista,LD,POST,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
annoyin9,HD,COND,4,15.38,0,0.0,7,18.92,2,100.0,12,24.0,1,100.0,0,0
annoyin9,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisca,LD,COND,74,29.48,5,18.52,211,43.24,17,36.17,325,49.77,7,26.92,0,0
Francisca,LD,POST,4,8.89,4,66.67,6,15.38,2,50.0,20,42.55,1,50.0,0,0
afonsoveiga,HD,COND,42,14.74,0,0.0,86,21.66,6,42.86,221,31.75,4,30.77,0,0
afonsoveiga,HD,POST,20,7.91,2,18.18,44,15.07,4,23.53,117,23.4,15,55.56,0,0
ruipedro3,LD,COND,125,36.98,10,35.71,427,72.25,46,56.79,547,79.62,41,65.08,0,0
ruipedro3,LD,POST,50,19.31,6,20.0,419,68.91,28,37.33,460,79.17,29,50.88,0,0
tommyjarvis,LD,COND,63,32.98,4,44.44,78,53.42,7,63.64,121,71.18,8,72.73,0,0
tommyjarvis,LD,POST,31,27.93,7,77.78,51,60.0,8,88.89,35,60.34,6,85.71,0,0
RedPeppermint,HD,COND,42,34.43,0,0.0,27,36.0,0,0.0,162,73.97,1,100.0,0,0
RedPeppermint,HD,POST,4,7.14,0,0,11,28.21,0,0,21,40.38,0,0,0,0
Manhento,HD,COND,50,29.24,4,28.57,167,52.68,9,42.86,314,75.66,11,61.11,0,0
Manhento,HD,POST,1,1.85,0,0.0,8,10.39,0,0.0,13,23.21,0,0.0,0,0
popu,LD,COND,11,34.38,2,50.0,11,42.31,2,66.67,20,26.67,2,100.0,0,0
popu,LD,POST,0,0.0,0,0,1,12.5,0,0,18,36.73,0,0,0,0
Inês,LD,COND,38,29.01,2,50.0,83,74.11,3,60.0,149,82.32,3,60.0,0,0
Inês,LD,POST,58,33.14,3,50.0,85,59.03,3,50.0,144,75.39,5,83.33,0,0
Acemorais,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acemorais,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deniseterzi,HD,COND,15,30.61,0,0,28,48.28,0,0,46,60.53,0,0,0,0
deniseterzi,HD,POST,0,0.0,0,0,3,18.75,0,0,5,45.45,0,0,0,0
Bea_P,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bea_P,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnnyMichaels,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnnyMichaels,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apex23,HD,COND,1,5.0,0,0,54,31.4,0,0,188,38.21,0,0,0,0
Apex23,HD,POST,0,0.0,0,0,9,8.65,0,0,30,12.55,0,0,0,0
ippo,LD,COND,86,55.84,6,100.0,127,76.05,4,100.0,125,83.89,3,100.0,0,0
ippo,LD,POST,31,31.31,1,33.33,89,78.76,2,100.0,95,87.16,1,100.0,0,0
An_Oxygen_Consumer,HD,COND,85,54.14,9,81.82,61,66.3,6,75.0,125,73.53,6,75.0,1,1
An_Oxygen_Consumer,HD,POST,1,2.78,0,0,4,25.0,0,0,8,30.77,0,0,0,0
Alba_hontoria_96,HD,COND,64,49.23,5,83.33,145,69.38,10,83.33,262,87.63,7,87.5,0,0
Alba_hontoria_96,HD,POST,10,16.13,0,0,43,39.09,0,0,89,63.12,0,0,0,0
BlueGiuly,LD,COND,10,12.35,1,12.5,55,29.26,5,29.41,149,40.05,2,25.0,0,0
BlueGiuly,LD,POST,0,0.0,0,0.0,12,14.63,0,0.0,26,22.03,0,0.0,0,0
aritahierro,HD,COND,121,53.78,9,50.0,111,77.62,17,80.95,190,81.2,16,88.89,0,0
aritahierro,HD,POST,16,25.0,4,66.67,10,47.62,3,100.0,17,58.62,5,100.0,0,0
brunix21,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brunix21,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benfica15951,HD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benfica15951,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vittoria,LD,COND,23,44.23,4,57.14,21,60.0,2,40.0,68,83.95,6,75.0,0,0
Vittoria,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SofiiFreitas,LD,COND,17,38.64,0,0,56,72.73,0,0,98,76.56,0,0,0,0
SofiiFreitas,LD,POST,2,25.0,0,0,4,16.67,0,0,6,16.22,0,0,0,0
gabriverce,HD,COND,10,37.04,0,0.0,21,56.76,2,100.0,32,72.73,1,100.0,0,0
gabriverce,HD,POST,0,0.0,0,0,1,50.0,0,0,18,81.82,0,0,0,0
versilvia,LD,COND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
versilvia,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RicardoCoelho8,HD,COND,29,21.17,2,22.22,72,28.69,10,52.63,89,36.93,8,61.54,0,0
RicardoCoelho8,HD,POST,34,31.19,1,14.29,47,21.56,6,21.43,150,47.02,26,50.98,0,0
outofljfe,LD,COND,42,31.82,3,37.5,45,47.87,4,50.0,77,63.64,4,57.14,0,0
outofljfe,LD,POST,7,7.45,0,0.0,14,29.17,0,0.0,15,34.09,1,25.0,0,0
andrespi,HD,COND,45,50.0,6,46.15,68,78.16,24,77.42,60,89.55,14,93.33,0,0
andrespi,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ordep123,LD,COND,51,40.48,6,54.55,63,71.59,14,82.35,89,84.76,13,92.86,0,0
Ordep123,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quicomedeiros,LD,COND,7,7.69,3,42.86,48,29.27,4,50.0,83,41.5,6,85.71,1,1
quicomedeiros,LD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nowhereknows,LD,COND,57,25.68,4,26.67,137,46.76,16,66.67,243,53.17,13,52.0,0,0
nowhereknows,LD,POST,14,10.37,0,0.0,40,22.6,0,0.0,88,32.23,1,50.0,0,0
dfilipa98,HD,COND,41,29.93,1,20.0,60,50.85,3,42.86,70,38.25,2,50.0,0,0
dfilipa98,HD,POST,16,18.18,0,0.0,44,48.35,0,0.0,83,58.87,0,0.0,0,0
