PROLIFIC_PID,familiarity,like,playlist
58f50400f4ce600001016db5,2,2,2
5b0a93f030d562000155259e,2,3,1
5b6dada03ce3ab0001fd077c,2,4,2
5be2965691deed00015acc2b,2,2,1
5c4c53b95aa8dc00011b0dce,2,5,1
5da839f66f11e500123e30c7,2,4,2
5de440d3400de40285c01263,2,2,2
5dee6f4d3b1c9450c5d126fc,3,4,1
5e68d8b2a042a7000d529490,2,2,2
5e8f31ca66838a1ff52975b5,2,4,1
5e9dd814910d621387801b01,2,4,2
5ea1c3f3e9fb240a9b243e18,3,3,1
5ebefa4d2bd5510ff39688c1,2,3,2
5ed6d66c4ddb96153b704550,3,3,2
5f2d14d99d93bf265393b8ac,2,4,2
5f444f41d9255617e1ba10ff,2,3,1
5f89c22268e5fe0009834636,3,2,1
5f8b031f5f71b109548721bd,3,3,2
5fb3d4024e5665000a941d9d,1,5,2
5fda8761cffa3b71e6d684bf,1,4,2
6014314ae378481403f01e86,1,4,1
6032b41809e86b2d25e6abf5,2,3,1
60496d3990d324547105f959,2,4,2
604a3c8ec261d2fa6ac242c3,3,4,2
608c349d8e7f57e8f84d3a27,2,3,2
609a7d5287ca8fb83e0780d4,2,3,2
609ab970bcff69957427445d,3,2,2
60b553fb5705a4355358afaf,2,4,2
60d9a7c0aebfc51577e97903,1,4,1
60e467a0b2c2ef1e594bd577,3,3,2
60f1881264ff3a7f211d186a,2,2,2
6107f8e71da90474ed188cb3,2,3,2
61123b66dae2d7c959c7ff31,2,5,1
6113a568434313758954bb53,1,5,2
61141c855eb58d6a4e3d8d5b,1,3,2
611fce73e0a46ebc8e4b90a5,3,5,1
61322612510b85268a0c4b63,1,4,2
61465149835949882116b8c4,3,4,2
615094c9a1ba0233a8c3ccc4,3,5,1
6152dfa0790891ef5d673501,3,4,2
615c43b800752a4f3d0fd1f0,2,4,2
615da7549e575b94827b81ab,2,2,2
615db8621a77715a3f2e6b54,2,4,1
61712b162161b5362dd40119,2,4,1
61720e04849f1568c2f3e999,2,3,2
