sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
1rNPRQnSEA4v4re58XO5Fx	Beast In Black	Killed by Death	DED831801700	42	finnish heavy metal,finnish power metal,melodic metal,power metal	3.5e-05	0.486	0.915	0.0624	138.004	0.401	0.963
3iKSyNDGzJ3FcjXoDKqehS	Beast In Black	From Hell with Love	DED831801690	60	finnish heavy metal,finnish power metal,melodic metal,power metal	0.000104	0.502	0.00212	0.0482	120.066	0.552	0.9
7m2ZeXTKhW8e4MYEIYh2pT	Sabaton	Christmas Truce	SE6HE2100901	62	metal,power metal,swedish metal,swedish power metal	0.00472	0.327	0.0	0.0637	185.977	0.223	0.94
5xsF9hH7BTnX6liiWS8Dfb	Sabaton	Race to the Sea	SE6HE2200107	68	metal,power metal,swedish metal,swedish power metal	0.0227	0.498	0.0	0.0348	92.006	0.511	0.94
2enm90CHZok8X5eAMsMgvx	Sabaton	Hellfighters	SE6HE2200106	66	metal,power metal,swedish metal,swedish power metal	0.000445	0.555	0.00323	0.07	96.018	0.307	0.967
2c03eSv5IkwbDty49pKg1L	Sabaton	Soldier of Heaven	SE6HE2200105	67	metal,power metal,swedish metal,swedish power metal	0.0271	0.54	1.31e-05	0.0465	96.032	0.564	0.922
0gsCpWnPXzPqf0MoIh0Qbi	Sabaton	The Unkillable Soldier	SE6HE2200104	67	metal,power metal,swedish metal,swedish power metal	0.0051	0.443	0.0	0.0463	154.055	0.517	0.933
0qTjb7p9gbojEemSJP71Yd	DragonForce	Fury Of The Storm	GBAJE0400118	58	british power metal,metal,neo classical metal,power metal,speed metal	3.27e-05	0.227	0.194	0.0788	199.798	0.182	0.905
6vQT1Y3MTGCpc31VIF5Ela	Powerwolf	Army of the Night	ATN261558603	62	german metal,german power metal,metal,power metal	0.00054	0.422	0.0	0.0556	171.99	0.577	0.969
7FQvFYg88JndjHvd5tBxwI	Dream Evil	The Chosen Ones	US4E40402206	56	melodic metal,metal,neo classical metal,power metal,swedish heavy metal,swedish power metal	0.0123	0.563	0.0	0.038	115.983	0.231	0.734
3e77C0bCaFIUXNFxI075D9	Gloryhammer	Universe on Fire	ATN261562108	52	british power metal,comic metal,melodic metal,power metal,scottish metal,symphonic metal	3.36e-05	0.341	4.33e-06	0.0691	174.859	0.353	0.928
2xsZ47v4C79r1OE4gv2l3f	Sabaton	No Bullets Fly	SE2EG1400102	60	metal,power metal,swedish metal,swedish power metal	0.00015	0.458	0.00162	0.103	76.994	0.344	0.925
6D1i1hoMyjs843XbMhNq8J	HammerFall	Venerate Me	ATN262203105	53	gothenburg metal,hard rock,melodic metal,metal,neo classical metal,power metal,swedish power metal	0.000126	0.3	0.00481	0.0678	104.922	0.276	0.932
3mWpUooYBCQzcNaWTuVSGm	Manimal	Chains of Fury	DEU602109601	50	melodic metal,neo-trad metal,power metal,symphonic power metal	6.72e-06	0.459	0.489	0.0287	88.002	0.572	0.845
4jqBlA2ZyD7njl3qglYwlN	Sabaton	The Valley of Death	SE6HE2200109	65	metal,power metal,swedish metal,swedish power metal	0.00182	0.45	4.98e-06	0.108	156.052	0.352	0.972
55gQTPtDdhgXcrxeE95K7l	Sabaton	Lady of the Dark	SE6HE2200108	67	metal,power metal,swedish metal,swedish power metal	0.00429	0.552	1.94e-06	0.0704	109.005	0.485	0.98
6YginyW66qU6HuFiyX06v3	Blind Guardian	Black Chamber - Remastered 2007	DED831700985	31	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,power metal,speed metal	0.813	0.511	4.98e-06	0.0453	184.821	0.51	0.374
