sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0VwNdo84DaVYLIkbVO86ND	Taylor Swift	We Are Never Ever Getting Back Together	USCJY1231018	73	pop	0.00957	0.628	2.65e-05	0.0916	85.984	0.75	0.676
3AMQKTsIR0ukMOXvPkwaKz	Joshua Bassett	Set Me Free	USWB12104881	64	alt z,pop,post-teen pop,social media pop	0.256	0.449	0.0	0.0363	130.11	0.123	0.39
1Xi84slp6FryDSCbzq4UCD	Duncan Laurence	Arcade	NL1TK1900001	79	dutch pop	0.818	0.45	0.00109	0.0441	71.884	0.266	0.329
1ZMiCix7XSAbfAJlEZWMCp	Harry Styles	Falling	USSM11912590	84	pop	0.839	0.567	1.46e-06	0.0299	110.011	0.0592	0.267
1kqc6U8hVYZhY0gFGQclCz	girl in red	girls	GBLFP1858237	75	bedroom pop,bubblegrunge,indie pop,norwegian indie,pop	0.227	0.515	0.0357	0.0337	149.966	0.792	0.449
3jjujdWJ72nww5eGnfs2E7	Harry Styles	Adore You	USSM11912588	84	pop	0.0237	0.676	7e-06	0.0483	99.048	0.569	0.771
5v6qYImm5k36GHlFxdEZyv	Ashe,Niall Horan	Moral of the Story (feat. Niall Horan) - Bonus Track	USQE92000087	68	alt z,electropop,pop	0.496	0.579	0.0	0.0383	119.799	0.216	0.37
2kJwzbxV2ppxnQoYw4GLBZ	JP Saxe,Julia Michaels	If the World Was Ending (feat. Julia Michaels)	USQX91902708	77	alt z,canadian contemporary r&b,pop	0.866	0.464	0.0	0.129	75.801	0.604	0.473
1SymEzIT3H8UZfibCs3TYi	Taylor Swift	Afterglow	USUG11901484	72	pop	0.13	0.756	0.0	0.0344	111.011	0.399	0.449
5IWbVSHXMJzuHE7PoZdu7f	dodie	bite back (demo)	QMBZ92061355	38	alt z,indie pop,pop	0.956	0.569	0.000183	0.162	74.006	0.743	0.0358
0C1J9WEWIskxtqN9nTpl44	dodie	let go (demo)	QMBZ92061365	38	alt z,indie pop,pop	0.924	0.439	0.0621	0.0697	150.514	0.279	0.032
3qFp7WxvzHbJV6q03GBHYJ	dodie	bored like me (demo)	QMBZ92061356	39	alt z,indie pop,pop	0.884	0.588	0.00267	0.414	126.03	0.559	0.152
