listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-06T10:08:56	Lullaby	R3HAB, Mike Williams	NLW4L1800008	0DhkTGjEaIHaSxTfC14BFm	6cEuCEZu7PAE9ZSzLLc2oQ,3IpvVrP3VLhruTmnququq7
2022-05-06T10:02:57	Bad Habits	Ed Sheeran	GBAHS2100318	3rmo8F54jFF8OgYsqTxm5d	6eUKZXaKkcviH0Ku9w2n3V
2022-05-06T09:58:59	Dragostea Din Tei (W&W Remix)	O-Zone, W&W	NL4VT2100001	6ljpxxjn7TNc2BijuKtPSo	5M5PjPSiKeXynM6Ohu350r,2rTo8KIkBTFjQS7VvaKYQ4
2022-05-06T01:25:48	Bai Lá	Keso, Johnny Virtus	ES71G2024771	6IG0n6rmGFr4DLWmzkmtCw	0ciYBeOBRYDhx8dHXz6Ogv,0DOixxvuN7cxZ7YiyMzlOt
2022-05-06T01:00:14	MAROMBAR	S1RPENT, Rubenex	QZES82298755	5jGyFHQQPDmCiMsz3HtnxR	3621uqjRunnvDUhkXohk2e,6KmwizsTDiOrwYxfOVyy2I
2022-05-06T00:56:15	MAROMBAR	S1RPENT, Rubenex	QZES82298755	5jGyFHQQPDmCiMsz3HtnxR	3621uqjRunnvDUhkXohk2e,6KmwizsTDiOrwYxfOVyy2I
2022-05-06T00:52:43	MAROMBAR	S1RPENT, Rubenex	QZES82298755	5jGyFHQQPDmCiMsz3HtnxR	3621uqjRunnvDUhkXohk2e,6KmwizsTDiOrwYxfOVyy2I
2022-05-06T00:45:32	witchblades	Lil Peep, Lil Tracy	USQX91903113	5GLW3IBX8Nhsup4bBLyGxa	2kCcBybjl3SAtIcwdWpUe3,5g63iWaMJ2UrkZMkCC8dMi
2022-05-06T00:42:32	Down	Cult To Follow	TCADK1722863	1wkmS6iTkterreXQrsbP8I	5txAC0hwbFB09Nv8Y1hPJl
2022-05-06T00:37:54	Letting You Go	Bullet For My Valentine	GBUM71800992	7rGN3oqzCpG2mLcwoPwDQm	7iWiAD5LLKyiox2grgfmUT
2022-05-06T00:31:39	Nobody Praying For Me	Seether	QMFMK1400008	3bq8WiQrEXMwPAibYs7tpu	6B5c4sch27tWHAGdarpPaW
2022-05-06T00:26:15	AfterLife	Five Finger Death Punch	USDPK2200047	51lcM37Li2HOhk8F8kPwUv	5t28BP42x2axFnqOOMg3CM
2022-05-05T21:13:59	AfterLife	Five Finger Death Punch	USDPK2200047	51lcM37Li2HOhk8F8kPwUv	5t28BP42x2axFnqOOMg3CM
2022-05-05T21:01:09	AfterLife	Five Finger Death Punch	USDPK2200047	51lcM37Li2HOhk8F8kPwUv	5t28BP42x2axFnqOOMg3CM
2022-05-05T20:50:27	Kill You	Eminem	USIR10000580	5eGEc27nnhtmcOh6RC890a	7dGJo4pcD2V6oG8kP0tJRR
2022-05-05T20:39:53	In Da Club	50 Cent	USIR10300033	7iL6o9tox1zgHpKUfh9vuC	3q7HBObVc0L8jNeTe5Gofh
2022-05-05T20:36:39	Cinderella Man	Eminem	USUM71015394	4SE4yewyGpOYfxfx59Yjc5	7dGJo4pcD2V6oG8kP0tJRR
2022-05-05T20:31:59	Presta Atenção	Sam The Kid, Valete	PTH840601170	1MHgAcrKPn5SskCYJuiFkJ	3NEQ5t2FprBMLmDAP0EPcE,32rAgIN6jhUQYhyoKa8agj
2022-05-05T20:26:08	Toxic	Britney Spears	USJI10301005	6I9VzXrHxO9rA9A5euc8Ak	26dSoYclwsYLMAKD3tpOr4
2022-05-05T20:22:05	Mariana	XEG	PTJV10900030	3LW1K9gdfbLDm7LayhLB4c	0RcrxRwMAMtjnaWn8UZqBf
2022-05-05T20:19:11	Heartless	Kanye West	USUM70840511	4EWCNWgDS8707fNSZ1oaA5	5K4W6rqBFWDnAN6FQUkS6x
2022-05-05T20:15:42	Pump It	Black Eyed Peas	USIR10500407	2ygMBIctKIAfbEBcT9065L	1yxSLGMDHlW21z4YXirZDS
2022-05-05T20:12:08	Ooh Ahh (My Life Be Like) [feat. Tobymac]	Grits, TobyMac	USGOT0203017	1KBN9lYx9QkfUJC3NSXlhQ	6aUgzC0cMh0StjV7LyFEDr,5VX8hxrcfJWwaTLiqGUHG3
2022-05-05T20:02:43	Courtesy Call	Thousand Foot Krutch	TCABF1202218	0AOmbw8AwDnwXhHC3OhdVB	6GfiCQDFYANz5wUkSmb3Dr
2022-05-05T19:57:06	A carta que eu nunca te escrevi	Boss AC	PTNS10200040	74C9wg2k25fyMZzwiWoUmk	2AiLSd9HXwfFwO9g00s2hk
2022-05-05T19:52:43	À Procura da Perfeita Repetição -	Sam The Kid	PTH840601166	76oCbJYmXHVsMFMBDN2zhm	3NEQ5t2FprBMLmDAP0EPcE
2022-05-05T19:48:02	When Love Takes Over (feat. Kelly Rowland)	David Guetta	FRZID0900200	1hRFVIy9As8OVRk8B7CrD5	1Cs0zKBU1kc0i8ypK3B9ai
2022-05-05T19:44:17	Mo Dred	Deezy, Monsta	ES71G1851449	4iDiDFwsKMed6XLNNAz8n3	6EoXtJUmzYqNzkMVH1o5gN,3z6RHj36fr9RDjBohXaquf
2022-05-05T19:39:51	01 Coisa Leve	Papillon	PT2HA2100012	7bi9YUMxacoZjZoUs4CJKe	0Mum6waR8P9WICLVTpSi1d
2022-05-05T19:36:17	Kobe	Yung Juse	PTUM72100567	7wur4bDOw974PBmoQzzqwA	7HelyGdEBoc25C7inwIXVJ
2022-05-05T19:33:05	Love	Vado Más Ki Ás, Gang Mka	ES71G1940931	2xV1uSwdH97ks9DYvyn6SB	6HmLPYedWhpFhiF8BonrMG,0KXnikJ0xyK7bm4zOd5bs3
2022-05-05T19:29:13	Dizes	Sam The Kid, Valete	PT0HJ1800107	15P75Zz2qNpQGPn9OyTg9f	3NEQ5t2FprBMLmDAP0EPcE,32rAgIN6jhUQYhyoKa8agj
2022-05-05T19:26:37	Genebra	Dillaz	PT5HT2200008	0BP5fxrr7EwU3I9TNJwjBA	15p1isN7VcGsjeSq8s9YeP
2022-05-05T19:17:02	My Name (feat. Eminem & Nate Dogg)	Xzibit, Eminem, Nate Dogg	USLR50200127	04w57GO5p1763E44KQ8AKB	4tujQJicOnuZRLiBFdp3Ou,7dGJo4pcD2V6oG8kP0tJRR,1Oa0bMld0A3u5OTYfMzp5h
2022-05-05T19:12:29	Above The Law	Bad Meets Evil	USUM71107479	5oEgPvhTZ4CFjeuuLfmMsI	77IURH5NC56Jn09QHi76is
2022-05-05T19:08:59	Gun In Your Mouth	La Coka Nostra, Slaine, ILL Bill	USS1N0912512	5IDCNwriIlo6iwPeGbEb6R	0BK94SazL2jI020Y8ezR4f,1z1ctFe6fCr5aZnCGKt6rN,1mMjwoytmHP5dTJbIQxN4V
2022-05-05T19:05:19	Don't Ya Dare Laugh featuring Xzibit & Young De	B Real of Cypress Hill	USI4R0816617	4oJOSOoV75VYVOLNSEOt26	6vNBqGjY1MAZD5Ap73Zxsu
2022-05-05T19:01:22	American Psycho II - Feat. B Real Of Cypress Hill	Salam Wreck, B-Real	USA2P0834288	79L9TcG0LrX5SUiuq9iM0t	713X1xDDryEQrctslm4cr3,2LiWxiQzuD9nmWQ6NCA8Gd
