listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-09T10:44:59	j's lullaby (darlin' i'd wait for you)	Delaney Bailey	QZTAS2189795	7LNm1oWd6PniO9wRYpNY5o	3Os4q49SgEN0Tv3fxKw3Sp
2022-05-09T10:43:19	Bullshit on the Internet	Suki Waterhouse	USSUB2146506	2CeXJdvqhKyewp74pU674J	5GGJosGMs08YEmKTZJe1fL
2022-05-09T10:40:43	Close To You	Dayglow	GBKPL2035998	0brBOx8ejPXvBYnQkWquYK	6eJa3zG1QZLRB3xgRuyxbm
2022-05-09T10:37:42	victim of nostalgia	mxmtoon	GBKPL2290703	6oHXQQLzea4keyHSbFUxtS	0HthCchcL0kVLHTr113Vk1
2022-05-09T10:33:52	That's Where I Am	Maggie Rogers	USUG12106668	4f1KkbXHnfIVZ9vmIExByJ	4NZvixzsSefsNiIqXn0NDe
2022-05-09T10:29:00	Coming of Age	Blondes	QZDA82089457	6BVsQpqbI2Aj4TwwgmfqGT	7GRJzNqBhBrhB9axaHsLlP
2022-05-09T10:24:52	The Adults Are Talking	The Strokes	USRC11902726	5ruzrDWcT0vuJIOMW7gMnW	0epOFNiUfyON9EYx7Tpr6V
2022-05-09T10:19:42	Kenny	Still Woozy	USUG12101408	6FmnMoph4yx7zjhuBcrHDv	4iMO20EPodreIaEl8qW66y
2022-05-09T10:16:27	Freakin' Out On the Interstate	Briston Maroney	QZBRF1882980	6Fqf0OTfB9VPfYk2HfBhPn	7vtSUU3zpHeYJfX6BPNrJd
2022-05-09T10:12:16	The Spins	Mac Miller	USA2P2015959	51pshtuYkgUQnt5huMPbKL	4LLpKhyESsyAXpc4laK94U
2022-05-09T10:08:58	Honey	Rook Monroe	USLD91729421	658qcSLPvoU4IZJhjxPHRo	0xwMjJn29gSNkQYNxc5IED
2022-05-09T10:06:02	About Damn Time	Lizzo	USAT22202139	1PckUlxKqWQs3RlWXVBLw3	56oDRnqbIiwx4mymNEv7dS
2022-05-06T12:19:09	About Damn Time	Lizzo	USAT22202139	1PckUlxKqWQs3RlWXVBLw3	56oDRnqbIiwx4mymNEv7dS
2022-05-06T12:15:16	About Damn Time	Lizzo	USAT22202139	1PckUlxKqWQs3RlWXVBLw3	56oDRnqbIiwx4mymNEv7dS
2022-05-04T09:33:47	sun and moon	anees	QZES62213047	769Ld8demNhMgVLAQcjTDn	2HPqVfdPh9JkBSlFG5hK6h
