listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-26T09:32:20	Through the Dark	One Direction	GBHMU1300219	1a0PcmEJAOEp4ZT3YtSLkM	4AK6F7OLvEQ5QYCBNiQWHq
2022-04-26T09:28:41	Only the Brave	Louis Tomlinson	GBHMU1900062	7A7RygcHdNH0iJHgwteajF	57WHJIHrjOE3iAxpihhMnp
2022-04-26T09:21:35	Too Young	Louis Tomlinson	GBHMU1900055	22sujfahhWDfZejuepLYuE	57WHJIHrjOE3iAxpihhMnp
2022-04-26T09:17:46	Habit	Louis Tomlinson	GBHMU1900057	3As9Uyx1ZYKbdcEn3d7zma	57WHJIHrjOE3iAxpihhMnp
2022-04-26T09:14:44	ceasefire - (demo)	Only The Poets	GBKPL1777925	11KuA0cdlxolfpOgE1SWoW	3Z40kLBFU7C8532e2YLE9t
2022-04-26T09:10:53	Always You	Louis Tomlinson	GBHMU1900058	5KcT9rJDqQJUSFF3O9wPJ5	57WHJIHrjOE3iAxpihhMnp
2022-04-26T09:07:48	looking at you - (demo)	Only The Poets	GBKPL1935856	1mfesUnKNUjGSjcvMKuu05	3Z40kLBFU7C8532e2YLE9t
2022-04-26T09:03:59	stolen bikes - (demo)	Only The Poets	GBKPL1935753	3kqtYBoV5LjDw9Hhv9ImL3	3Z40kLBFU7C8532e2YLE9t
2022-04-26T09:00:22	Fearless	Louis Tomlinson	GBHMU1900059	1yEqyvgLgjS4v5GriAevCh	57WHJIHrjOE3iAxpihhMnp
2022-04-26T08:57:20	even hell - (demo)	Only The Poets	GBKPL1811851	6lmLUZjY9lCjSirQyUPJse	3Z40kLBFU7C8532e2YLE9t
2022-04-26T08:53:44	7	Catfish and the Bottlemen	GBUM71600834	5ykbOijJEfRhuo2Td1m0Qd	2xaAOVImG2O6lURwqperlD
2022-04-26T08:49:29	Defenceless	Louis Tomlinson	GBHMU1900061	74YzCrLzu7fw0AasX3CEwv	57WHJIHrjOE3iAxpihhMnp
2022-04-26T08:45:47	Drag Me Down	One Direction	GBHMU1500070	2K87XMYnUMqLcX3zvtAF4G	4AK6F7OLvEQ5QYCBNiQWHq
2022-04-26T08:31:19	emotional - (demo)	Only The Poets	GBKPL1786072	0F6ZWg3EcmMpE9n7N1j12J	3Z40kLBFU7C8532e2YLE9t
2022-04-26T08:25:32	We Made It	Louis Tomlinson	GBHMU1900051	3tCYlGxMS5ht2g3vB36SiJ	57WHJIHrjOE3iAxpihhMnp
2022-04-26T08:17:57	Kill My Mind	Louis Tomlinson	GBHMU1900047	4emicu3yCflgo7z6cAuw5j	57WHJIHrjOE3iAxpihhMnp
