listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-26T22:42:28	Levitating	Dua Lipa	GBAHT1901299	41z2bSbbtJ9wiIee4RXdi5	6M2wZ9GZgrQXHCFfjv46we
2022-04-26T22:38:59	Cool	Dua Lipa	GBAHT1901297	4Ulqu89XempybuL8ApUeqL	6M2wZ9GZgrQXHCFfjv46we
2022-04-26T22:35:27	Future Nostalgia	Dua Lipa	GBAHT1901177	3iYNJX4FTRGlfMQySjlGNr	6M2wZ9GZgrQXHCFfjv46we
2022-04-26T22:32:22	Mad World (Fondu)	Nate Fifield	TCAFL2169377	2zVsQE51Z3wZ9CLSxNHQkP	1G1Aqwpne900Zzhw3nxNol
2022-04-26T20:43:31	Muito Mais Além	Ana Encarnação, AURORA	USWD11994866	5DmVRXXIZ6sSWR9XhKGLjC	3MZLwGdvKgqfoklM9zPygE,1WgXqy2Dd70QQOU7Ay074N
2022-04-26T20:37:12	Onde Irei Ter	Sara Madeira	USWD11678011	0xgwtHyk7Tz7hkL9YVdWF0	50m0D92qvNxuePL7oSY2F3
2022-04-26T20:34:22	Eu Mal Posso Esperar P'ra Ser Rei	Guida, Fernando Lu¡s, F bio Pascoal	USWD10524323	64Pc3bii8fSMAWtwHy8j6U	1RpokjaIbDksh7vd589qNW,47HyohPdvthwtmWvyJzZQP,0GQl25A4geKLEitxDtp9sh
2022-04-26T20:31:12	Un Poco Loco	João Pedro Gonçalves, Pedro Leitão	USWD11783945	5UaPOaA6lqAfxD4xKROYzZ	74SEnf0TKyuD2GpOommLVc,1q8u85g3VSY34QUbFVO0fK
2022-04-26T20:29:20	De Nada	Pedro Bargado	USWD11678014	4pwmFlpfv3914FpEhHpAJ1	4LXG7QSe81eILjZcJqYx6t
2022-04-26T20:26:34	Já Passou	Ana Encarnação	USWD11467832	0Ua18dFsAE55CuElXsAapT	3MZLwGdvKgqfoklM9zPygE
2022-04-26T20:22:52	Já Passou	Ana Encarnação	USWD11467832	0Ua18dFsAE55CuElXsAapT	3MZLwGdvKgqfoklM9zPygE
2022-04-26T19:54:43	One Right Now (with The Weeknd)	Post Malone, The Weeknd	USUM72120404	00Blm7zeNqgYLPtW6zg8cj	246dkjvS1zLTtiykXe5h60,1Xyo4u8uXC1ZmMpatF05PJ
2022-04-26T19:51:29	Happier Than Ever - Edit	Billie Eilish	USUM72116908	32BeYxKPrig1LefHsC0Xuo	6qqNVTkY8uBg9cP3Jd7DAH
2022-04-26T19:48:57	Need to Know	Doja Cat	USRC12101120	3Vi5XqYrmQgOYBajMWSvCi	5cj0lLjcoR7YOSnhnX0Po5
2022-04-26T19:43:11	Sweetest Pie	Megan Thee Stallion, Dua Lipa	QMCE32200232	7mFj0LlWtEJaEigguaWqYh	181bsRPaVXVlUKXrxwZfHK,6M2wZ9GZgrQXHCFfjv46we
2022-04-26T19:39:49	love nwantiti (ah ah ah)	CKay	QMEU31910213	2Xr1dTzJee307rmrkt8c0g	048LktY5zMnakWq7PTtFrz
2022-04-26T19:37:22	MAMIII	Becky G, KAROL G	USRC12200425	1ri9ZUkBJVFUdgwzCnfcYs	4obzFoKoKRHIphyHzJ35G3,790FomKkXshlbRYZFtlgla
2022-04-26T19:31:38	she's all i wanna be	Tate McRae	USRC12103120	0IuVhCflrQPMGRrOyoY5RW	45dkTj5sMRSjrmBSBeiHym
2022-04-26T19:27:26	The Motto	Tiësto, Ava Max	CYA112001070	18asYwWugKjjsihZ0YvRxO	2o5jDhtHVPhrJdv3cEQ99Z,4npEfmQ6YuiwW1GpUmaq3F
2022-04-26T19:22:44	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X, Jack Harlow	USSM12104539	27NovPIUIRrOZoCHxABJwK	7jVv8c5Fj3E9VhNjxT4snq,2LIk90788K0zvyj2JJVwkJ
2022-04-26T19:17:03	Light Switch	Charlie Puth	USAT22107359	1BSMpVGWs3v5BZKnAQziAc	6VuMaDnrHyPL1p4EHjYLi7
2022-04-26T19:13:56	Cold Heart - PNAU Remix	Elton John, Dua Lipa, PNAU	GBUM72104705	6zSpb8dQRaw0M1dK8PBwQz	3PhoLpVuITZKcymswpck5b,6M2wZ9GZgrQXHCFfjv46we,6n28c9qs9hNGriNa72b26u
2022-04-26T19:10:33	When You're Gone	Shawn Mendes	USUM72204098	0U1W2LZVUX7qTm7dDpqxh6	7n2wHs1TKAczGzO7Dd2rGr
2022-04-26T18:32:41	STAY (with Justin Bieber)	The Kid LAROI, Justin Bieber	USSM12103949	5HCyWlXZPP0y6Gqq8TgA20	2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s
2022-04-26T18:30:18	Enemy (with JID) - from the series Arcane League of Legends	Imagine Dragons, JID, Arcane, League of Legends	USUM72119916	1r9xUipOqoNwggBpENDsvJ	53XhwfbYqKCa1cC15pYq2q,6U3ybJ9UHNKEdsH7ktGBZ7,57nPqD7z62gDdq37US9XJR,47mIJdHORyRerp4os813jD
2022-04-26T18:27:25	Where Are You Now	Lost Frequencies, Calum Scott	BEHP42100067	3uUuGVFu1V7jTQL60S1r8z	7f5Zgnp2spUuuzKplmRkt7,6ydoSd3N2mwgwBHtF6K7eX
2022-04-26T18:24:56	Smokin Out The Window	Bruno Mars, Anderson .Paak, Silk Sonic	USAT22105952	1oERlssLrpssCAY6Yqqs6c	0du5cEVh5yTK9QJze8zA0C,3jK9MiCrA42lLAdMGUZpwa,6PvvGcCY2XtUcSRld1Wilr
2022-04-26T18:21:38	First Class	Jack Harlow	USAT22203024	1rDQ4oMwGJI7B4tovsBOxc	2LIk90788K0zvyj2JJVwkJ
