sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0BP5fxrr7EwU3I9TNJwjBA	Dillaz	Genebra	PT5HT2200008	49	hip hop tuga	0.694	0.775	0.000678	0.0933	105.101	0.346	0.442
1giteNoUMOXbI8InMf0azH	Dillaz	Mango	PT5HT2200004	49	hip hop tuga	0.676	0.911	0.0	0.169	92.497	0.828	0.578
3CpoeW0cZSDzIRv5z34F87	Eminem	Sing For The Moment	USIR10211061	77	detroit hip hop,hip hop,rap	0.0017	0.668	3.05e-06	0.137	163.961	0.185	0.824
1hwJKpe0BPUsq6UUrwBWTw	Green Day	Boulevard of Broken Dreams	USRE10401426	78	permanent wave,punk	0.00394	0.49	1.54e-05	0.0309	167.046	0.506	0.679
1rEx6fOttcDltqIWlCCcDT	Oh The Larceny	Light That Fire	US43C1603408	63	rebel blues	0.00828	0.737	0.00325	0.0526	115.996	0.813	0.784
4Fp7EZW9jZdccVJIJKaqYc	Watt White	Look At Me Now	QZTRX2125228	36	modern alternative rock,rebel blues	0.00508	0.638	0.0147	0.0417	128.996	0.45	0.84
5iZdN7FwGMBBaYsPP5DO8l	X-Tense	P de Pablito	QZHNA1944718	50	hip hop tuga	0.605	0.666	0.000896	0.239	85.292	0.805	0.413
7bi9YUMxacoZjZoUs4CJKe	Papillon	01 Coisa Leve	PT2HA2100012	44	hip hop tuga	0.146	0.579	0.000227	0.255	129.113	0.316	0.677
4iDiDFwsKMed6XLNNAz8n3	Deezy,Monsta	Mo Dred	ES71G1851449	47	hip hop tuga,rap angolano	0.508	0.654	0.0	0.313	119.973	0.415	0.636
7wur4bDOw974PBmoQzzqwA	Yung Juse	Kobe	PTUM72100567	36		0.532	0.859	5.22e-06	0.0482	99.966	0.393	0.446
27kry3jeuix5XVSKfp5B5D	Bispo	Aviola II	PTBM12000009	51	hip hop tuga	0.749	0.734	0.0	0.132	81.96	0.314	0.47
4woTEX1wYOTGDqNXuavlRC	Eminem,Dina Rae	Superman	USIR10211062	78	detroit hip hop,hip hop,rap	0.0215	0.802	0.0	0.0564	130.027	0.58	0.755
20ZnOyKTdoQIEhdkw3r8QI	Rogg	Chuva	PT3CB2000072	37	trap tuga	0.494	0.606	0.0	0.0839	79.891	0.202	0.77
7ntbEFveVCd5wtxfgTMJFb	Dillaz	Melhorar Com o Tempo	TCACO1675894	38	hip hop tuga	0.503	0.811	0.00141	0.0669	146.925	0.487	0.318
