sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
6YginyW66qU6HuFiyX06v3	Blind Guardian	Black Chamber - Remastered 2007	DED831700985	33	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,power metal,speed metal	0.813	0.511	4.98e-06	0.0453	184.821	0.51	0.374
7xPGvZaG9W7UOrCgEwbONe	Blind Guardian	The Bard's Song - In the Forest - Remastered 2007	DED831700989	65	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,power metal,speed metal	0.846	0.396	4.38e-05	0.0283	81.778	0.38	0.415
6rXKlkP7AGhZ2yxu3dnjjf	Blind Guardian	Lord of the Rings - Remastered 2007	DED831700974	51	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,power metal,speed metal	0.299	0.438	0.00018	0.0318	133.049	0.204	0.632
59Zt3ljewoHZ0A2J6qayNo	Blind Guardian	Secrets Of The American Gods - Single Edit	DED832100695	58	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,power metal,speed metal	0.00145	0.474	0.000567	0.0911	140.056	0.192	0.969
6GmC728IZoBU37lU1LW02M	Powerwolf	Faster Than the Flame	ATN262197601	49	german metal,german power metal,melodic metal,metal,power metal	0.000501	0.143	7.92e-06	0.0596	201.726	0.232	0.945
3e77C0bCaFIUXNFxI075D9	Gloryhammer	Universe on Fire	ATN261562108	54	british power metal,comic metal,melodic metal,power metal,scottish metal,symphonic metal	3.36e-05	0.341	4.33e-06	0.0691	174.859	0.353	0.928
6D1i1hoMyjs843XbMhNq8J	HammerFall	Venerate Me	ATN262203105	55	gothenburg metal,hard rock,melodic metal,metal,neo classical metal,power metal,swedish power metal	0.000126	0.3	0.00481	0.0678	104.922	0.276	0.932
3mWpUooYBCQzcNaWTuVSGm	Manimal	Chains of Fury	DEU602109601	51	melodic metal,neo-trad metal,power metal,symphonic power metal	6.72e-06	0.459	0.489	0.0287	88.002	0.572	0.845
3iKSyNDGzJ3FcjXoDKqehS	Beast In Black	From Hell with Love	DED831801690	62	finnish heavy metal,finnish power metal,melodic metal,power metal	0.000104	0.502	0.00212	0.0482	120.066	0.552	0.9
5zlUrvdz6o5tIC2bBg31iZ	Powerwolf	Sainted by the Storm	ATN262216001	61	german metal,german power metal,melodic metal,metal,power metal	0.000231	0.499	3.71e-06	0.0537	106.034	0.541	0.961
