sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
21xzFXSL2XkZ2mIzDDAqTK	Catie Turner	God Must Hate Me	USAT22107483	69	alt z,gen z singer-songwriter,indie pop,pop	0.967	0.459	1.95e-05	0.136	76.954	0.072	0.304
3o9kpgkIcffx0iSwxhuNI2	Em Beihold	Numb Little Bug	USUM72200626	84	alt z,gen z singer-songwriter	0.327	0.742	0.0	0.0769	84.974	0.638	0.527
4SqWKzw0CbA05TGszDgMlc	The Walters	I Love You So	TCACC1438995	88	chicago indie	0.583	0.575	0.0	0.0358	75.977	0.466	0.648
03eyNjBM2mpx28H6kdaufN	Ryan Mack	Overwhelmed (Ryan Mack Remix)	IERZR2100004	73	alt z,irish pop,social media pop	0.161	0.658	0.0	0.154	174.111	0.513	0.445
1BYZxKSf0aTxp8ZFoeyM3d	girl in red	we fell in love in october	GBKPL1828677	81	bedroom pop,bubblegrunge,indie pop,norwegian indie,pop	0.113	0.566	0.181	0.028	129.959	0.237	0.366
4UMWqTR58mUBRkFQkc0tle	Peach PRC	Heavy	USUM72121080	52	alt z	0.694	0.349	0.0	0.0452	87.375	0.204	0.382
1WzOonguDKuWQrTTf5yR0D	Conan Gray	Jigsaw	USUM72200064	68	bedroom pop,pop	0.0801	0.273	0.0	0.0313	168.213	0.16	0.517
3rJDsZjIaCfJQSqRUvl0BM	Phoebe Bridgers	Funeral	USJ5G1714203	64	indie pop,la indie	0.947	0.218	0.00028	0.0376	170.724	0.307	0.263
760jhRscwGbIIe1m1IIQpU	Jessica Darrow	Surface Pressure	USWD12112914	81		0.0174	0.65	1.54e-06	0.307	180.088	0.37	0.584
55Am8neGJkdj2ADaM3aw5H	James Arthur	Train Wreck	DEE861600590	78	pop,talent show,uk pop	0.701	0.311	0.0	0.0365	77.355	0.225	0.485
0zSemnpoUFdtesuHTZ3ifv	We Three	Sara	GB5ZK1900018	67	alt z	0.684	0.713	0.0	0.117	110.048	0.346	0.557
0wI7QkCcs8FUQE1OkXUIqd	Alessia Cara	Scars To Your Beautiful	USUM71506811	73	canadian contemporary r&b,canadian pop,dance pop,pop,post-teen pop	0.0285	0.573	0.0	0.129	97.085	0.451	0.739
6XdHZr9iXdqc4Q76wtgbqr	Alec Benjamin	The Way You Felt	USAT22101715	63	alt z,dream smp,electropop,pop	0.715	0.872	0.0	0.0618	131.918	0.736	0.52
3As9Uyx1ZYKbdcEn3d7zma	Louis Tomlinson	Habit	GBHMU1900057	63	pop,post-teen pop	0.00836	0.493	0.0	0.0326	75.027	0.231	0.703
3afkJSKX0EAMsJXTZnDXXJ	Troye Sivan	Strawberries & Cigarettes	AUUM71701204	80	australian pop,dance pop,electropop,pop,viral pop	0.162	0.578	0.0	0.0832	83.909	0.25	0.537
4ys4z4bBUtTmzfjWtYnoli	girl in red	midnight love	GBKPL2092453	71	bedroom pop,bubblegrunge,indie pop,norwegian indie,pop	0.717	0.284	0.105	0.0886	179.708	0.259	0.538
2cOUlop2ZakjOKe4WinesN	Niall Horan	Slow Hands	USUG11700631	73	dance pop,pop,post-teen pop	0.011	0.735	0.0	0.0464	85.896	0.848	0.425
