sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4NOFSrIM6LhBl2MyKvFVtp	Iggy Azalea	Started	USUYG1246313	59	australian hip hop,dance pop,hip pop,pop,pop rap,post-teen pop	0.082	0.861	0.0	0.313	165.036	0.772	0.693
4oXV7uPMrMNSZfLMYtiqIX	Little Mix,Saweetie	Confetti (feat. Saweetie)	GBHMU2100002	59	dance pop,girl group,pop,post-teen pop,talent show,uk pop	0.178	0.733	0.0	0.053	107.088	0.485	0.643
1BxfuPKGuaTgP7aM0Bbdwr	Taylor Swift	Cruel Summer	USUG11901472	78	pop	0.117	0.552	2.06e-05	0.157	169.994	0.564	0.702
5nujrmhLynf4yMoMtj8AQF	Dua Lipa,DaBaby	Levitating (feat. DaBaby)	GBAHT2000942	83	dance pop,pop,uk pop	0.00883	0.702	0.0	0.0601	102.977	0.915	0.825
3AjyOYxBv8bByfBtG5o9dP	Miley Cyrus	See You Again	USHR10723141	66	dance pop,pop,post-teen pop	0.015	0.692	7.71e-05	0.177	138.975	0.8	0.911
6KgtcmCF9Ky68XC7ezxl3s	Lizzo,Cardi B	Rumors (feat. Cardi B)	USAT22104137	74	dance pop,escape room,minnesota hip hop,pop,trap queen	0.13	0.827	0.0	0.088	118.992	0.607	0.731
0W6I02J9xcqK8MtSeosEXb	Doja Cat	Get Into It (Yuh)	USRC12101535	82	dance pop,pop	0.315	0.912	3.39e-05	0.162	91.942	0.793	0.655
7mFj0LlWtEJaEigguaWqYh	Megan Thee Stallion,Dua Lipa	Sweetest Pie	QMCE32200232	84	dance pop,houston rap,pop,trap queen	0.167	0.814	0.0	0.221	123.977	0.677	0.628
3Kkjo3cT83cw09VJyrLNwX	Adele	Oh My God	USSM12105973	84	british soul,pop,pop soul,uk pop	0.091	0.534	0.0	0.046	88.098	0.55	0.725
7aLT0tLcS40Penaplqu2cZ	Ariana Grande	Greedy	USUM71602108	64	dance pop,pop	0.0323	0.62	0.0	0.0989	109.974	0.844	0.705
4LRPiXqCikLlN15c3yImP7	Harry Styles	As It Was	USSM12200612	100	pop	0.342	0.52	0.00101	0.0557	173.93	0.662	0.731
0IuVhCflrQPMGRrOyoY5RW	Tate McRae	she's all i wanna be	USRC12103120	86	pop	0.0134	0.614	7.07e-06	0.0426	160.036	0.651	0.644
1PckUlxKqWQs3RlWXVBLw3	Lizzo	About Damn Time	USAT22202139	89	dance pop,escape room,minnesota hip hop,pop,trap queen	0.0995	0.836	0.0	0.0656	108.966	0.722	0.743
1zejeOnykpCoyVSit6Bwp3	Olivia Rodrigo	hope ur ok	USUG12101250	76	pop	0.388	0.443	1e-05	0.0644	77.253	0.172	0.298
5JCoSi02qi3jJeHdZXMmR8	Olivia Rodrigo	favorite crime	USUG12101249	83	pop	0.866	0.369	0.0	0.0364	172.929	0.218	0.272
0MMyJUC3WNnFS1lit5pTjk	Olivia Rodrigo	jealousy, jealousy	USUG12101248	83	pop	0.198	0.695	0.0	0.116	163.929	0.699	0.575
