listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-27T10:17:12	Beast Unleashed	Vin Jay	CAHQJ1893116	31JBtF1HCTZlFnmJDxZrD4	2DQkr7ZMTqNrlz5HcXZeI7
2022-04-27T10:14:51	Beast Unleashed	Vin Jay	CAHQJ1893116	31JBtF1HCTZlFnmJDxZrD4	2DQkr7ZMTqNrlz5HcXZeI7
2022-04-27T10:14:25	I Gotta Feeling	Black Eyed Peas	USUM70965169	4kLLWz7srcuLKA7Et40PQR	1yxSLGMDHlW21z4YXirZDS
2022-04-27T10:14:13	I Gotta Feeling	Black Eyed Peas	USUM70965169	4kLLWz7srcuLKA7Et40PQR	1yxSLGMDHlW21z4YXirZDS
2022-04-27T10:12:48	Telephone	Lady Gaga, Beyoncé	USUM70905541	4TCL0qqKyqsMZml0G3M9IM	1HY2Jd0NmPuamShAr6KMms,6vWDO969PvNqNYHIOW5v0m
2022-04-27T10:03:50	Enough	NEFFEX	TCAFZ2279473	097bCoP8EGsAOvxOKcfzQR	3z97WMRi731dCvKklIf2X6
2022-04-27T10:01:23	Closed On Sunday	Kanye West	USUM71920461	3JWiDGQX2eTlFvKj3Yssj3	5K4W6rqBFWDnAN6FQUkS6x
2022-04-27T09:56:02	Blame Me	Crypt, Joey Nato, Atlus	QZES82209043	1rq5F8z6TRbTbGMpNmIL92	1WIHbvNZTybCVHFMbzuGJo,5JyLnz21v6WXqKvXfTBJBT,7pEVNuJRlpDXlsrcq32yHp
2022-04-27T09:55:58	Blame Me	Crypt, Joey Nato, Atlus	QZES82209043	1rq5F8z6TRbTbGMpNmIL92	1WIHbvNZTybCVHFMbzuGJo,5JyLnz21v6WXqKvXfTBJBT,7pEVNuJRlpDXlsrcq32yHp
2022-04-27T09:55:52	Break The News (Bonus Track)	Crypt, Joey Nato	QZFZ42261387	67zFAmJCYmmQw5aOPeFI4G	1WIHbvNZTybCVHFMbzuGJo,5JyLnz21v6WXqKvXfTBJBT
2022-04-27T00:45:50	Thousand Miles	The Kid LAROI	USSM12203367	1r8ZCjfrQxoy2wVaBUbpwg	2tIP7SsRs7vjIcLrU85W8J
2022-04-27T00:19:28	Bad Habits	Ed Sheeran	GBAHS2100318	3rmo8F54jFF8OgYsqTxm5d	6eUKZXaKkcviH0Ku9w2n3V
2022-04-26T21:44:02	Call Me (with R3HAB & Timmy Trumpet)	Gabry Ponte, R3HAB, Timmy Trumpet	ITV952100051	1dt220OBbkTsYz1NLVKIaw	5ENS85nZShljwNgg4wFD7D,6cEuCEZu7PAE9ZSzLLc2oQ,0CbeG1224FS58EUx4tPevZ
2022-04-26T20:53:10	Round Here	Snoop Dogg	USUM70617117	1R6M6xsq0vVq6vIAUhWNC8	7hJcb9fa4alzcOq3EaNPoG
2022-04-26T20:49:27	Mystery Lady	Masego, Don Toliver	USUM72021142	0bkTdkWwGk3OGFX0afD3Wj	3ycxRkcZ67ALN3GQJ57Vig,4Gso3d4CscCijv0lmajZWs
2022-04-26T20:45:00	Live Like Giants	Raphael Lake, Thomas Collins, Daniel Ryan Murphy	GBBPP1853434	2N4aP9zjdw6UWxZjl1AACK	1jHQI26XkjY8BHwvDnh9Jw,6AB1nnFDVbkY0P0hbGUk1B,1QoxDzRJ3hMCfBW6JAZlGl
2022-04-26T20:38:32	Break The News (Bonus Track)	Crypt, Joey Nato	QZFZ42261387	67zFAmJCYmmQw5aOPeFI4G	1WIHbvNZTybCVHFMbzuGJo,5JyLnz21v6WXqKvXfTBJBT
2022-04-26T20:34:43	Do It To It	ACRAZE, Cherish	QZFPL2100100	20on25jryn53hWghthWWW3	4pnp4w9g30yLfVIAFnZMRd,1c70yCa8sRgIiQxl3HOEFo
