listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-25T22:59:07	The Last Stand	Sabaton	DED831600523	0bUgTRe5st6TMbRCEjKezX	3o2dn2O0FCVsWDFSh8qxgG
2022-04-25T22:55:12	The Valley of Death	Sabaton	SE6HE2200109	4jqBlA2ZyD7njl3qglYwlN	3o2dn2O0FCVsWDFSh8qxgG
2022-04-25T22:41:28	Race to the Sea	Sabaton	SE6HE2200107	5xsF9hH7BTnX6liiWS8Dfb	3o2dn2O0FCVsWDFSh8qxgG
2022-04-25T22:37:01	Hellfighters	Sabaton	SE6HE2200106	2enm90CHZok8X5eAMsMgvx	3o2dn2O0FCVsWDFSh8qxgG
2022-04-25T22:33:35	Dreadnought	Sabaton	SE6HE2200103	332KBZuHbSZ2hrlkAh0GYT	3o2dn2O0FCVsWDFSh8qxgG
2022-04-25T22:28:49	The Unkillable Soldier	Sabaton	SE6HE2200104	0gsCpWnPXzPqf0MoIh0Qbi	3o2dn2O0FCVsWDFSh8qxgG
2022-04-21T16:50:20	The Valley of Death	Sabaton	SE6HE2200109	4jqBlA2ZyD7njl3qglYwlN	3o2dn2O0FCVsWDFSh8qxgG
2022-04-21T16:46:06	Lady of the Dark	Sabaton	SE6HE2200108	55gQTPtDdhgXcrxeE95K7l	3o2dn2O0FCVsWDFSh8qxgG
2022-04-21T16:39:19	Hellfighters	Sabaton	SE6HE2200106	2enm90CHZok8X5eAMsMgvx	3o2dn2O0FCVsWDFSh8qxgG
2022-04-21T16:13:30	The Unkillable Soldier	Sabaton	SE6HE2200104	0gsCpWnPXzPqf0MoIh0Qbi	3o2dn2O0FCVsWDFSh8qxgG
2022-04-21T16:08:58	Dreadnought	Sabaton	SE6HE2200103	332KBZuHbSZ2hrlkAh0GYT	3o2dn2O0FCVsWDFSh8qxgG
2022-04-21T16:03:59	Stormtroopers	Sabaton	SE6HE2200102	7cUHFTxJhxtZ5tpY34SMRw	3o2dn2O0FCVsWDFSh8qxgG
2022-04-21T15:59:22	No Easy Way Out	Beast In Black	DED831801701	3vrbqBTavQ6vIjr2HpzCfB	0rEuaTPLMhlViNCJrg3NEH
2022-04-12T17:20:11	Killed by Death	Beast In Black	DED831801700	1rNPRQnSEA4v4re58XO5Fx	0rEuaTPLMhlViNCJrg3NEH
