listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-05T15:25:48	Water Lillies	A Teardrop In The Lake	QZAKB2001949	1sVIrkPZob1Ul6aIqy8n8z	0s4v0h7Hiez273tp6lDeL0
2022-04-05T13:19:34	Mývatn	Haltura Arnadottir	SE5W32200886	4BLroGG5pTJwGui3vurqql	61BZeS03ZCGHVYi8gq523e
2022-04-05T13:16:55	In the Clouds	Astron	TCADK1778877	2AvDzQfRf5Bx8PX0qRWLRc	6qiuwoB9ro3SX0ZjSXnr0y
2022-04-05T13:13:57	Lunar Eclipse	Marc Torch	SE5Q52000875	0n2X57zaddr0ODIxUb64Sx	6OTnWg2Dt9yZfEHwOnZspu
2022-04-05T13:11:20	Vague	Amaranth Cove	SE5Q51902859	3IOXceWmoCrTyl5TXFDzWu	1Gt39QnTBTndeyiJ5SO04q
2022-04-05T13:08:57	Overture	Lights & Motion	US4KH1858001	6Xcbf5km5dY2xqnDctdjMx	3ff1CmU6qfTqRAmdrq8EEG
2022-04-05T13:05:17	Looking at the World Through a Window	From Overseas	QZHN32070602	1bsSaYmy0vOUH8tux2hAYV	31PP2XORcCMGHAa8vzJEUV
2022-04-05T12:58:52	Big Sleep	12dust	SE5W32100085	6ZEfWrG6f2LCm3gs03Ugsj	14gSyhJmT6Vl9e4vJCxF5J
2022-04-05T12:54:26	Saoirse	Symon van Gent	SE5W31918101	1RiLeuzt9obdImY1RXp5rQ	3uskh2B7aDflDsUXjMcyID
2022-04-05T12:51:26	Moment of Clarity	Light Bin	SE5IB1900802	1h7XRTgZYY0TYDjYDnLfju	1Zwtu3gCjyYVvEZZXbzucG
2022-04-05T09:01:15	2 Hearts (feat. Gia Koka)	Sam Feldt, Sigma, Gia Koka	DK4YA2000001	0EdgK7ASb4kfRkW8pVMN02	20gsENnposVs2I4rQ5kvrf,01pKrlgPJhm5dB4lneYAqS,71WExccCBN2mw0klSzfYzz
2022-04-05T08:58:07	Late Night Feelings - Jax Jones Midnight Snack Remix	Mark Ronson, Lykke Li, Jax Jones	GBARL1900582	7hrnaeVvXFAkvQOmjHJglY	3hv9jJF3adDNsBSIQDqcjp,6oBm8HB0yfrIc9IHbxs6in,4Q6nIcaBED8qUel8bBx6Cr
2022-04-05T08:44:00	Just a Cloud Away	Pharrell Williams	USQ4E1300685	4UPQiDmYScn2C6S2C2WATY	2RdwBSPQiwcmiDo9kixcl8
2022-04-05T08:41:03	Morenita	HUGEL, Cumbiafrica	GBHAD2102582	0pIiCv0GdhtsOjCJ5Y7zHj	5PlfkPxwCpRRWQJBxCa0By,72zmP13MQQhZHt4Kl0FOTs
2022-04-05T08:36:35	Butterflies	Fiji Blue	TCAES2081043	4aHrviUXxabPdIgWxdYQLt	1e7K8jD3wRuQfnwDAOeGqe
2022-04-05T08:33:37	Close To You	Dayglow	GBKPL2035998	0brBOx8ejPXvBYnQkWquYK	6eJa3zG1QZLRB3xgRuyxbm
2022-04-05T08:30:22	The Spins	Mac Miller	USA2P2015959	51pshtuYkgUQnt5huMPbKL	4LLpKhyESsyAXpc4laK94U
2022-04-05T08:27:06	Window	Still Woozy	USUG12001158	3hARuUtzTdUuWH1KiLJlSf	4iMO20EPodreIaEl8qW66y
2022-04-05T08:24:38	Cheesin'	Cautious Clay, Remi Wolf, sophie meiers, Still Woozy, Claud, Melanie Faye, HXNS	USUG12001416	0A3XWuyL1B7kqPHyDXHGkN	6iWuBN32BqCJAeXW6o3nil,0NB5HROxc8dDBXpkIi1v3d,4Qz5J3GBpmR1LcPgqFbzlW,4iMO20EPodreIaEl8qW66y,5MaQlvNGOaTj39apHsXVq1,4pcfFC9isxezJyTwbV1nIp,3DmNosRs1GoM9BJPJmsul0
2022-04-05T08:22:19	My Head Is A Jungle - MK Remix - Radio Edit	Wankelmut, Emma Louise, MK	DEAW11300332	2aeKjOnoJXavtpj2Hd2P4g	01e2lCvLZ4fLUIRy68nptH,1A96iePIMNFBjLrjXEl718,1yqxFtPHKcGcv6SXZNdyT9
2022-04-05T00:17:37	Do You Ever? - Acoustic	Phil Good	USAT22000595	79AZukrUlWPIbzrcTrzOsF	3MDqk7o9WcL4FSvlyyGjRv
2022-04-04T14:12:34	Casanova	Blake Rose	GBKPL2158314	07E34p59doB7zhxtcNQLqK	7wLyGTO9vUS7ndlq4BvBGe
2022-04-04T14:09:32	Miss Summer	ODIE	USUYG1335841	58VNpcJpI5dEKxYByCkbXc	5aMIbwZQvP2MHPMVC5zCGj
2022-04-04T14:06:50	The King	Sarah Kinsley	GBKPL2151554	4M6XHrTc4RtdgKN9gzEAM6	34A8vV1MCxGpA14KspqQuC
2022-04-04T14:03:23	Wait a Minute!	WILLOW	QMJMT1500801	0y60itmpH0aPKsFiGxmtnh	3rWZHrfrsPBxVy692yAIxF
2022-04-04T14:00:06	waves - Tame Impala Remix	Miguel, Tame Impala	USRC11600326	3lB0GMiI5KxDbTOG8V3bOx	360IAlyVv4PCEVjgyMZrxK,5INjqkS1o8h1imAzPqGZBb
2022-04-04T13:55:52	Grade A (feat. JAWNY)	spill tab, JAWNY	USAR12100095	6ek40cFUiRjxA2KrOHNfi3	3qqkHeEhezlIaNj1vFYH2r,25pd339V2rRJo84USlcSRP
2022-04-04T13:54:05	Wake Up, Get Down	Cupidon, KALLITECHNIS, Ric Wilson	CA5KR2152705	1gEB5InUzgNLHPv8H34v54	1qz3nYVQit24tcOsCOdCvb,6i3sYlO1zUHf5IWHpXt4Sl,34zbMuAgXxsgqnGXSxWvCR
2022-04-04T13:49:44	Glitter	BENEE	USUM71911687	23TPP1eeElFfvYVznskwCY	0Cp8WN4V8Tu4QJQwCN5Md4
2022-04-04T13:46:44	The Spins	Mac Miller	USA2P2015959	51pshtuYkgUQnt5huMPbKL	4LLpKhyESsyAXpc4laK94U
2022-04-04T13:43:28	I Feel Good	Pink Sweat$	USAT22105781	3lUQpvfWFcxZC3RYAVGE7F	1W7FNibLa0O0b572tB2w7t
2022-04-04T13:41:11	Song From Hell	Peach Tree Rascals	QZJ842001280	4uBl38yXhlcQoko7Hlgqnf	0imE3buPhAowREqCrr4CYe
2022-04-04T13:38:07	Weatherman	Eddie Benjamin	USSM12109590	5CmIIBRVQWLX2uXAkuBlS8	1AaSeUFzwt47HhkGtWE1xn
2022-04-04T13:35:41	Long Beach	Kota the Friend, Hello O'shay, Alex Banin	QZES82020385	6tqIes4TjudsjfIpK4P2Jh	2AfU5LYBVCiCtuCCfM7uVX,3YzuOhp0V0YIuaukc7U3Rp,2fTTmPI3XaJwqM19w5QiRz
2022-04-04T13:31:27	Chicken Tenders	Dominic Fike	USQX92001220	4sYbZjRCyaFqCtJ2Uvfh8B	6USv9qhCn6zfxlBQIYJ9qs
2022-04-04T13:28:37	Head In The Clouds	BabyJake	USUM72014269	1fAE0TQ3xblvOgnmM7yL1s	07Asx51VtMw5kbNXKrpZlq
2022-04-04T13:26:08	C.U.D.I (Can U Dig It)	Cosmo's Midnight	AUBM01900012	1YNejxrTddSkGseyZRDZRG	4VivsO1n4n2Mi2Btyb5gfL
2022-04-04T13:22:23	Honeypie	JAWNY	GBKPL1946902	6FfLg6FFqhCsrFOaHIGkg0	25pd339V2rRJo84USlcSRP
2022-04-04T13:20:07	Oysters In My Pocket	Royel Otis	GBKPL2284406	2B664ulJSVBd6B8SAY3Wux	5b5bt4mZQpJMoCRbiQ7diH
2022-04-04T13:17:25	Window	Still Woozy	USUG12001158	3hARuUtzTdUuWH1KiLJlSf	4iMO20EPodreIaEl8qW66y
2022-04-04T13:15:04	Cheesin'	Cautious Clay, Remi Wolf, sophie meiers, Still Woozy, Claud, Melanie Faye, HXNS	USUG12001416	0A3XWuyL1B7kqPHyDXHGkN	6iWuBN32BqCJAeXW6o3nil,0NB5HROxc8dDBXpkIi1v3d,4Qz5J3GBpmR1LcPgqFbzlW,4iMO20EPodreIaEl8qW66y,5MaQlvNGOaTj39apHsXVq1,4pcfFC9isxezJyTwbV1nIp,3DmNosRs1GoM9BJPJmsul0
2022-04-04T10:22:21	Stargazing	Kygo, Justin Jesso	SEBGA1700242	0Zbbxnx4SGGHoIow4PpISP	23fqKkggKUBHNkbKtXEls4,1QDrz3DMMaz3TB1cm0PGDu
2022-04-04T10:18:24	Juice	Lizzo	USAT21813044	0k664IuFwVP557Gnx7RhIl	56oDRnqbIiwx4mymNEv7dS
2022-04-04T10:13:51	more than just a friend	f. fin	QZFYY2248214	6gJJPWrzhL5aOY3Vc8uJKY	44GRwsM3LDG7zZqTUVbp60
2022-04-04T09:15:07	Stan	Eminem, Dido	USIR10001280	3UmaczJpikHgJFyBTAJVoz	7dGJo4pcD2V6oG8kP0tJRR,2mpeljBig2IXLXRAFO9AAs
