listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-05T11:23:55	let go (demo)	dodie	QMBZ92061365	0C1J9WEWIskxtqN9nTpl44	21TinSsF5ytwsfdyz5VSVS
2022-05-05T11:21:14	bored like me (demo)	dodie	QMBZ92061356	3qFp7WxvzHbJV6q03GBHYJ	21TinSsF5ytwsfdyz5VSVS
2022-05-05T11:19:12	Boys Like You (Bonus)	dodie	QM7281952064	6CT9rlhE55gX3MaDznjWt7	21TinSsF5ytwsfdyz5VSVS
2022-05-05T11:16:13	Guiltless (Bonus)	dodie	QM6MZ1963635	3MOcjyHSgktK1iOILE0UJD	21TinSsF5ytwsfdyz5VSVS
2022-05-05T11:12:44	Before the Line	dodie	QMBZ92061354	0Z56w8TQFrbakG2EYNGFk2	21TinSsF5ytwsfdyz5VSVS
2022-05-05T11:09:07	When	dodie	QMBZ92061370	161iaO13CvAJ3IZC2EtAEQ	21TinSsF5ytwsfdyz5VSVS
2022-05-05T11:05:23	Sorry	dodie	QMBZ92061368	0nVv9l68N2NtQSyxtTxHvy	21TinSsF5ytwsfdyz5VSVS
2022-05-05T11:02:37	.	dodie	QMBZ92061350	6eBdMbdHaDZnhSdaspgS8D	21TinSsF5ytwsfdyz5VSVS
2022-05-05T11:01:14	Four Tequilas Down	dodie	QMBZ92061361	7ilxwPIQLBWPIQa1gxYow6	21TinSsF5ytwsfdyz5VSVS
2022-05-05T10:58:53	?	dodie	QMBZ92061349	5hC3I8u2OyE8AR0Y6pRBpa	21TinSsF5ytwsfdyz5VSVS
2022-05-05T10:57:40	Rainbow	dodie	QMBZ92061367	4CUS2wpysR01dYz7uiRD5d	21TinSsF5ytwsfdyz5VSVS
2022-05-05T10:54:54	Special Girl	dodie	QMBZ92061369	2YIsnl3xxvV34QgnT9HLCY	21TinSsF5ytwsfdyz5VSVS
2022-05-05T10:51:40	Cool Girl	dodie	QMBZ92045175	51ZW0OUvhcO0uyXR3E68bh	21TinSsF5ytwsfdyz5VSVS
2022-05-05T10:48:21	I Kissed Someone (It Wasn't You)	dodie	QMBZ92061364	35NX4IIsuOOm6isMzTdqtQ	21TinSsF5ytwsfdyz5VSVS
2022-05-05T10:45:49	Hate Myself	dodie	QMBZ92061363	4ILUKveMdxak81RIB0iyhH	21TinSsF5ytwsfdyz5VSVS
2022-05-04T10:29:38	Hate Myself	dodie	QMBZ92061363	4ILUKveMdxak81RIB0iyhH	21TinSsF5ytwsfdyz5VSVS
2022-05-04T10:28:37	Air So Sweet	dodie	QMBZ92061351	60CueJX9vAclyPm2229I2d	21TinSsF5ytwsfdyz5VSVS
2022-05-03T20:45:34	Only the Brave	Louis Tomlinson	GBHMU1900062	7A7RygcHdNH0iJHgwteajF	57WHJIHrjOE3iAxpihhMnp
2022-05-03T20:10:46	Graceland Too	Phoebe Bridgers	USJ5G2020010	1WCjhRs2WBgyeGaybCX2Po	1r1uxoy19fzMxunt3ONAkG
2022-05-03T20:06:52	cardigan	Taylor Swift	USUG12002836	4R2kfaDFhslZEMJqAFNpdd	06HL4z0CvFAxyc27GXpf02
2022-05-03T17:05:51	Nineteen	Dylan	GBKPL2158834	1TrKIyTqPl9mMiB994ezhI	4LOM7NzyrZvlGSYPFDsnTk
2022-05-03T17:02:39	Pretty Girl - Cheat Codes X CADE Remix	Maggie Lindemann, Cheat Codes, CADE	QMCE31701175	1NDxZ7cFAo481dtYWdrUnR	0uGk2czvcpWQA383Im6ajf,7DMveApC7UnC2NPfPvlHSU,0CEK8AzyeD5ZUdUloB6yQV
2022-05-03T16:59:27	Cut To The Feeling	Carly Rae Jepsen	USUM71703861	6EJiVf7U0p1BBfs0qqeb1f	6sFIWsNpZYqfjUpaCgueju
2022-05-03T16:56:01	Wake Me Up	Avicii	SEUM71301326	0nrRP2bk19rLc0orkWPQk2	1vCWHaC5f2uS3yhpwWbIA6
2022-05-03T16:51:55	Good Time	Owl City, Carly Rae Jepsen	USUM71206288	1kPpge9JDLpcj15qgrPbYX	07QEuhtrNmmZ0zEcqE9SF6,6sFIWsNpZYqfjUpaCgueju
2022-05-03T16:48:29	I AM WOMAN	Emmy Meli	USAR12100239	3nOz1U41SZZ0N3fuUWr9nb	71szvmFWd7TUa7b6XmXj9k
2022-05-03T16:44:38	Believer	Imagine Dragons	USUM71700626	0pqnGHJpmpxLKifKRmU6WP	53XhwfbYqKCa1cC15pYq2q
2022-05-03T16:41:15	Somewhere Only We Know	Keane	GBAAN0300664	1SKPmfSYaPsETbRHaiA18G	53A0W3U0s8diEn9RhXQhVz
2022-05-03T16:37:20	Classic	MKTO	USSM11301446	6FE2iI43OZnszFLuLtvvmg	2l35CQqtYRh3d8ZIiBep4v
2022-05-03T16:34:27	This Is The Life	Amy Macdonald	GBUM70607840	2T3jgoAMbBXiMMD8pSc6QL	1hJuGCUpefX24GFmss9bjH
2022-05-03T16:31:24	Shut Up and Dance	WALK THE MOON	USRC11401949	4kbj5MwxO1bq9wjT5g9HaA	6DIS6PRrLS3wbnZsf7vYic
2022-05-03T16:29:07	Shut Up and Dance	WALK THE MOON	USRC11401949	4kbj5MwxO1bq9wjT5g9HaA	6DIS6PRrLS3wbnZsf7vYic
2022-05-03T16:00:22	The Way You Felt	Alec Benjamin	USAT22101715	6XdHZr9iXdqc4Q76wtgbqr	5IH6FPUwQTxPSXurCrcIov
2022-05-03T15:56:33	Don't Let It Break Your Heart	Louis Tomlinson	GBHMU1900054	4nbQRLAPq202lsQsv9FNwK	57WHJIHrjOE3iAxpihhMnp
2022-05-03T15:53:10	The Nights	Avicii	CH3131340464	0ct6r3EGTcMLPtrXHDvVjc	1vCWHaC5f2uS3yhpwWbIA6
2022-05-03T13:23:40	Before the Line	dodie	QMBZ92061354	0Z56w8TQFrbakG2EYNGFk2	21TinSsF5ytwsfdyz5VSVS
2022-05-03T13:21:30	When	dodie	QMBZ92061370	161iaO13CvAJ3IZC2EtAEQ	21TinSsF5ytwsfdyz5VSVS
2022-05-03T13:17:47	Sorry	dodie	QMBZ92061368	0nVv9l68N2NtQSyxtTxHvy	21TinSsF5ytwsfdyz5VSVS
2022-05-03T13:15:01	.	dodie	QMBZ92061350	6eBdMbdHaDZnhSdaspgS8D	21TinSsF5ytwsfdyz5VSVS
2022-05-03T13:13:37	Four Tequilas Down	dodie	QMBZ92061361	7ilxwPIQLBWPIQa1gxYow6	21TinSsF5ytwsfdyz5VSVS
2022-05-03T13:11:16	?	dodie	QMBZ92061349	5hC3I8u2OyE8AR0Y6pRBpa	21TinSsF5ytwsfdyz5VSVS
2022-05-03T13:10:04	Rainbow	dodie	QMBZ92061367	4CUS2wpysR01dYz7uiRD5d	21TinSsF5ytwsfdyz5VSVS
2022-05-03T13:07:17	Special Girl	dodie	QMBZ92061369	2YIsnl3xxvV34QgnT9HLCY	21TinSsF5ytwsfdyz5VSVS
2022-05-03T13:04:04	Cool Girl	dodie	QMBZ92045175	51ZW0OUvhcO0uyXR3E68bh	21TinSsF5ytwsfdyz5VSVS
2022-05-03T13:00:44	I Kissed Someone (It Wasn't You)	dodie	QMBZ92061364	35NX4IIsuOOm6isMzTdqtQ	21TinSsF5ytwsfdyz5VSVS
2022-05-03T12:58:13	Hate Myself	dodie	QMBZ92061363	4ILUKveMdxak81RIB0iyhH	21TinSsF5ytwsfdyz5VSVS
2022-05-03T12:54:45	Air So Sweet	dodie	QMBZ92061351	60CueJX9vAclyPm2229I2d	21TinSsF5ytwsfdyz5VSVS
2022-05-03T10:49:56	parents	YUNGBLUD	USUG11901522	5v4OkFH0TJ6W1hCFxyn0px	6Ad91Jof8Niiw0lGLLi3NW
2022-05-03T10:47:49	cardigan	Taylor Swift	USUG12002836	4R2kfaDFhslZEMJqAFNpdd	06HL4z0CvFAxyc27GXpf02
2022-05-03T10:43:52	Cherry	Harry Styles	USSM11912589	2IOFZdYYkFxEHVz1w34PoL	6KImCVD70vtIoJWnq6nGn3
2022-05-03T10:39:35	Jigsaw	Conan Gray	USUM72200064	1WzOonguDKuWQrTTf5yR0D	4Uc8Dsxct0oMqx0P6i60ea
2022-05-03T10:36:07	Only the Brave	Louis Tomlinson	GBHMU1900062	7A7RygcHdNH0iJHgwteajF	57WHJIHrjOE3iAxpihhMnp
2022-05-03T10:34:22	we fell in love in october	girl in red	GBKPL1828677	1BYZxKSf0aTxp8ZFoeyM3d	3uwAm6vQy7kWPS2bciKWx9
2022-05-03T10:25:04	Pink Slips	Jenna Doe	QZHNC2150614	3YmZVcLHWCjMlHfLaM7nTf	537KNo7PHzbkHiv5SGQ0eT
2022-05-03T10:21:54	august	Taylor Swift	USUG12002842	3hUxzQpSfdDqwM3ZTFQY0K	06HL4z0CvFAxyc27GXpf02
2022-05-03T10:00:14	august	Taylor Swift	USUG12002842	3hUxzQpSfdDqwM3ZTFQY0K	06HL4z0CvFAxyc27GXpf02
2022-05-03T09:56:13	Ever Since New York	Harry Styles	USSM11703959	5LABCxgmP7DATATIJXOh6n	6KImCVD70vtIoJWnq6nGn3
