listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-12T18:48:28	jealousy, jealousy	Olivia Rodrigo	USUG12101248	0MMyJUC3WNnFS1lit5pTjk	1McMsnEElThX1knmY4oliG
2022-04-12T18:45:35	Levitating (feat. DaBaby)	Dua Lipa, DaBaby	GBAHT2000942	5nujrmhLynf4yMoMtj8AQF	6M2wZ9GZgrQXHCFfjv46we,4r63FhuTkUYltbVAg5TQnk
2022-04-12T18:42:11	she's all i wanna be	Tate McRae	USRC12103120	0IuVhCflrQPMGRrOyoY5RW	45dkTj5sMRSjrmBSBeiHym
2022-04-12T18:38:43	Colors	Halsey	USUM71507629	1TnUURhehaoMWKAqQtirm6	26VFTg2z8YR0cCuwLzESi2
2022-04-12T18:34:34	24	sundial	USLD91734680	5nsMKSAJwcr1pA9I6PW429	1SOubzv0uhrziEXbNLMUw9
2022-04-12T18:32:19	THAT BITCH	Bea Miller	CA5KR1963712	77o1HdXHm1hLd7Ebe9ygd0	1o2NpYGqHiCq7FoiYdyd1x
2022-04-12T18:28:58	you should see me in a crown	Billie Eilish	USUM71810049	3XF5xLJHOQQRbWya6hBp7d	6qqNVTkY8uBg9cP3Jd7DAH
2022-04-12T18:25:57	good 4 u	Olivia Rodrigo	USUG12101245	4ZtFanR9U6ndgddUvNcjcG	1McMsnEElThX1knmY4oliG
2022-04-12T18:22:57	The Eulogy of You and Me	Huddy	USUM72101562	0FPfkAGl5xLLZ8kIl7eDYi	3BxsweDMcgp9gNWmG40u6f
2022-04-12T18:19:54	as long as you care	Ruel	USRC12002400	0GQqQ7dA7B4mcEktSZaOUp	5xkAtLTf309LAGZTbvULBn
2022-04-12T18:16:40	Fake	Lauv, Conan Gray	GBKPL2025498	4Gt2kh3QbAGU6yquOWn4aW	5JZ7CnR6gTvEMKX4g70Amv,4Uc8Dsxct0oMqx0P6i60ea
2022-04-12T18:14:13	queen of broken hearts	blackbear	USUG12000337	1xyUCr7dIJYaUaaiDf4Q1L	2cFrymmkijnjDg9SS92EPM
2022-04-12T18:11:21	We Don't Talk About Bruno	Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast	USWD12112915	52xJxFP6TqMuO4Yt0eOkMz	29PgYEggDV3cDP9QYTogwv,36CUTsdtNgCwMq6zKD1l8I,72kqSqk124Vnl1wtT6q9Fh,2as15AH2BTrPk8v4gyElmr,18MFcGBHtyW0mU3ufcm0X1,5PYToRCsrnvikZg3yl2JMr,3xLU748QxpTmIVaiNXXg0P
2022-04-12T18:07:45	Happier Than Ever - Edit	Billie Eilish	USUM72116908	32BeYxKPrig1LefHsC0Xuo	6qqNVTkY8uBg9cP3Jd7DAH
2022-04-12T18:05:13	Light Switch	Charlie Puth	USAT22107359	1BSMpVGWs3v5BZKnAQziAc	6VuMaDnrHyPL1p4EHjYLi7
2022-04-12T16:14:00	abcdefu	GAYLE	USAT22103652	4fouWK6XVHhzl78KzQ1UjL	2VSHKHBTiXWplO8lxcnUC9
2022-04-12T16:11:11	good 4 u	Olivia Rodrigo	USUG12101245	4ZtFanR9U6ndgddUvNcjcG	1McMsnEElThX1knmY4oliG
2022-04-12T16:08:12	Happier Than Ever - Edit	Billie Eilish	USUM72116908	32BeYxKPrig1LefHsC0Xuo	6qqNVTkY8uBg9cP3Jd7DAH
2022-04-12T16:05:41	can I call you back?	SHY Martin	SE5262000108	3bWubl9oMzs5Z1n5KZXSSz	7eCmccnRwPmRnWPw61x6jM
2022-04-12T16:02:10	What Else Can I Do?	Diane Guerrero, Stephanie Beatriz	USWD12112916	3XoYqtiWHhsk59frZupImG	18MFcGBHtyW0mU3ufcm0X1,5PYToRCsrnvikZg3yl2JMr
2022-04-12T15:59:10	Smooth Criminal (Glee Cast Version) (feat. 2CELLOS)	Glee Cast, 2CELLOS	USQX91200007	4E7B45OimTovLiETRzSBly	0SCbttzoZTnLFebDYmAWCm,6Fi8CHfO8WGtu3yO8c2Mc4
2022-04-12T11:14:19	Rich Love (with Seeb)	OneRepublic, Seeb	USUM71705541	7dOeiXeTSfA1ixaYmQcWu7	5Pwc4xIPtQLFEnJriah9YJ,5iNrZmtVMtYev5M9yoWpEq
2022-04-12T11:12:56	we had everything...	Casey Lowry	SGB502104776	4Ycb9rQ9sFgClXdWQUanM7	6g01TPprAdALKCjAwBYPH1
