username,group,phase,nov genres,nov genres_p,nov EM genres,nov EM genres_p,nov artists,nov artists_p,nov EM artists,nov EM artists_p,nov tracks,nov tracks_p,nov EM tracks,nov EM tracks_p,match artists,match tracks
draconisfirebolt,LD,COND,11,16.67,2,33.33,77,56.62,3,50.0,119,52.42,3,75.0,0,0
draconisfirebolt,LD,POST,11,18.03,2,66.67,70,50.72,5,83.33,85,41.26,4,80.0,0,0
Fillyz,LD,COND,0,0.0,0,0,1,8.33,0,0,11,32.35,0,0,0,0
Fillyz,LD,POST,0,0.0,0,0,0,0.0,0,0,11,34.38,0,0,0,0
gggaaabbss,HD,COND,111,48.05,11,55.0,278,59.66,48,66.67,430,70.15,31,73.81,0,0
gggaaabbss,HD,POST,34,19.43,0,0.0,74,25.52,6,22.22,210,46.98,4,33.33,0,0
anaritaml,HD,COND,95,46.12,14,53.85,311,77.36,80,81.63,296,82.45,54,90.0,3,2
anaritaml,HD,POST,39,26.9,0,0.0,140,60.34,10,58.82,143,66.2,7,77.78,0,0
ByeBye,LD,COND,55,37.41,5,62.5,170,69.11,9,100.0,198,80.16,4,100.0,0,0
ByeBye,LD,POST,53,29.44,8,53.33,170,50.3,21,72.41,219,64.99,14,87.5,0,0
bigDart,HD,COND,93,51.96,15,48.39,404,78.14,112,74.67,355,87.22,82,90.11,0,0
bigDart,HD,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
