participant	age:1	gender:1	gender:other	citizenship:1	residence:1	education:1	mb1:1	mb2:1	mb3:1	mb4:1	mb4:other	mb5:1	af:1	af:2	af:3	af:4	af:5	af:6	af:7	af:8	af:9	af:10	af:11	af:12	af:13	af:14	af:15	af:16	af:17	af:18	af:19	af:20	gf:1	gf:2	gf:3	gf:4	gf:5	gf:6	gf:7	gf:8	gf:9	gf:10	gf:11	gf:12	gf:13	gf:14	gf:15	gf:16	gf:17	gf:18	gf:19	gf:20	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.a77c1d08-9955-4abf-ad99-31e49629776f.txt	3	1		Italy	Italy	3	2	2	4	2		1	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	3	3	3	2	2	3	3	1	2	2	2	3	1	3	3	1	3	3	3	3	1	3	1	1	1	1	1	1	5eb160d9653c15056ac72f08	6269053ac9ca43d823c77778	6270e92344ecc733e306b645	2022-05-03-10-38	2022-05-03-10-42	4
s.a5bc3fc8-77aa-40ab-9559-f8c33c346087.txt	4	2		Spain	Spain	3	4	3	4	2		2	3	1	3	1	3	3	3	3	2	1	2	3	3	3	3	3	1	1	3	3	1	2	2	1	1	1	2	1	1	1	2	3	1	3	2	3	3	1	2	2	1	1	1	1	2	615e2e6bb4b4ab6fa6f6086f	6269053ac9ca43d823c77778	6270ed8eabf60056d2f38a65	2022-05-03-10-54	2022-05-03-10-58	4
s.ecb5a466-630d-4c31-9331-f7b85ca4aa17.txt	2	2		italy	italy	2	4	1	1	2		1	3	1	3	3	3	3	3	3	2	3	3	3	1	3	3	3	3	3	3	3	1	1	3	1	1	3	1	1	1	1	3	3	1	3	2	3	3	1	3	1	1	1	2	2	2	60842fa33bf68bed4ceb78ff	6269053ac9ca43d823c77778	6270ee21754d91d7b582f851	2022-05-03-10-56	2022-05-03-10-58	2
s.d73d2839-d921-4c84-a07b-4a42efbebd0f.txt	2	1		Portugal	Portugal	2	4	2	1	4		2	3	1	3	3	3	3	3	3	3	3	3	3	1	2	2	3	3	3	3	3	1	3	3	3	1	1	2	1	2	1	3	3	1	3	3	3	3	1	1	1	1	1	2	2	2	60416e49cd2c5e13e84ec4eb	6269053ac9ca43d823c77778	6270f05a73cd915450d9dd50	2022-05-03-11-05	2022-05-03-11-08	3
s.08d83e66-eb36-4b2e-ba8f-3285616ee2eb.txt	2	1		Spain	Spain	3	4	4	2	4		4	3	3	3	1	2	3	3	3	3	3	3	3	1	1	3	3	3	3	3	3	3	1	3	1	3	1	3	1	3	1	1	3	3	2	3	3	3	1	3	1	1	2	1	2	2	60ec99f277f9a3a19f42c184	6269053ac9ca43d823c77778	6270f070d9370f2646457c88	2022-05-03-11-06	2022-05-03-11-08	2
s.74977019-f97f-423a-ab26-c90c5dfd0bdd.txt	2	2		Portugal	Portugal	2	4	4	3	2		1	3	1	3	1	3	3	3	3	3	3	3	3	1	3	1	3	3	3	3	3	2	3	3	2	1	2	2	1	2	3	3	3	1	3	3	2	3	1	1	3	1	1	1	1	1	610806dc54127c679abf2330	6269053ac9ca43d823c77778	6270f095a602c75247a800ad	2022-05-03-11-07	2022-05-03-11-09	2
s.fe479a2f-a230-44fc-9c0b-f9421addbfec.txt	2	1		portugal	portugal	2	4	4	4	4		2	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	3	1	1	1	1	1	1	1	1	5e8b4b875ac5d50009845a7b	6269053ac9ca43d823c77778	6270f09171a6c3dd629da4f9	2022-05-03-11-07	2022-05-03-11-09	2
s.02bda11d-dc63-4fc0-a97f-f68b1519f7bc.txt	2	2		Portugal	Portugal	2	4	3	4	2		1	3	1	3	1	3	3	2	3	3	3	1	3	1	3	1	3	1	3	3	3	1	2	1	1	1	1	1	1	2	3	3	2	1	2	2	2	3	2	3	1	2	2	1	1	1	60ad073b7528565cc4c97c55	6269053ac9ca43d823c77778	6270f132125140579326731a	2022-05-03-11-09	2022-05-03-11-15	6
s.3a49b179-6efc-407e-9c23-80e0abf82239.txt	2	1		Portugal	Lisboa	3	4	4	4	2		4	3	3	3	1	2	1	2	3	3	3	1	3	1	3	1	2	2	3	1	2	1	2	2	1	1	3	2	1	1	3	2	3	1	2	1	2	3	1	1	1	1	1	1	1	1	6024c1edf9b0e11f13c59cbd	6269053ac9ca43d823c77778	6270f1aab467ab41184d3406	2022-05-03-11-11	2022-05-03-11-14	3
s.5872ebea-28d8-4eda-960c-6207d5c91f34.txt	4	1		Portugal	Leiria	2	5	2	2	2		3	1	1	3	1	3	1	3	2	1	1	1	3	3	3	3	3	1	1	3	3	1	1	2	1	1	1	3	1	1	1	3	3	1	3	2	2	3	1	1	2	1	1	2	2	2	5f27df9a9858eb0008fd7aa3	6269053ac9ca43d823c77778	6270f2007240efed92482adc	2022-05-03-11-13	2022-05-03-11-19	6
