participant,age:1,gender:1,gender:other,citizenship:1,residence:1,education:1,mb1:1,mb2:1,mb3:1,mb4:1,mb4:other,mb5:1,af:1,af:2,af:3,af:4,af:5,af:6,af:7,af:8,af:9,af:10,af:11,af:12,af:13,af:14,af:15,af:16,af:17,af:18,af:19,af:20,gf:1,gf:2,gf:3,gf:4,gf:5,gf:6,gf:7,gf:8,gf:9,gf:10,gf:11,gf:12,gf:13,gf:14,gf:15,gf:16,gf:17,gf:18,gf:19,gf:20,guttman:1,guttman:2,guttman:3,guttman:4,guttman:5,PROLIFIC_PID,STUDY_ID,SESSION_ID,TIME_start,TIME_end,TIME_total,artist_fam_score,genre_fam_score,avg_fam_score,open_score
s.4208d7b5-2ead-4bd0-845f-adb54f90acdc.txt,2,1,,Spain,Spain,3.0,5,3,4,4,,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,2,1,3,1,1,1,2,1,3,1,3,3,1,3,1,3,3,1,3,1,1,1,1,2,2,611bb2a6d9678117db737236,6269053ac9ca43d823c77778,6272309d61c6a983c4300393,2022-05-04-09-52,2022-05-04-09-54,2,0.30,5.28,2.79,3
s.8102a8c1-5609-43eb-8902-801bfb139b5d.txt,2,2,,Spain,Spain,3.0,4,4,2,4,,1,3,1,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,1,3,1,1,1,1,3,1,3,1,3,3,1,3,3,3,3,1,1,3,1,2,2,2,2,611ba0a6b3322a69dc196829,6269053ac9ca43d823c77778,627230c08f825d6293bcdbfb,2022-05-04-09-52,2022-05-04-09-55,3,0.30,3.15,1.73,1
s.87fa544b-3db1-4ecf-a048-ff58fc6a7709.txt,3,1,,italy,Italy,3.0,4,3,4,2,,3,2,1,2,1,3,2,3,3,3,3,2,3,1,3,3,3,3,1,3,2,1,1,1,1,1,1,1,1,3,3,2,3,1,3,3,2,2,1,2,1,1,1,1,1,2,5f2d14d99d93bf265393b8ac,6269053ac9ca43d823c77778,627230a113cd08cc49b1a12d,2022-05-04-09-52,2022-05-04-09-54,2,2.60,6.08,4.34,4
s.83a7730d-f967-41c8-b4af-22bf9130fee1.txt,2,1,,italy,italy,2.0,4,4,3,2,,3,3,1,3,1,3,3,3,2,3,1,1,2,1,1,1,3,1,3,3,3,1,1,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,5fe235442178d1da2544d3b0,6269053ac9ca43d823c77778,627230a60d507481629b6753,2022-05-04-09-52,2022-05-04-09-55,3,2.65,7.08,4.86,3
s.53e564c2-2644-4b10-9bf3-3e92ace21e94.txt,4,1,,Portugal,Lisboa,3.0,4,2,2,2,,4,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,3,1,3,1,1,1,1,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,606b84e11527ce2103add0a5,6269053ac9ca43d823c77778,627230ad740611be0c30c559,2022-05-04-09-52,2022-05-04-09-55,3,5.90,7.60,6.75,5
s.96d1fdbc-6b71-4804-a981-dec8fb25c1f4.txt,3,1,,Portugal,Portugal,4.0,4,3,2,2,,2,3,1,2,1,3,2,2,3,1,3,1,3,3,3,3,3,1,1,3,3,1,2,3,1,1,2,2,1,1,2,3,3,1,3,3,3,3,1,3,1,1,2,2,2,2,5e92f26b444572122fdfe44d,6269053ac9ca43d823c77778,627230b37fc67abd3cbeaf12,2022-05-04-09-52,2022-05-04-09-55,3,3.48,4.28,3.88,1
s.ce2fa22e-6f0a-469c-b2a1-26945b0a1463.txt,2,2,,Portugal,Portugal,2.0,5,4,4,2,,2,2,1,2,1,1,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,3,3,3,1,1,1,3,2,1,1,3,1,1,1,1,1,6123df1c90ede34a95a378b4,6269053ac9ca43d823c77778,627230b06005f75976c61c51,2022-05-04-09-52,2022-05-04-09-58,6,8.17,6.20,7.19,5
s.153adf99-8860-4bd0-a148-5ce8fc948058.txt,4,1,,Portugal,Portugal,4.0,4,4,4,2,,2,1,1,3,1,1,3,3,1,1,1,1,2,1,1,1,1,1,3,3,3,1,2,3,1,1,1,1,1,2,1,1,3,1,3,2,2,3,1,1,1,1,1,1,1,2,617472a275f3c78a60844d68,6269053ac9ca43d823c77778,627230a919ec0c0a9115a9db,2022-05-04-09-52,2022-05-04-09-55,3,5.57,6.53,6.05,4
s.261f06fb-b696-4ac6-8007-e6858fbfbb45.txt,2,1,,Italia,SU,3.0,4,2,4,2,,2,1,1,3,1,2,3,3,1,3,1,1,3,1,3,3,3,1,3,3,3,1,1,1,1,1,1,2,1,1,1,1,3,1,3,1,1,3,1,2,1,1,1,1,1,2,5f24289ed102ed000b9f98b0,6269053ac9ca43d823c77778,627230bf2036a94b0cfc7a39,2022-05-04-09-52,2022-05-04-09-55,3,3.12,7.78,5.45,4
s.e90aa121-7501-4620-b10e-fc9c33479266.txt,3,1,,Spanish,Bizkaia,3.0,4,5,4,2,,2,3,1,3,1,3,3,3,3,3,3,1,3,1,1,1,3,3,3,3,3,3,3,3,1,1,3,3,1,3,1,1,3,1,3,3,3,3,1,1,1,1,1,1,1,2,60d06a76e9c3333904d90ffc,6269053ac9ca43d823c77778,6272309a00406af3f5e1da85,2022-05-04-09-52,2022-05-04-09-54,2,1.15,3.85,2.50,4
