participant_id,Q6,Q7,Q8,Q9,DM_SCORE,OPEN_SCORE,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Gender,Highest education level completed,Nationality,Sex
5f6ce3aa36f6181177e93f0f,4,2,1,4,0.61,5,22,Spain,Spain,Other,Spanish,"French, English, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Spain,Female
5efc9df19aca1b058028bd9d,4,2,2,2,0.79,3,29,Italy,Italy,Full-Time,Italian,"Italian, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italy,Female
5e8f31ca66838a1ff52975b5,4,2,2,3,0.86,1,25,Portugal,Portugal,Other,Portuguese,"Spanish, English, French",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
600096b0685b2315be3a0891,4,2,2,2,1.15,1,23,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
616b2703143d4550968777b8,4,2,3,3,1.2,5,21,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female
5ebc3cc7adb5e706b8021deb,4,3,2,4,1.27,1,23,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
6014314ae378481403f01e86,3,3,3,4,1.32,4,21,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Portugal,Male
5f89c22268e5fe0009834636,3,2,3,3,1.39,3,20,Italy,Italy,Other,Italian,"English, Italian",Man (including Trans Male/Trans Man),High school diploma/A-levels,Italy,Male
60ecadbc339c0f0e49a9c370,4,2,2,2,1.43,4,20,Italy,Italy,DATA EXPIRED,Italian,"Arabic, French, Italian, English",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female
5b9125803e41080001a850e5,4,4,3,2,1.5,2,24,Italy,Italy,Due to start a new job within the next month,Italian,"Italian, English",Man (including Trans Male/Trans Man),Technical/community college,Italy,Male
6167eea0a4fd7219518e8a16,3,2,1,2,1.65,4,22,Portugal,Portugal,DATA EXPIRED,Portuguese,"English, Portuguese, Spanish",Non-binary (would like to give more detail),Secondary education (e.g. GED/GCSE),Portugal,Male
60ff3a7e3057022617006e78,4,1,1,2,1.7,1,22,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
6009cb9a5fa0350a4a5879fd,4,2,2,3,1.79,3,22,Italy,Italy,Due to start a new job within the next month,Italian,"Italian, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italy,Female
5e4841b1d135942e602a1bd8,5,2,4,3,1.91,5,28,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female
5da839f66f11e500123e30c7,5,3,1,2,2.01,3,22,Italy,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",Italian,"English, Italian",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Italy,Male
61720e04849f1568c2f3e999,4,2,3,2,2.02,5,21,Spain,Spain,Unemployed (and job seeking),Spanish,"English, Spanish",Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Spain,Female
60fd2a640ce1fa66aa2da3f8,5,3,3,3,2.16,2,21,Spain,Spain,Part-Time,Basque,"Basque, English, Spanish",Woman (including Trans Female/Trans Woman),Secondary education (e.g. GED/GCSE),Spain,Female
60fd945c307626b8b4d4e4dc,4,1,3,2,2.2,0,23,Spain,Spain,Part-Time,Catalan,"Catalan, English, Spanish",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Spain,Female
5fea245fcb429d1d08f7d1e0,5,4,4,2,2.23,3,23,Italy,Italy,Part-Time,Italian,"English, Italian, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female
60c343fb9be50f660ec54b6e,4,2,3,2,2.25,3,21,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Portugal,Male
5e85fb52694b68049c112544,4,3,3,2,2.27,4,21,Portugal,Portugal,Full-Time,Portuguese,English,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
6113a568434313758954bb53,5,3,2,3,2.34,4,24,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
6104789653935cb6d9e6c8fb,4,2,2,4,2.57,1,20,Italy,Italy,Unemployed (and job seeking),Italian,"English, Italian",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female
612820047346933da8342f74,4,3,3,2,2.58,5,27,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
60fdfea91c30771b19d63e00,3,1,1,2,2.58,1,21,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female
609ab970bcff69957427445d,5,1,1,3,2.62,1,21,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
5f0471a92ec97b6d1aec7739,2,1,3,4,2.65,4,24,Italy,Italy,Full-Time,Italian,"English, Italian",Man (including Trans Male/Trans Man),High school diploma/A-levels,Italy,Male
60b553fb5705a4355358afaf,4,3,2,2,2.66,4,22,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female
5fd663b8b06c1b570569dc2b,4,4,3,4,2.68,2,20,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Portugal,Male
5c1bfabab0fcc900019d9ff4,4,1,2,2,2.7,2,24,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
5ebefa4d2bd5510ff39688c1,5,4,4,4,2.7,5,20,Italy,Italy,Part-Time,Italian,"English, French, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female
5df76aff2d2185502504d15c,4,2,3,2,2.78,2,39,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
5f20247996215b06459cdfff,3,2,2,3,2.84,5,20,Italy,Italy,Other,Italian,"English, Italian, French, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female
60e467a0b2c2ef1e594bd577,4,3,4,4,2.84,4,19,Portugal,Portugal,DATA EXPIRED,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
5f11ccbc1a1a2c08b4a99efb,4,2,3,4,2.85,5,20,Italy,Italy,Other,Italian,"English, Italian",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female
60c36ee0ad1e69aae74b8a08,4,2,2,2,2.95,1,24,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female
60bfa4a37ea373b300727816,5,4,4,3,2.95,2,22,Portugal,Portugal,DATA EXPIRED,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male
609fc560e33ec2495dfbc15f,4,1,1,2,2.96,1,24,Italy,Italy,Part-Time,Italian,"English, German, French, Italian",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Italy,Female
60d1f1dda4eca7964898af1e,4,4,4,3,3.0,1,23,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
61712b162161b5362dd40119,4,2,3,2,3.02,3,26,Spain,Spain,DATA EXPIRED,Spanish,"Basque, English, Spanish",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spain,Female
5e12048c7605fe8839180a14,3,4,4,4,3.03,2,20,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male
5e1f158a3e33582402807d9f,4,2,2,3,3.04,2,22,Portugal,Portugal,Other,Portuguese,"Portuguese, English, French, Spanish",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
608c349d8e7f57e8f84d3a27,4,2,3,2,3.04,5,27,Portugal,Portugal,Part-Time,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
5f96ecaca0ed8c01b13dd7c4,4,4,2,2,3.07,5,21,Italy,Italy,Part-Time,Italian,"Italian, English, French",Man (including Trans Male/Trans Man),High school diploma/A-levels,Italy,Male
5cb71fcd98a1f100011c56fb,4,2,2,3,3.08,2,23,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
