participant,age:1,gender:1,gender:other,citizenship:1,residence:1,education:1,mb1:1,mb2:1,mb3:1,mb4:1,mb4:other,mb5:1,af:1,af:2,af:3,af:4,af:5,af:6,af:7,af:8,af:9,af:10,af:11,af:12,af:13,af:14,af:15,af:16,af:17,af:18,af:19,af:20,gf:1,gf:2,gf:3,gf:4,gf:5,gf:6,gf:7,gf:8,gf:9,gf:10,gf:11,gf:12,gf:13,gf:14,gf:15,gf:16,gf:17,gf:18,gf:19,gf:20,guttman:1,guttman:2,guttman:3,guttman:4,guttman:5,PROLIFIC_PID,STUDY_ID,SESSION_ID,TIME_start,TIME_end,TIME_total,artist_fam_score,genre_fam_score,avg_fam_score,open_score
s.06e49c24-5a29-4cb0-b52f-c126dec61cd4.txt,3,2,,Portugal,Portugal,4,4,4,3,2,,3,1,1,3,1,3,3,3,3,3,1,1,3,1,3,1,3,2,1,3,3,1,2,3,1,1,1,2,1,2,3,2,3,1,3,3,1,3,1,1,2,1,1,1,1,1,60d3073ad8226faf632f6ef7,62027f6780146ba1a8144742,6204e83c8668c18025b1d0d5,2022-02-10-11-27,2022-02-10-11-29,2,2.43,4.45,3.44,5
s.0e008606-ce64-4136-aeaf-386349ef55f3.txt,3,1,,Italy,France,5,4,4,4,2,,2,2,1,3,1,3,3,2,2,2,1,1,3,1,1,1,3,1,1,3,3,3,1,3,3,1,1,1,1,1,1,1,3,1,3,3,3,2,1,1,1,1,1,1,1,2,60dc262964386b6c44cc5040,62027f6780146ba1a8144742,62051380248c079d3f416d80,2022-02-10-14-30,2022-02-10-14-32,2,3.68,6.58,5.12,4
s.be2b5c2c-31df-468d-96da-4d9549ebb4ac.txt,2,1,,Portugal,Portugal,2,5,4,4,2,,2,3,1,3,2,2,3,2,2,3,3,3,3,1,3,1,3,1,3,3,3,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,2,2,2,5f5c0afb55bc9f3eced6f307,62027f6780146ba1a8144742,6205137e8f9cb30e9f31df90,2022-02-10-14-39,2022-02-10-14-42,3,2.00,7.65,4.82,2
s.cd50c07c-ec48-449b-9ff9-3ec19aa50f3b.txt,2,1,,Portugal,Portugal,2,4,4,2,4,,1,3,1,3,1,3,3,3,3,3,3,1,3,1,1,3,3,3,3,3,3,1,2,3,1,3,1,1,3,3,3,1,3,1,3,3,2,3,1,1,1,1,1,1,2,2,5e503fa37cbf4308d1131e52,62027f6780146ba1a8144742,6204fdb8900875a737a973d4,2022-02-10-12-58,2022-02-10-13-01,3,1.05,4.75,2.90,3
s.52efbc72-e7ef-4c3f-94aa-5b5220ce0e8a.txt,2,1,,Portugal,Portugal,2,4,5,4,4,,2,2,1,3,1,1,2,2,2,2,3,1,1,1,3,1,2,2,2,3,2,1,1,2,2,1,1,2,2,3,1,2,2,1,3,2,3,3,1,3,1,1,1,1,1,1,6148d23ec2cc6a36048663f3,62027f6780146ba1a8144742,6204fdbd68133e0d05068f5d,2022-02-10-12-58,2022-02-10-13-05,7,5.30,5.55,5.42,5
s.2b07fdec-2120-4d76-9f1a-86e196d0d044.txt,2,1,,Portugal,Portugal,2,4,4,2,2,,2,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,3,1,1,3,2,3,3,3,3,1,1,1,1,1,1,1,1,61085eb72ce70a498366f602,62027f6780146ba1a8144742,6204fdbbac96d101c9f83ebe,2022-02-10-12-58,2022-02-10-13-01,3,0.20,4.05,2.12,5
s.6222c47f-4d18-4c4c-8263-898d73ee3668.txt,2,2,,Portugal,,3,4,2,1,2,,2,3,1,3,2,3,3,3,2,1,3,3,3,2,3,3,3,3,3,3,3,1,2,2,1,1,2,2,2,2,3,2,3,3,3,3,3,3,3,1,1,1,2,2,2,2,5ce3b74bec6e1e00014105c6,62027f6780146ba1a8144742,62051e4ad23e58f888a596ee,2022-02-10-15-18,2022-02-10-15-20,2,1.40,3.70,2.55,1
s.85d330af-376f-46cd-9501-e5e278c7d3f7.txt,4,2,,Italy,Italy,3,3,4,4,2,,2,3,1,2,1,1,2,3,1,1,1,1,2,1,3,2,2,3,1,3,2,1,1,2,1,1,1,1,1,2,1,1,3,1,3,2,2,3,1,2,1,1,1,1,1,1,606b0d260c8c0c5fd7c854c8,62027f6780146ba1a8144742,62051377d7ed86db5630a1a8,2022-02-10-14-31,2022-02-10-14-34,3,5.47,7.10,6.29,5
s.9ff4538b-725d-4912-97c2-bda9fa04edbd.txt,2,1,,Spain,Spain,3,5,2,1,2,,2,3,1,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,1,3,3,2,2,1,1,1,2,1,1,2,1,2,3,1,3,3,1,3,1,3,1,1,1,1,1,2,5e4c3b4c67928808dcaa3bbe,62027f6780146ba1a8144742,6204e85106c9c577bcf56230,2022-02-10-11-26,2022-02-10-11-29,3,1.70,6.43,4.06,4
s.58b11f94-5baf-4bb2-b3a4-44ac843f4c92.txt,3,1,,Portugal,Portugal,4,4,4,4,2,,1,2,1,3,1,1,1,2,2,3,2,1,2,1,1,1,3,1,1,3,2,2,1,2,1,1,1,2,1,2,3,2,3,1,2,3,3,3,1,1,1,1,1,1,1,2,610e7dafb58dfc6715e99a91,62027f6780146ba1a8144742,6204e84cdcdb9a30154a7990,2022-02-10-11-29,2022-02-10-11-32,3,5.15,5.20,5.18,4
s.cf02327b-d205-4d6d-b180-a67fbb194f4e.txt,2,2,,Portugal,Portugal,4,4,4,3,2,,4,3,1,2,1,2,2,3,2,3,2,2,2,1,3,1,3,1,3,2,3,1,1,3,2,1,1,3,1,2,1,1,3,1,3,3,3,3,1,1,2,1,1,1,1,1,6170ab07c9a3ea327b2b106c,62027f6780146ba1a8144742,6204e8409190ed7401fb33b7,2022-02-10-11-26,2022-02-10-11-29,3,3.57,4.63,4.10,5
s.27dc1afe-21b4-4844-bb36-9b2d7450003c.txt,2,2,,Portugal,Portugal,3,4,4,4,1,,3,3,1,3,1,2,3,3,2,3,2,2,3,1,3,3,3,3,1,3,3,1,1,1,1,1,1,2,1,1,1,2,3,1,2,2,1,3,1,1,1,1,1,1,1,1,5f54e2ead4ac6486e66c6a85,62027f6780146ba1a8144742,62051e713073dac9db190e7f,2022-02-10-15-17,2022-02-10-15-20,3,1.83,7.60,4.71,5
s.1d41419d-d2ed-4fb7-a2a0-672ffa78333d.txt,4,2,,portugal,portugal,1,5,3,3,4,,2,3,2,3,1,3,3,3,3,2,2,1,3,3,3,3,3,2,3,3,3,1,1,3,1,1,1,3,1,1,1,3,3,1,2,3,2,3,1,1,1,1,1,1,2,2,60c217d31f5c38388e3dce8a,62027f6780146ba1a8144742,62051e3c394b5fbb5e19ff2b,2022-02-10-15-16,2022-02-10-15-20,4,1.45,5.63,3.54,3
s.db0edd41-6981-4b2f-a7c3-959b17f97be7.txt,3,2,,Spain,France,4,5,2,3,3,,1,3,1,1,1,3,3,3,3,1,1,1,3,1,3,3,3,3,1,3,3,1,1,3,1,1,3,3,1,1,1,3,3,1,3,3,1,3,1,1,1,1,1,1,1,2,5e91af0502f2a30008338b53,62027f6780146ba1a8144742,6204fdba5e791d01a6d439fb,2022-02-10-12-58,2022-02-10-13-00,2,3.15,5.30,4.23,4
s.e5526c6e-de66-46cb-a602-c6dcf1c8c424.txt,2,2,,Italy,Italy,2,3,1,1,2,,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,2,3,3,1,2,2,1,1,3,2,2,3,2,2,3,2,3,2,1,3,2,3,3,2,2,2,2,2,5f92f3106ec462055506c357,62027f6780146ba1a8144742,6205137a2b377c77bad7ea61,2022-02-10-14-30,2022-02-10-14-33,3,0.65,3.92,2.29,0
s.c3121b4f-162b-4c04-b84f-0556a4d650b3.txt,2,2,,spain,spain,3,5,3,4,2,,3,3,1,3,2,3,3,3,2,3,3,3,3,1,1,1,3,2,3,3,3,1,1,3,1,1,1,3,1,1,1,3,3,1,3,3,1,3,1,3,1,1,1,2,2,2,5f797a88a661c75783fb2ec8,62027f6780146ba1a8144742,62051b2e6edc349d519a379c,2022-02-10-15-04,2022-02-10-15-06,2,1.25,5.45,3.35,2
s.3d52a8d3-add7-438c-9226-88ea427db788.txt,2,1,,,,2,4,1,1,2,,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,1,3,3,1,3,1,1,3,3,3,3,3,3,1,1,1,2,2,2,2,2,5ef3de99b8b1f917a4aa8ac7,62027f6780146ba1a8144742,6204fdba2358dd700a179393,2022-02-10-12-58,2022-02-10-12-59,1,0.15,4.10,2.13,0
s.f3fd9475-0c00-46d8-8b32-e8d19430bd4f.txt,4,2,,Italy,Sardinia,2,5,3,4,4,,3,2,1,2,1,3,1,3,3,1,1,1,1,1,3,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,2,3,1,1,1,1,1,1,1,1,5c8fe91371f3100016181dfd,62027f6780146ba1a8144742,62051379b2db575c65b7e971,2022-02-10-14-34,2022-02-10-14-37,3,5.52,8.00,6.76,5
s.44dee789-0dda-404c-ab2e-d73ad8f038d7.txt,2,1,,Italy,Italy,2,5,4,4,2,,3,1,1,1,1,1,3,2,2,2,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,5ec12ed7a66dbf01c7d740c1,62027f6780146ba1a8144742,62051bf1c9f7b59185a798ba,2022-02-10-15-07,2022-02-10-15-09,2,7.15,9.03,8.09,5
