session_id,PROLIFIC_PID,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Gender,Highest education level completed,Nationality,Sex,Student Status
626a9406e289d83cda7e3489,6113a568434313758954bb53,APPROVED,2022-04-28 13:17:58.127000,2022-04-28 13:21:13.440000,195.313,24,68,1,100,2022-04-28 14:09:59.277000,7ED80400,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female,Yes
626a940852f458c541618461,5ed6db349836471664509f5f,APPROVED,2022-04-28 13:18:00.405000,2022-04-28 13:19:48.276000,107.871,22,146,0,100,2022-04-28 14:10:00.467000,7ED80400,Portugal,Portugal,Other,Portuguese,"English, Portuguese, Spanish",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male,Yes
626a941b9df5e6a74faa4f72,60142d5718e5943b09fd9298,APPROVED,2022-04-28 13:18:19.833000,2022-04-28 13:22:28.988000,249.155,22,130,0,100,2022-04-28 14:10:01.577000,7ED80400,Portugal,Portugal,Other,Portuguese,"English, Portuguese, Spanish",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male,Yes
626a94252ef32fdd3870498c,5dbf4877f33f403e418eb9ac,RETURNED,2022-04-28 13:18:29.564000,,584705.869953,20,294,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626a94289cd552c122559e7b,6089480f5cd94b740e61b57f,APPROVED,2022-04-28 13:18:32.329000,2022-04-28 13:22:11.888000,219.559,21,41,0,100,2022-04-28 14:10:02.757000,7ED80400,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male,Yes
626a942b17735f105a42ad0e,5f823a9879e10536650a3d81,APPROVED,2022-04-28 13:18:35.324000,2022-04-28 13:22:24.255000,228.931,19,153,1,100,2022-04-28 14:10:03.891000,7ED80400,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Technical/community college,Portugal,Male,DATA EXPIRED
626a942ed9bf306afbb5ffbf,60bd04a3749e1ca47e54d3e1,APPROVED,2022-04-28 13:18:38.884000,2022-04-28 13:21:43.767000,184.883,22,86,0,100,2022-04-28 14:10:04.992000,7ED80400,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Technical/community college,Portugal,Male,Yes
626a943317735f105a42ad0f,60b004334a88e58ee0c7759b,RETURNED,2022-04-28 13:18:43.551000,,584691.933491,24,33,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626a9436e4c6378241602051,5efc9df19aca1b058028bd9d,APPROVED,2022-04-28 13:18:50.437000,2022-04-28 13:22:42.933000,232.496,29,88,1,100,2022-04-28 14:10:06.244000,7ED80400,Italy,Italy,Full-Time,Italian,"Italian, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italy,Female,No
626a9456ecd7572c3fa0f284,600886c9e5dd1a3ca165a93e,APPROVED,2022-04-28 13:19:21.397000,2022-04-28 13:21:59.026000,157.629,22,135,0,100,2022-04-28 14:10:07.393000,7ED80400,Spain,Portugal,Other,Portuguese,"English, Galician, Portuguese, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female,Yes
626a945760b7e36e2c4655cf,5ca0f4a20336360017b5f39a,RETURNED,2022-04-28 13:19:27.461000,,584648.063112,28,241,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626a94596473d34bb336a3de,60a2c7814644f316d321b59a,RETURNED,2022-04-28 13:29:21.391000,,584054.145616,28,91,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626a9465a85f7f6234906e54,5dcd75fb69c16d043f8f7ba2,RETURNED,2022-04-28 13:19:33.971000,,584641.578327,28,85,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626a9468eb8be64e5c24d5e8,600af071a434df068aa07cd4,APPROVED,2022-04-28 13:19:45.887000,2022-04-28 13:23:36.608000,230.721,22,89,0,100,2022-04-28 14:10:09.509000,7ED80400,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female,Yes
626a946e7b993b227446093c,5f95967b97a3ae074be7485a,APPROVED,2022-04-28 13:19:46.237000,2022-04-28 13:23:31.256000,225.019,21,63,0,100,2022-04-28 14:10:11.264000,7ED80400,Italy,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",Italian,"English, Italian",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female,Yes
626a947950db86d3aa460dd0,60b109b2685392ab7a9ed2b0,APPROVED,2022-04-28 13:19:54.931000,2022-04-28 13:22:31.976000,157.045,20,94,0,100,2022-04-28 14:10:12.324000,7ED80400,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male,Yes
626a947d17735f105a42ad13,6145dddfa6fcfd396e1f4f1a,APPROVED,2022-04-28 13:19:57.203000,2022-04-28 13:23:14.427000,197.224,20,26,0,100,2022-04-28 14:10:13.285000,7ED80400,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese, Spanish",Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Portugal,Male,Yes
626a948ed2f6e9e9c118b189,615b50604b6d0c6919055f37,APPROVED,2022-04-28 13:20:16.985000,2022-04-28 13:23:14.506000,177.521,27,112,0,100,2022-04-28 14:10:14.650000,7ED80400,Italy,Italy,Other,Italian,"Italian, English",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Italy,Male,Yes
