genre	pl_id	artist_name	track_name	track_pop	track_isrc
brostep	spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0	Tiësto	The Business	91	CYA112000624
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Baby Ford	Westway	9	GBPT50905002
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Ralphie Dee	Mad As Hell	9	USZUT9500001
acid jazz	spotify:playlist:7vyHBfRfPOT8Sxy87P5osJ	The Whole Thing	Peer Pressure	9	GBBTV0901181
acid jazz	spotify:playlist:7vyHBfRfPOT8Sxy87P5osJ	The K-Creative	K Spells Knowledge - Out & About EP Version	9	GBF080300692
acid jazz	spotify:playlist:7vyHBfRfPOT8Sxy87P5osJ	Grand Union	Morning Brings the Light	9	GBBTV0500352
acid trance	spotify:playlist:0rSDQ760FMUfBOFSAlnC8M	Mikerobenics	Julika - Pascal FEOS Remix	9	DEE829600065
acid trance	spotify:playlist:0rSDQ760FMUfBOFSAlnC8M	Progressive Attack	Rosi´s World (previously unreleased)	9	DEBW40500132
acidcore	spotify:playlist:23TcHEHll7Ds78hkaiohPx	Acidilik	Shipwreck	9	FR9W11921231
acidcore	spotify:playlist:23TcHEHll7Ds78hkaiohPx	Frixion Fanatic	Your Dimension, Not Mine - Original Mix	9	NLCK41400571
aggrotech	spotify:playlist:710IY6IOVa3h64CvE0INWb	Aslan Faction	Bring On The Dying	9	DEAD20610425
aggrotech	spotify:playlist:710IY6IOVa3h64CvE0INWb	Mordacious	Cybergirl	9	ushm80706443
aggrotech	spotify:playlist:710IY6IOVa3h64CvE0INWb	Schallfaktor	Glaskastentraum	9	DEKV20810268
alternative hip hop	spotify:playlist:2kHQTJJWXc54i8mX8ndYdf	Percee P,Vinnie Paz,Guilty Simpson	Watch Your Step	9	US2S70720005
ambient	spotify:playlist:6CIyPj34GTpAkNwoWToLNT	Oophoi	Darklands	9	usx9p1138693
ambient house	spotify:playlist:6nwKOBp5s1ESz8zie6WBUf	One Dove	My Friend	9	GBAAP0000714
ambient house	spotify:playlist:6nwKOBp5s1ESz8zie6WBUf	Morenas	Hazme Sonar - Massimin And Andrea Gemolotto Club Mix	9	IT00G8900181
ambient industrial	spotify:playlist:6SjDZKf8ke13f8E3v1XAQ8	Rapoon	Circle - 1996 Remix	9	USI4R0500571
ambient techno	spotify:playlist:4K8cqoXccxo7fPmBEqVKQm	Skymn	Subterrane 3	9	NLCK41035487
ambient techno	spotify:playlist:4K8cqoXccxo7fPmBEqVKQm	Neel	Treja	9	BEN581700513
ambient techno	spotify:playlist:4K8cqoXccxo7fPmBEqVKQm	Serena Butler	Submerged Underworld	9	NLCK41044180
azonto	spotify:playlist:2i8bdWfRsaWbyrwBEZauU2	Opanka,Kuami Eugene	Boo Bi Yede	9	QZ22B1846029
bassline	spotify:playlist:3Lp89wmns5SSt3U8wYWcK3	Nasteeboi	Greaseproof	9	GBDLM1800242
bassline	spotify:playlist:3Lp89wmns5SSt3U8wYWcK3	Dreem Teem	The Theme - Unreleased Mix	9	GBTBC0900202
berlin school	spotify:playlist:2jgy57TEf9gpe5wRZ4cPDF	Wavestar	Voyager	9	USA371431862
berlin school	spotify:playlist:2jgy57TEf9gpe5wRZ4cPDF	Between	Devotion	9	DEC447605712
berlin school	spotify:playlist:2jgy57TEf9gpe5wRZ4cPDF	Robert Schroeder	Pressure	9	DEUW42100210
berlin school	spotify:playlist:2jgy57TEf9gpe5wRZ4cPDF	Redshift	Bombers in the Desert	9	GBKPL1026613
berlin school	spotify:playlist:2jgy57TEf9gpe5wRZ4cPDF	Conrad Schnitzler,Pole	Lacht	9	DELI51702166
big beat	spotify:playlist:370tEYE4lZui1vrufdq7xy	Deejay Punk-Roc,International Pony	Blow My Mind - International Pony Rmx	9	GBBPF0200749
big beat	spotify:playlist:370tEYE4lZui1vrufdq7xy	DJ Food	Dark Lady	9	GBCFB9300005
bitpop	spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc	Pluxus	Transient	9	SEPLU0600401
bitpop	spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc	Demoscene Time Machine	Kernel Panic	9	GBMJG1304188
bitpop	spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc	Starship Amazing	Punk Gangs of Our Glistening Dreamscape	9	ushm21394323
bleep techno	spotify:playlist:74l4cXfulumPoQ7EyasgY8	Juno	Soul Thunder	9	GBBPW9000020
bleep techno	spotify:playlist:74l4cXfulumPoQ7EyasgY8	Detromental,Chris Smith	Rewind (Rebuilt)	9	GBJU21700359
bleep techno	spotify:playlist:74l4cXfulumPoQ7EyasgY8	Neal Howard	Indulge - Original Mix	9	GBJX32136006
bleep techno	spotify:playlist:74l4cXfulumPoQ7EyasgY8	Cybersonik,Richie Hawtin	Backlash	9	CAM269180004
boogie	spotify:playlist:4vLb33ufLI6jjyGh4jpz9P	The Strangers	Step Out Of My Dream	9	USSA49310107
boogie	spotify:playlist:4vLb33ufLI6jjyGh4jpz9P	Moniquea	I Don't Wanna Get Used to It	9	QMSQD1300015
boogie	spotify:playlist:4vLb33ufLI6jjyGh4jpz9P	Armenta	I Wanna Be With You - Club Mix	9	USGZ21031988
boogie	spotify:playlist:4vLb33ufLI6jjyGh4jpz9P	Brooklyn Bronx & Queens Band	Starlette - Remastered 2004	9	USCA20400352
boogie	spotify:playlist:4vLb33ufLI6jjyGh4jpz9P	Weeks & Co.	Rock Your World - Long Version	9	USBDP1900736
brazilian bass	spotify:playlist:1rhRPl3CJrszlIzllhvW25	Danny Kolk	Little Bird	9	GBKQU1772360
brazilian bass	spotify:playlist:1rhRPl3CJrszlIzllhvW25	Casual Order,Massive Jack	Lose Control	9	QZ5FN1865107
brazilian bass	spotify:playlist:1rhRPl3CJrszlIzllhvW25	ALPHANO	This Funky	9	QZ5FN2043971
brazilian bass	spotify:playlist:1rhRPl3CJrszlIzllhvW25	SOULE	Dancing	9	QZKDK2079291
breakbeat	spotify:playlist:1yckyfEZtFkkq7UPXHbLwi	Breakfastaz,Koma,Bones	Midnight - Koma & Bones Remix	9	GBFNF0500010
breakbeat	spotify:playlist:1yckyfEZtFkkq7UPXHbLwi	Shimon & Nixon	Around The Edge	9	GBFEK0700241
breakbeat	spotify:playlist:1yckyfEZtFkkq7UPXHbLwi	Transformer Man	Everybody Get Up - Circuit Breaker Remix	9	USA2P0603498
breakbeat	spotify:playlist:1yckyfEZtFkkq7UPXHbLwi	DJ Mutiny,Shopliftas	Daily Operation - Mixed	9	GBEXH1900464
breakcore	spotify:playlist:3OBvO6hmsS5BsYbciDddW7	Terminal 11	Adcar	9	USGGP0752905
breakcore	spotify:playlist:3OBvO6hmsS5BsYbciDddW7	The Teknoist,Smyla	Beastage	9	USZUT1400019
breakcore	spotify:playlist:3OBvO6hmsS5BsYbciDddW7	Duran Duran Duran	Bass Racist	9	USGGP1002302
broken beat	spotify:playlist:1rnJHknpDL8e9EjJeI7d1V	Flowriders	Writers on the Flow	9	DEZ650515828
broken beat	spotify:playlist:1rnJHknpDL8e9EjJeI7d1V	Alison David,Bopstar	Dreams - Bopstars Vudoo Refix	9	GBFNE1020010
broken beat	spotify:playlist:1rnJHknpDL8e9EjJeI7d1V	Moonstarr,Motor City Drum Ensemble	Detriot - Mixed	9	GBEXH2100021
chicago house	spotify:playlist:6Wel9lJLvOpiZHBJNF19jn	Tyree	Fighter	9	NZMT01206901
chillstep	spotify:playlist:22pjJtfW7sA4PiaruUB5yN	Kaiben	Overnight	9	GBKPL1151917
chiptune	spotify:playlist:1LFNDgI96e297dxed2dZZa	Gem Tos,OSD	Desktop System (OSD Badlands Remix)	9	SE-YOK-09-85404
chiptune	spotify:playlist:1LFNDgI96e297dxed2dZZa	RushJet1	Main Theme	9	QZDA51870235
