genre	pl_id	artist_name	track_name	track_pop	track_isrc
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Salakavala	Natto License	8	USQY50966933
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Texas Faggott	Back To Mad	19	FIEXC0000036
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Lemon Slide	Magic	6	GBLV61818204
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Shiwa 2000	Merkababa - Sienis Remix	7	RUA680600012
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Tekniset	Metsänhaltija	9	FIFDR1100002
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Igor Swamp	Foggy District	4	FITJ20700005
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Luomuhappo	Metsässä & Polkat	11	FIFDR1200001
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	James Reipas	Cinema	3	FIEXC1000088
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Kirna	Tsaari	1	GBKQU1880973
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Puoskari	Fifty-Sixty	4	USQY50966769
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Okta	Folded in Consciousness	3	GBWUL2091731
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Squaremeat	Golden Accordion	2	USQY50966935
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Aavepyora	Vapausvoima	3	CH6540881427
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	MandalaVandalz	Kaunista	7	FIKRD0200013
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Mullet Mohawk	Berghäll Vortex	2	SEYOK1111281
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Haltya	Rainbow Funkster	4	FIEXC0700024
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Pavel Svimba	Roachless, RIP Tommi - Original Mix	6	GBKQU1544314
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Oikeusjyva	Ny On Sun Aikas - Original Mix	0	GBKQU1416229
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Eraser Vs Yöjalka	Nolerco - EvsY Remix	2	USQY50966745
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	O.O.K	Jaffa - Original Mix	1	GBKQU1417236
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Odd Harmonic	Intensive Hinderance	0	USQY50966756
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Egosentrifug,Scum Unit	Permafrost Brains - Original Mix	3	GBKQU1544305
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Antiscarp warriors	Hullullullu	0	UAVT11100574
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Exuus	Electrostatic Field Simulation	0	USQY50966946
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	LPC	Hideaway	1	USQY50966937
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Huopatossu Mononen,James Reipas,Darth Phader	Garden of Love - Original Mix	4	GBKQU1417237
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Calamar Audio,Antiscarp Warriors	Congress Mayhem	0	GBKQU2140862
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Troll Scientists	Witch Protector	4	FIEXC0900023
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Astroschnautzer	Tyranosaurus Flex	0	UAVT11100573
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Outolintu	Shizzlin Da Virable	1	USQY50966930
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Tamlin	Pax Nostra	1	USQY50966973
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Midiliitto	Pellon Laitaan	0	FIEXC9900024
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Lawa Lords	Yoshida Scanning	0	FIA2R0800005
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Torakka	Greasy Fingers	0	USA2P0612727
suomisaundi	spotify:playlist:2oDlfDr6DS4hmKtIkLjdTf	Saiko Disco	Ballerina - Original Mix	1	GBKQU1544307
