genre	pl_id	artist_name	track_name	track_pop	track_isrc	yt_link	viewCount
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Baby Ford	Westway	9	GBPT50905002	https://www.youtube.com/watch?v=uraj4-rzj20	12716
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Ralphie Dee	Mad As Hell	9	USZUT9500001	https://www.youtube.com/watch?v=orHaVIJ581s	17351
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Air Liquide	This Is Not a Mind Trip - Live at Love Parade 1994	8	DEKB71671278	https://www.youtube.com/watch?v=x8fI2bpNAeU	1062
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Laurent X	Machines (Apocalypse Mix)	7	USV291496951	https://www.youtube.com/watch?v=pUjtLX9xHHk	2132
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	M500,3MB	Cosmic Courier	7	USGUM0910109	https://www.youtube.com/watch?v=AOafm3_WnX0	39
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Rob Acid	Acidwave	7	DEBL60501439	https://www.youtube.com/watch?v=gB0aSWm88O4	8311
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Mike Ink	Paroles (Original)	7	GBBPW9600049	https://www.youtube.com/watch?v=fJhRo5K4iKg	36350
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Marshall Jefferson,Solardo	Move Your Body	61	USUS11900546	https://www.youtube.com/watch?v=MrWDAaYoHs8	6614779
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	The Nighttripper	Tone Explotation	6	NLCK41011669	https://www.youtube.com/watch?v=TNtUVuEpUas	181924
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	The Shamen	Ebeneezer Goode - Beat Edit	54	GBBTF9200004	https://www.youtube.com/watch?v=GRm2K1-hYEI	28919
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	The KLF	Justified & Ancient	54	GBCEL2000619	https://www.youtube.com/watch?v=XP5oHL3zBDg	1764092
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Adamski,Seal	Killer	54	USMC10200633	https://www.youtube.com/watch?v=vtENRzTV__8	3661837
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Frankie Knuckles,Jamie Principle	Your Love (feat. Jamie Principle)	53	GBBLG0100312	https://www.youtube.com/watch?v=MhywmmgH7ro	27754
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Mr. Fingers	Mystery Of Love	50	US4G90400213	https://www.youtube.com/watch?v=YAp0j1xB7rM	403210
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Laurent Garnier	The Man With the Red Face - Video Edit	49	FRV229900078	https://www.youtube.com/watch?v=4p_WxAA-OcQ	640012
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Derrick May	Strings Of Life	46	BEZ350800105	https://www.youtube.com/watch?v=rFQZndywOR4	1053237
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Felix Da Housecat,Chris Trucher	All I Do	46	GBJX34618064	https://www.youtube.com/watch?v=ZIOCpREni-k	11145
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Lil' Louis,The World	French Kiss - The Original Underground Mix	44	USSM18900036	https://www.youtube.com/watch?v=rmOAVfEDyhA	585331
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Joey Beltram	Energy Flash	43	BEZ350800044	https://www.youtube.com/watch?v=ALsHox5sYCk	2791912
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Psychic TV	Godstar	43	US5NR1702001	https://www.youtube.com/watch?v=s1yr8w_vZ5E	1096698
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	A Guy Called Gerald	Voodoo Ray	42	GBGWW0400001	https://www.youtube.com/watch?v=VFhxpMnfHB0	1401372
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Cybotron	Clear	42	USFI88300051	https://www.youtube.com/watch?v=V3QHj7lai9I	288767
