genre	pl_id	artist_name	track_name	track_pop	track_isrc	yt_link
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	P Roq	Ain't On Shit	0	FR6V80763185	https://www.youtube.com/watch?v=usGoxBNTwbM
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	DJ Jana Rush	Moonunit	0	US-AQB-09-70593	https://www.youtube.com/watch?v=E33O_4dmXxU
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Raoul Juke	Ravaged	0	FR6V81365970	https://www.youtube.com/watch?v=NNzTKNyRTlg
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Prime Slime	Ain't Nobody	0	FR6V80894372	https://www.youtube.com/watch?v=asdPxkmNOiU
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	DJ Calez	Dooms Day	0	USLU40700058	https://www.youtube.com/watch?v=RvWbcK3YQ_o
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	DJ Jana	No Way Back - Remix	0	US-AQB-09-70604	https://www.youtube.com/watch?v=8XskjcJhFVY
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Slumber Party Massacre	My Diamond	0	FR6V80894373	https://www.youtube.com/watch?v=kBNeuTQgNrw
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Keiska	Watch Your Step 2k12	0	GBKQU1885138	https://www.youtube.com/watch?v=zZx7k24RKWw
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Paveun	Let Me Down - Original Mix	0	CA7MB1200015	https://www.youtube.com/watch?v=KoRzyP4XVzc
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Beus Bengal	G13 Amnesia	0	FR3Y90900192	https://www.youtube.com/watch?v=sHiMmDz6H_c
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Maddot3	Chip Stackin - Original Mix	0	GBKQU1598159	https://www.youtube.com/watch?v=6jJHkHzaetM
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	D.J.Fulltono	Not Everything To	0	USQY51535252	https://www.youtube.com/watch?v=N8uNy1KQM-A
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	DJ Chip	Utopia	0	GBKPL1151283	https://www.youtube.com/watch?v=GGid-AAE1fU
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	DJ Greedy	I Like It From The Back	0	SEYOK1304961	https://www.youtube.com/watch?v=spy2rimo-og
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Dj KBangz,Dj Spaldin	Kill That FootWork (feat. Dj Spaldin) - Original Mix	0	USLZJ1506863	https://www.youtube.com/watch?v=WpTZQJ9e0dM
frenchcore	spotify:playlist:3b9YnVCg1sEUoXlRwQvBV2	Pattern J	Mellow	7	NLE801717019	https://www.youtube.com/watch?v=rUuhsqpjC8o
frenchcore	spotify:playlist:3b9YnVCg1sEUoXlRwQvBV2	Brutal Jesters	Groundshaker - Original Mix	7	NLS161100350	https://www.youtube.com/watch?v=qgtS1UpXIRU
