,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
8207,ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,"Aux 88,A Number Of Names",Sharivari 2013 - Aux 88 Digital Mix,25,USLVH1325001,https://www.youtube.com/watch?v=qH7LxUA8uxo,11198
17,acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,"Lil' Louis,The World",French Kiss - The Original Underground Mix,44,USSM18900036,https://www.youtube.com/watch?v=rmOAVfEDyhA,585331
12307,minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,Robert Babicz,Let's Be Friends,36,DECX41701666,https://www.youtube.com/watch?v=gPRHv93Wx8M,3959
20,acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,A Guy Called Gerald,Voodoo Ray,42,GBGWW0400001,https://www.youtube.com/watch?v=VFhxpMnfHB0,1401372
4117,death industrial,spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6,Lana Del Rabies,Unwilling,11,USGWZ1810016,https://www.youtube.com/watch?v=dnfJsCJG7B4,772
6166,electroacoustic improvisation,spotify:playlist:2jGo6vr6swUBugWe7n2bzj,Zeitkratzer,Ruckzuck,9,DEOV41700263,https://www.youtube.com/watch?v=0R8ssIYPGsE,2501
6169,electroacoustic improvisation,spotify:playlist:2jGo6vr6swUBugWe7n2bzj,"Keith Rowe,Yoshihide Otomo,Taku Sugimoto",Improvisation PT. 6,7,ATD410002008,https://www.youtube.com/watch?v=EBnpVvZ8hi4,34
2074,big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,Elite Force,The Law of Life,24,DEZ651004378,https://www.youtube.com/watch?v=FWUluByxDEk,8186
14361,psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,Ott,Smoked Glass and Chrome,40,TCABO1305497,https://www.youtube.com/watch?v=oPO4eohy8Es,1810402
16409,tropical house,spotify:playlist:5Z4GsFxPRJiN9Qme2P9q6H,"EDX,Jess Ball",I Found You (Neptune),29,CH3131901465,https://www.youtube.com/watch?v=AjViPqP-JGc,281570
16419,tropical house,spotify:playlist:5Z4GsFxPRJiN9Qme2P9q6H,"Vijay & Sofia Zlatko,Notte",Earth Groove,27,IT0311600101,https://www.youtube.com/watch?v=DGh-ntfyGXU,229659
8233,ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,Dj Smurf,You Are a C**nt - 2019 Version,13,UKACT1940195,https://www.youtube.com/watch?v=eoyzksr7moQ,29584
12330,minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,Farben,As Long As There's Love Around,26,DELA21100080,https://www.youtube.com/watch?v=n53XaM2n5sA,38972
14379,psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,"Grouch,Knobs",Quantumplation - Grouch Mix,33,USQY51620941,https://www.youtube.com/watch?v=9hzNus41Ihc,104417
2092,bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,SEXY-SYNTHESIZER,SOMEBODY feat.Chihiro,7,JPZ921302706,https://www.youtube.com/watch?v=OPuQua_uZD4,31905
10287,japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,Merzbow,Woodpecker No. 2,21,US2649693702,https://www.youtube.com/watch?v=BX1Ozr_CchM,21133
10302,japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,385,Search and Destroy,16,JPC621300102,https://www.youtube.com/watch?v=_ajFsai0H4k,239
14412,ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,Feyder,Let's Do It Again,11,CH6540855856,https://www.youtube.com/watch?v=ALujl_oY0gk,827
4174,deconstructed club,spotify:playlist:3uwJeZkSKE219OiTdOV0b0,Visionist,The Fold,8,GBR8R2000078,https://www.youtube.com/watch?v=zHU3nbUlK3Q,10350
14432,ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,Marcus Visionary,Badboy Skank - Original Mix,19,DEY470916224,https://www.youtube.com/watch?v=PHIQDb4m2YQ,9378
8296,glitch,spotify:playlist:27smuYGRZZl9q0BCwda8en,Nobukazu Takemura,Proverb - Nobukazu Takemura Remix,27,GBAGC9800824,https://www.youtube.com/watch?v=hLK0yu8rS78,3870
2154,bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,cTrix,Final Flight,22,QMBZ91318312,https://www.youtube.com/watch?v=NMFXDucb0xM,7357
8303,glitch,spotify:playlist:27smuYGRZZl9q0BCwda8en,Matmos,No Concept,24,USTJ22052609,https://www.youtube.com/watch?v=S71q3vNBK4E,19561
12402,minimal wave,spotify:playlist:61AMB6Oddyl1hEUBd9A9sc,Futurisk,Lonely Streets - 1982,20,US8YW1100002,https://www.youtube.com/watch?v=O5WYKuhjq0c,69747
6264,electroclash,spotify:playlist:2lvWEEJ981sRN5GQzBvayl,Waldorf,Get Ready for Your Last Dance - A Touch Of Class Extended Mix,8,DECU40600065,https://www.youtube.com/watch?v=9UIlnF_2dNM,583
121,acid jazz,spotify:playlist:7vyHBfRfPOT8Sxy87P5osJ,Galliano,Prince Of Peace,41,GBF080080374,https://www.youtube.com/watch?v=Xz1ByMe7XUs,35879
16509,uk funky,spotify:playlist:4lK54lu5nxD3iMlCXMIQwx,"Attacca Pesante,Shea Soul",Make It Funky for Me - Radio Edit,37,QMDA71468780,https://www.youtube.com/watch?v=uXfAkBPlmvY,795567
