,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
6144,electro-industrial,spotify:playlist:0ZVLhUadGf0IkCOecGIgtf,Download,Gaslighter,18,QM7281819073,https://www.youtube.com/watch?v=c7btyxBsu6w,5913
1,acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,Ralphie Dee,Mad As Hell,9,USZUT9500001,https://www.youtube.com/watch?v=orHaVIJ581s,17351
2053,big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,Depth Charge,Legend of the Golden Snake - Single Version,39,GBHKS9500001,https://www.youtube.com/watch?v=s3YTWDG4j1k,30321
10251,japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,"Hijokaidan,Jun Togawa",肉屋のように,9,JPTE01508230,https://www.youtube.com/watch?v=bLX92qmYpfc,103428
2062,big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,"Future Funk Squad,Omega Sparx,Stu Brootal,The Crystal Method",Prophet Margin,35,GBLFP2156801,https://www.youtube.com/watch?v=2IlTimdd_vA,4488
8206,ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,dj milton,The Spectre - Extended Electro Mix,25,ZAC011600489,https://www.youtube.com/watch?v=oELeoom1g-8,27435
4113,death industrial,spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6,Genocide Organ,Klaus Barbie,14,DEKB31010003,https://www.youtube.com/watch?v=xTl_3TzRMi8,9017
2066,big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,"Jacknife Lee,Bibi Bourelly,Barny Fletcher",The Studio,33,GBKPL2003360,https://www.youtube.com/watch?v=UAP5ZFxgVQw,5390
6162,electro-industrial,spotify:playlist:0ZVLhUadGf0IkCOecGIgtf,C-Tec,Stateless,12,USTV19800273,https://www.youtube.com/watch?v=JA_jjSvNhgE,15439
12307,minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,Robert Babicz,Let's Be Friends,36,DECX41701666,https://www.youtube.com/watch?v=gPRHv93Wx8M,3959
