genre	pl_id	t_id	artist_name	track_name	track_pop	track_isrc
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	4V5Hap0FGupSWoz67VWTwH	Armando	151 - Original Mix	25	NL-P43-09-10359
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	6AvtRMA6AzFNYZ3qEMYpch	Mr. Fingers	Mystery Of Love	49	US4G90400213
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	6tvtFyEdNpeurBkT2zNMEL	Frankie Knuckles,Jamie Principle	Your Love (feat. Jamie Principle)	50	GBBLG0100312
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	4fz6Fjr1jiG0jYKFA4OF4q	Phuture	Your Only Friend	20	QMFMF1498223
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	46ddej1ibGIgs58H0wakoK	Joey Beltram	Energy Flash	43	BEZ350800044
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	25cVyUYzONCdHUeFWKbOol	Fast Eddie	Acid Thunder	30	QM8RJ1400046
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	2h7w0KHwHbx4WbG6WxjO7U	808 State	Pacific State	46	GBAHW1100023
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	0BELfOcufjLMZkfPu2p7K5	LFO	LFO	40	GBBPW9000017
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	7DXfJX286N3ZBURaq8D9mc	Derrick May	Strings Of Life	44	BEZ350800105
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	47L7EinVbbEBraJE0MMnW9	Robert Hood	Dancer	37	NLHD81100018
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	42YWj4CuDrjr46OtsGG4fb	Mr. Lee	Come to House	34	USV351400824
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	6wT8B990QFiNBxfyMkgStU	"Farley ""Jackmaster"" Funk,Darryl Pandy"	Love Can't Turn Around	24	GBBLG0100304
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	6FpGX4OUfYTl9NGrbr4yUP	Phortune	Jigger Watts	17	GBBLG0100396
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	2T6rMXWYc934IWMudx1H1X	Galaxy 2 Galaxy	Jupiter Jazz	36	USGUM0710511
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	553HOkDZQktOEBKvxTBPS1	Plastikman,Richie Hawtin	Spastik	37	CAM261800030
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	3hVnJ8rRSVa1tfgaYswfYn	Ralphi Rosario	You Used to Hold Me	35	GBBLG0100308
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	4hyNlDvpBxi67l8yMBdZRv	Maurice Joshua,Hot Hands Hula	This Is Acid	40	GBBLG0100360
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	2IQ61J0AFfjnxBm4lQEU0W	Hardfloor	Acperience 1	35	DEP999300001
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	4xLRVwJ2hDzoaWijzbY6T1	Pierre's Pfantasy Club	Dream Girl - Wet Dream Mix	22	GBBLG0100349
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	06fru2HSlNlVwTeL9kzat0	Planetary Assault Systems	Desert Races	29	BEN581700348
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	6xRtX4emvb1T8Sep84XAUE	Kevin Saunderson,Inner City	Future (feat. Inner City) - Kenny Larkin Tension Mix	30	GBCPZ1105661
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	4P9r2nUKC1ZPpCo8K9l194	DJ Pierre,Chic Loren	I Feel Love - 1979 Disco Club Mix	32	DEBE71700243
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	3YXIVMQLRRq2K7kxC7UYx6	Marshall Jefferson,Solardo	Move Your Body	60	USUS11900546
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	6TeKFnwaPsXI35gaQEoR8z	Royal House	Can You Party (Club Mix)	31	USWR31622211
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	6Au8dwqW17E3rykzOtXzqn	Kenny Larkin	Tedra	30	GBBPW9400027
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	0nxPUwU0EL5jrefojgitux	Adonis	Zostań	10	PLO382103452
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	5YQuZnSRLgKEVPFR1BaIep	Jungle Wonz	Human Condition	6	UKACT2031629
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	1b6iU8nzAEdugEbUIrCALC	Larry Heard	Missing You	39	US4G90400144
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	4bHfSfG8nGSsxVerqhyiCM	The Todd Terry Project	Weekend (Extended Club Version)	32	USWR39800049
