genre	pl_id	artist_name	track_name	track_pop	track_isrc
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Baby Ford	Westway	9	GBPT50905002
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Ralphie Dee	Mad As Hell	9	USZUT9500001
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Air Liquide	This Is Not a Mind Trip - Live at Love Parade 1994	8	DEKB71671278
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Laurent X	Machines (Apocalypse Mix)	7	USV291496951
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	M500,3MB	Cosmic Courier	7	USGUM0910109
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Rob Acid	Acidwave	7	DEBL60501439
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Mike Ink	Paroles (Original)	7	GBBPW9600049
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Marshall Jefferson,Solardo	Move Your Body	61	USUS11900546
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	The Nighttripper	Tone Explotation	6	NLCK41011669
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	The Shamen	Ebeneezer Goode - Beat Edit	54	GBBTF9200004
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	The KLF	Justified & Ancient	54	GBCEL2000619
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Adamski,Seal	Killer	54	USMC10200633
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Frankie Knuckles,Jamie Principle	Your Love (feat. Jamie Principle)	53	GBBLG0100312
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Mr. Fingers	Mystery Of Love	50	US4G90400213
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Laurent Garnier	The Man With the Red Face - Video Edit	49	FRV229900078
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Derrick May	Strings Of Life	46	BEZ350800105
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Felix Da Housecat,Chris Trucher	All I Do	46	GBJX34618064
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Lil' Louis,The World	French Kiss - The Original Underground Mix	44	USSM18900036
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Joey Beltram	Energy Flash	43	BEZ350800044
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Psychic TV	Godstar	43	US5NR1702001
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	A Guy Called Gerald	Voodoo Ray	42	GBGWW0400001
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Cybotron	Clear	42	USFI88300051
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	LFO	LFO	41	GBBPW9000017
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Maurice Joshua,Hot Hands Hula	This Is Acid	41	GBBLG0100360
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Larry Heard	Missing You	41	US4G90400144
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Robert Armani	Hit Hard	40	ITWYN1700140
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	"Steve ""Silk"" Hurley"	Jack Your Body - 1986 Club Mix	40	USHWH1600403
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Ali Berger	Car Park!!	4	QZHNC2117323
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Reese,Tony Benino	The End - Original Mix	4	GBKQU1456430
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Robert Hood	Nothing Stops Detroit	39	GBLTF2000095
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Plastikman,Richie Hawtin	Spastik	39	CAM261800030
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Guru Josh Project,Klaas	Infinity 2008 - Klaas Vocal Edit	38	DEHD60712073
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Ralphi Rosario	You Used to Hold Me	37	GBBLG0100308
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Galaxy 2 Galaxy	Jupiter Jazz	37	USGUM0710511
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Luke Vibert	I Love Acid	36	GBBPW0300175
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Emmanuel Top	Acid Phase	36	FR4LO9400004
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Hardfloor	Acperience 1	35	DEP999300001
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	Dave Clarke,Chicks On Speed	What Was Her Name (feat. Chicks on Speed)	35	GBBMQ0300136
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	The Timelords	Doctorin’ The Tardis	35	GBCEL2000613
acid house	spotify:playlist:17buGP6jTSgqYoV4NwkMdX	The Todd Terry Project	Weekend (Extended Club Version)	34	USWR39800049
